name,# users
multi-platform,13
ops-status,19
shippable,20
sig-cluster-ops,108
sig-auth,158
kubernetes-careers,336
openstack-helm,342
sig-node-rkt,380
travis-ci,381
sig-testing,408
sig-aws,467
github,475
de-users,518
fr-users,577
kompose,616
kubernetes-pm,639
kops-users,688
sig-azure,752
sig-scalability,792
sig-network,842
sig-autoscaling,893
sig-apps,962
sig-multicluster,1016
community-sites,1069
sig-windows,1116
sig-node,1181
sig-scheduling,1226
sig-contribex,1233
helm-users,1289
kubeadm,1357
sig-ui,1395
kubernetes-dev,1465
sig-big-data,1487
kubernetes-novice,1542
kubernetes-users,1556
events,1636
sig-instrumentation,1665
sig-cluster-lifecycle,1691
sig-release,1697
sig-onprem,1727
openstack-kolla,1728
fr-events,1731
sig-api-machinery,1749
sig-cli,1783
sig-docs,1809
kubespray,1847
wg-resource-mgmt,1858
jenkins-ci,1904
sig-storage,1960
minikube,1978
gke,2012
de-events,2018
elastickube,2026
sig-gcp,2029
