name,url html,percentage programming file,has pull request merged,use issue for tracking,# contributors,# commits,last update at least in 2018
burrow,https://github.com/hyperledger/burrow,82.5,True,True,24,2069,True
indy-plenum,https://github.com/hyperledger/indy-plenum,93.28295549958018,True,False,39,5407,True
sawtooth-core,https://github.com/hyperledger/sawtooth-core,52.45559038662487,True,False,71,7593,True
fabric,https://github.com/hyperledger/fabric,82.01104330136589,True,False,167,9084,True
iroha,https://github.com/hyperledger/iroha,80.73394495412845,True,True,50,6708,True
fabric-sdk-py,https://github.com/hyperledger/fabric-sdk-py,45.9214501510574,True,False,19,290,True
blockchain-explorer,https://github.com/hyperledger/blockchain-explorer,68.64406779661016,True,False,39,365,True
fabric-sdk-node,https://github.com/hyperledger/fabric-sdk-node,47.474747474747474,True,False,52,1284,True
fabric-baseimage,https://github.com/hyperledger/fabric-baseimage,48.275862068965516,True,False,22,141,True
iroha-ios,https://github.com/hyperledger/iroha-ios,87.16814159292035,True,True,7,284,True
iroha-javascript,https://github.com/hyperledger/iroha-javascript,87.5,True,True,7,52,True
iroha-android,https://github.com/hyperledger/iroha-android,49.34210526315789,True,True,6,431,True
indy-anoncreds,https://github.com/hyperledger/indy-anoncreds,64.51612903225806,True,False,24,394,True
indy-node,https://github.com/hyperledger/indy-node,62.97262059973925,True,False,63,3182,True
fabric-ca,https://github.com/hyperledger/fabric-ca,78.1495033978045,True,False,45,961,True
fabric-chaintool,https://github.com/hyperledger/fabric-chaintool,53.21100917431193,True,False,10,79,True
iroha-python,https://github.com/hyperledger/iroha-python,62.06896551724138,True,True,8,149,True
iroha-scala,https://github.com/hyperledger/iroha-scala,50.0,True,True,1,3,False
indy-sdk,https://github.com/hyperledger/indy-sdk,74.39303710490151,True,False,101,9921,True
fabric-sdk-go,https://github.com/hyperledger/fabric-sdk-go,89.63165075034107,True,False,29,1329,True
iroha-dotnet,https://github.com/hyperledger/iroha-dotnet,67.5,True,True,2,3,False
fabric-chaincode-node,https://github.com/hyperledger/fabric-chaincode-node,67.56756756756756,True,False,19,230,True
indy-crypto,https://github.com/hyperledger/indy-crypto,60.71428571428571,True,False,13,492,True
sawtooth-supply-chain,https://github.com/hyperledger/sawtooth-supply-chain,57.615894039735096,True,False,45,5252,True
quilt,https://github.com/hyperledger/quilt,89.75609756097562,True,True,10,86,True
sawtooth-seth,https://github.com/hyperledger/sawtooth-seth,45.22292993630573,True,False,50,5519,True
sawtooth-next-directory,https://github.com/hyperledger/sawtooth-next-directory,42.50343878954608,True,True,32,770,True
iroha-ed25519,https://github.com/hyperledger/iroha-ed25519,81.53153153153153,True,True,5,56,True
sawtooth-marketplace,https://github.com/hyperledger/sawtooth-marketplace,60.65573770491803,True,False,7,214,True
fabric-chaincode-evm,https://github.com/hyperledger/fabric-chaincode-evm,86.77839851024208,True,False,11,152,True
sawtooth-explorer,https://github.com/hyperledger/sawtooth-explorer,45.23809523809524,True,False,7,21,True
indy-jenkins-pipeline-lib,https://github.com/hyperledger/indy-jenkins-pipeline-lib,91.30434782608695,True,False,2,5,True
indy-post-install-automation,https://github.com/hyperledger/indy-post-install-automation,99.08256880733946,True,False,5,15,True
education-cryptomoji,https://github.com/hyperledger/education-cryptomoji,56.00000000000001,True,True,5,295,True
fabric-amcl,https://github.com/hyperledger/fabric-amcl,88.0,True,False,3,8,True
sawtooth-sdk-dotnet,https://github.com/hyperledger/sawtooth-sdk-dotnet,54.285714285714285,True,True,4,6,True
sawtooth-sabre,https://github.com/hyperledger/sawtooth-sabre,47.85276073619632,True,False,10,228,True
indy-agent,https://github.com/hyperledger/indy-agent,63.96396396396396,True,False,20,431,True
education-sawtooth-simple-supply,https://github.com/hyperledger/education-sawtooth-simple-supply,54.929577464788736,True,True,4,56,True
sawtooth-poet,https://github.com/hyperledger/sawtooth-poet,62.33766233766234,True,False,19,361,True
fabric-cli,https://github.com/hyperledger/fabric-cli,81.25,True,False,4,12,True
indy-test-automation,https://github.com/hyperledger/indy-test-automation,53.48837209302325,True,False,6,64,True
composer-concerto,https://github.com/hyperledger/composer-concerto,44.565217391304344,True,True,79,5023,True
composer-concerto-tools,https://github.com/hyperledger/composer-concerto-tools,59.64912280701754,True,True,4,38,True
fabric-lib-go,https://github.com/hyperledger/fabric-lib-go,89.67391304347827,True,False,4,7,True
ursa,https://github.com/hyperledger/ursa,57.009345794392516,True,False,13,430,True
sawtooth-sdk-python,https://github.com/hyperledger/sawtooth-sdk-python,45.64102564102564,True,False,70,7517,True
grid-contrib,https://github.com/hyperledger/grid-contrib,66.12903225806451,True,False,45,5269,True
iroha-java,https://github.com/hyperledger/iroha-java,66.26506024096386,True,True,4,32,True
fabric-gateway-java,https://github.com/hyperledger/fabric-gateway-java,82.35294117647058,True,True,4,14,True
