name,url html,percentage programming file,has pull request merged,use issue for tracking,# contributors,# commits,last update at least in 2018
kubernetes,https://github.com/kubernetes/kubernetes,68.45778712361863,True,True,380,77124,True
contrib,https://github.com/kubernetes/contrib,78.58312566749733,True,True,269,3879,True
dashboard,https://github.com/kubernetes/dashboard,80.9863523573201,True,True,167,2279,True
minikube,https://github.com/kubernetes/minikube,86.39481707317073,True,True,330,3963,True
test-infra,https://github.com/kubernetes/test-infra,68.86052871467639,True,True,373,21917,True
kops,https://github.com/kubernetes/kops,67.73300522916026,True,True,420,7941,True
client-go,https://github.com/kubernetes/client-go,88.6986301369863,True,True,240,1722,True
ingress-nginx,https://github.com/kubernetes/ingress-nginx,76.64745677774994,True,True,373,4007,True
apimachinery,https://github.com/kubernetes/apimachinery,81.94444444444444,True,True,158,1195,True
apiserver,https://github.com/kubernetes/apiserver,82.70707070707071,True,True,224,2549,True
autoscaler,https://github.com/kubernetes/autoscaler,79.53958045320671,True,True,194,2913,True
api,https://github.com/kubernetes/api,76.48026315789474,True,True,334,5061,True
federation,https://github.com/kubernetes/federation,72.10186678958286,True,True,379,14980,True
ingress-gce,https://github.com/kubernetes/ingress-gce,83.95472703062583,True,True,190,2871,True
