url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/157,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/454136737,https://github.com/hyperledger/composer-sample-applications/issues/157#issuecomment-454136737,dicontas,"I have installed composer-cli and the following command also fails with the same error:

composer network ping -c admin@letters-of-credit-network",2019-01-14 19:46:22,2019-01-14 19:46:40
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/156,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/450970517,https://github.com/hyperledger/composer-sample-applications/issues/156#issuecomment-450970517,davidkel,"Need to ensure you clear your browser cache, I recommend using incognito mode in chrome. Also there was an issue with the online playground giving similar errors due to problems with the cloud provider.
This would not have been specific to Letter of Credit sample.",2019-01-02 20:08:19,2019-01-02 20:08:19
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/155,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/441964044,https://github.com/hyperledger/composer-sample-applications/issues/155#issuecomment-441964044,davidkel,Closing as this issue contains no meaningful description or information.,2018-11-27 08:06:55,2018-11-27 08:06:55
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/153,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/418257082,https://github.com/hyperledger/composer-sample-applications/issues/153#issuecomment-418257082,davidkel,"The source is available in this repository so you can inspect the code to see how it works. axios is used to send a requests to a rest server, for example.
https://github.com/hyperledger/composer-sample-applications/blob/f40b78da35d2614d2e2932c21adb63520d3311f6/packages/letters-of-credit/src/components/LetterOfCredit/LetterOfCredit.js#L75",2018-09-04 06:38:16,2018-09-04 06:38:16
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/150,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/409838782,https://github.com/hyperledger/composer-sample-applications/issues/150#issuecomment-409838782,lulinglingcufe,"Maybe you should wait for some time. This also happened to me. But then I try to start  composer-rest-server on my sever (not on docker). And then I can see the pages when I start hyperledger/letters-of-credit:latest on docker .

I suggest you first make sure  http://localhost:3000/explorer/ is normally connected. Hope you run the app successfully！

![default](https://user-images.githubusercontent.com/17868127/43569925-9b4d7de4-966b-11e8-9471-f1164d7ccccd.png)

![default](https://user-images.githubusercontent.com/17868127/43569940-a8a34456-966b-11e8-939e-8237179f36cf.png)
",2018-08-02 07:51:00,2018-08-02 07:51:00
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/150,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/409839682,https://github.com/hyperledger/composer-sample-applications/issues/150#issuecomment-409839682,lulinglingcufe,"我一开始也是遇到这样的情况。感觉主要先确保 http://localhost:3000/explorer/  是可用的，并且提供的rest url是正确的。

APP开发得真好！：）",2018-08-02 07:54:36,2018-08-03 05:39:56
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/150,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/410149927,https://github.com/hyperledger/composer-sample-applications/issues/150#issuecomment-410149927,lulinglingcufe,"Please read the shell script carefully, and follow it. https://github.com/hyperledger/composer-sample-applications/blob/master/packages/letters-of-credit/installer/install.sh 

Make sure rest api provide urls like this  http://yourip:3000/api/Approve

![default](https://user-images.githubusercontent.com/17868127/43625841-b1d42c82-9721-11e8-9334-6cb595bcc225.png)

Or you can check your loading page to see which url your browser failed to get.

![default](https://user-images.githubusercontent.com/17868127/43626007-7d7737ee-9722-11e8-8f24-b30f7394993d.png)


",2018-08-03 05:38:54,2018-08-03 05:38:54
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/150,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/418273344,https://github.com/hyperledger/composer-sample-applications/issues/150#issuecomment-418273344,davidkel,Closing as no further entries from reporter. Assume resolved.,2018-09-04 07:47:29,2018-09-04 07:47:29
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/138,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/393471578,https://github.com/hyperledger/composer-sample-applications/pull/138#issuecomment-393471578,erin-hughes,Closing because of DCO nonsense :(,2018-05-31 09:26:40,2018-05-31 09:26:40
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/137,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/393574060,https://github.com/hyperledger/composer-sample-applications/issues/137#issuecomment-393574060,awjh-ibm,Ability to set custom config introduced by #140 ,2018-05-31 15:41:16,2018-05-31 15:41:16
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/136,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/418258603,https://github.com/hyperledger/composer-sample-applications/issues/136#issuecomment-418258603,davidkel,This is a sample and as such if you want to change the behaviour you can modify it for your own needs.,2018-09-04 06:45:32,2018-09-04 06:45:32
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/134,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/393467876,https://github.com/hyperledger/composer-sample-applications/pull/134#issuecomment-393467876,awjh-ibm,Thanks for the PR 😃 This issue has now been resolved by #135 where support was dropped for v0.16.x and the installer updated to use v0.19.x,2018-05-31 09:13:49,2018-05-31 09:13:49
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/130,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/379449565,https://github.com/hyperledger/composer-sample-applications/pull/130#issuecomment-379449565,cazfletch,@rmiroballi Can you add the dco sign off please,2018-04-07 08:30:11,2018-04-07 08:30:11
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/130,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/379508031,https://github.com/hyperledger/composer-sample-applications/pull/130#issuecomment-379508031,rmiroballi,Creating new PR with DCO,2018-04-08 00:05:04,2018-04-08 00:05:04
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/129,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/382594364,https://github.com/hyperledger/composer-sample-applications/issues/129#issuecomment-382594364,frbrkoala,"Tried to downgrade to 1.0.3, got the same error. Seems like the problem somewhere else. Downgrading composer to v0.16.2 didn't help ether.",2018-04-19 02:58:55,2018-04-19 02:58:55
https://api.github.com/repos/hyperledger/composer-sample-applications/issues/129,https://api.github.com/repos/hyperledger/composer-sample-applications/issues/comments/418259176,https://github.com/hyperledger/composer-sample-applications/issues/129#issuecomment-418259176,davidkel,HLF v1.0 and Composer 0.16 are old and have now further development being done. The demo was moved in line with supporting HLF V1.1 and equivalent version of composer and support for the demo running on HLF v1.0 was dropped.,2018-09-04 06:48:13,2018-09-04 06:48:13
