url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/88,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/438179115,https://github.com/hyperledger/composer-vscode-plugin/issues/88#issuecomment-438179115,dselman,Nice!,2018-11-13 08:29:59,2018-11-13 08:29:59
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/86,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/414555338,https://github.com/hyperledger/composer-vscode-plugin/pull/86#issuecomment-414555338,ryjones,The goal is to get projects using the same license file.,2018-08-21 05:36:55,2018-08-21 05:36:55
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/86,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/414654812,https://github.com/hyperledger/composer-vscode-plugin/pull/86#issuecomment-414654812,m-g-k,"Opps, approved before noticing the Travis failures. ",2018-08-21 12:21:39,2018-08-21 12:21:39
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/83,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/400667187,https://github.com/hyperledger/composer-vscode-plugin/pull/83#issuecomment-400667187,mttrbrts,"@m-g-k @mbwhite Can you assign a reviewer to this, please?",2018-06-27 13:15:31,2018-06-27 13:15:31
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/82,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/395724358,https://github.com/hyperledger/composer-vscode-plugin/issues/82#issuecomment-395724358,m-g-k,"Hi Dan, can you post a sample bna that does this so I can take a look at it please?",2018-06-08 10:47:37,2018-06-08 10:47:37
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/82,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/395725399,https://github.com/hyperledger/composer-vscode-plugin/issues/82#issuecomment-395725399,dselman,Try this CTO file: https://models.accordproject.org/finance/bond.html,2018-06-08 10:52:25,2018-06-08 10:52:25
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/80,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/395697727,https://github.com/hyperledger/composer-vscode-plugin/issues/80#issuecomment-395697727,m-g-k,"Hi, thanks for the report - I'll try and push a new version with a fix out later today",2018-06-08 09:00:03,2018-06-08 09:00:03
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/80,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/395716529,https://github.com/hyperledger/composer-vscode-plugin/issues/80#issuecomment-395716529,m-g-k,This was caused by an underlying problem in the composer-common library used by the plugin and has already been fixed there. So just updating the plugin to use the latest composer-common has fixed this. Please install the v0.19.8 version which includes the fix. This has just been pushed to the marketplace so the install should happen automatically.,2018-06-08 10:11:31,2018-06-08 10:11:31
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/71,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/385677658,https://github.com/hyperledger/composer-vscode-plugin/issues/71#issuecomment-385677658,m-g-k,"Yep working on it - hopefully in a day or so it will be there. FYI, you can install the v0.19.1 release manually from the release page if you are really stuck for a new version until I get it onto the marketplace from the release page here: [v0.19.1](https://github.com/hyperledger/composer-vscode-plugin/releases/download/v0.19.1/composer-support-client-0.19.1.vsix)",2018-05-01 14:01:44,2018-05-01 14:01:58
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/71,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/385917463,https://github.com/hyperledger/composer-vscode-plugin/issues/71#issuecomment-385917463,m-g-k,v0.19.1 has now been published to the marketplace. Normal service resumed :-),2018-05-02 09:23:54,2018-05-02 09:23:54
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/67,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/379185630,https://github.com/hyperledger/composer-vscode-plugin/pull/67#issuecomment-379185630,awjh-ibm,Please do not merge until Mark has approved the new license check version,2018-04-06 08:30:43,2018-04-06 08:30:43
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/67,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/379447382,https://github.com/hyperledger/composer-vscode-plugin/pull/67#issuecomment-379447382,sstone1,"LGTM, don't need to wait for Mark ;-)",2018-04-07 08:00:37,2018-04-07 08:00:37
https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/61,https://api.github.com/repos/hyperledger/composer-vscode-plugin/issues/comments/360822037,https://github.com/hyperledger/composer-vscode-plugin/issues/61#issuecomment-360822037,fenglianxu,"**Abstract**
Currently there is no unit test for the VSCode composer server extension, this story is for adding unit tests for the VSCode composer server extension.  The unit test will allow us to verify the extension functions with confidence. ",2018-01-26 15:50:48,2018-01-26 15:50:48
