url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/hyperledger/issues/67,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/333999351,https://github.com/hyperledger/hyperledger/pull/67#issuecomment-333999351,ryjones,@tkuhrt could you please squash this and sign your commits (git -s) please?,2017-10-03 22:38:11,2017-10-03 22:38:11
https://api.github.com/repos/hyperledger/hyperledger/issues/67,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/334817056,https://github.com/hyperledger/hyperledger/pull/67#issuecomment-334817056,tkuhrt,@ryjones : Can you recheck the squash and git -s,2017-10-06 17:18:56,2017-10-06 17:18:56
https://api.github.com/repos/hyperledger/hyperledger/issues/50,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/246497663,https://github.com/hyperledger/hyperledger/pull/50#issuecomment-246497663,ryjones,"LGTM
",2016-09-12 21:20:34,2016-09-12 21:20:34
https://api.github.com/repos/hyperledger/hyperledger/issues/48,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/242814654,https://github.com/hyperledger/hyperledger/pull/48#issuecomment-242814654,dcmiddle,"LGTM as a first draft.  
",2016-08-26 18:29:43,2016-08-26 18:29:43
https://api.github.com/repos/hyperledger/hyperledger/issues/46,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/240761614,https://github.com/hyperledger/hyperledger/pull/46#issuecomment-240761614,christo4ferris,"@rjones-lf if you wouldn't mind reviewing and merging. Thanks!
",2016-08-18 15:32:37,2016-08-18 15:32:37
https://api.github.com/repos/hyperledger/hyperledger/issues/44,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/233479467,https://github.com/hyperledger/hyperledger/pull/44#issuecomment-233479467,jeremysevareid,"Attempted merge but still getting ""only write access"" message despite dummy .travis.yml file that enables build.
",2016-07-18 22:33:54,2016-07-18 22:33:54
https://api.github.com/repos/hyperledger/hyperledger/issues/43,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/233476474,https://github.com/hyperledger/hyperledger/pull/43#issuecomment-233476474,jeremysevareid,"Tried to add two files, but not clear if allowing merge into master.
",2016-07-18 22:19:09,2016-07-18 22:19:09
https://api.github.com/repos/hyperledger/hyperledger/issues/41,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/230535345,https://github.com/hyperledger/hyperledger/pull/41#issuecomment-230535345,jeremysevareid,"Thanks for your help.

From: Ry Jones [mailto:notifications@github.com] 
Sent: Tuesday, July 5, 2016 12:35 PM
To: hyperledger/hyperledger hyperledger@noreply.github.com
Cc: Jeremy Sevareid jeremysevareid@gmail.com; Author author@noreply.github.com
Subject: Re: [hyperledger/hyperledger] jonathanlevi's membership services pdf (#41)

Merged #41 https://github.com/hyperledger/hyperledger/pull/41 .

—
You are receiving this because you authored the thread.
Reply to this email directly, view it on GitHub https://github.com/hyperledger/hyperledger/pull/41#event-713258074 , or mute the thread https://github.com/notifications/unsubscribe/ASUixwyPC92zBzWMmyfBk6gwEIQj8WySks5qSoekgaJpZM4JFSlT .  https://github.com/notifications/beacon/ASUixxKvRiRw58-VUTG3lpyxuETgjO65ks5qSoekgaJpZM4JFSlT.gif 
",2016-07-05 16:49:29,2016-07-05 16:49:29
https://api.github.com/repos/hyperledger/hyperledger/issues/37,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/225875134,https://github.com/hyperledger/hyperledger/pull/37#issuecomment-225875134,christo4ferris,"LGTM thanks 
",2016-06-14 13:07:33,2016-06-14 13:07:33
https://api.github.com/repos/hyperledger/hyperledger/issues/36,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/225875405,https://github.com/hyperledger/hyperledger/pull/36#issuecomment-225875405,christo4ferris,"bump @rjones-lf thx
",2016-06-14 13:08:41,2016-06-14 13:08:41
https://api.github.com/repos/hyperledger/hyperledger/issues/34,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/223332662,https://github.com/hyperledger/hyperledger/pull/34#issuecomment-223332662,christo4ferris,"LGTM thanks!
",2016-06-02 15:43:45,2016-06-02 15:43:45
https://api.github.com/repos/hyperledger/hyperledger/issues/33,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/223329019,https://github.com/hyperledger/hyperledger/pull/33#issuecomment-223329019,joshhus,"You might choose to fix typos in this PR ... ""Collborative"" ... ""Swatooth"" (others?)  ... no bw to do this now, sorry.
",2016-06-02 15:32:07,2016-06-02 15:32:07
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204326469,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204326469,frozeman,"+1
",2016-04-01 09:24:35,2016-04-01 09:24:35
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204333053,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204333053,akinmail,"Finally something interesting
",2016-04-01 09:46:27,2016-04-01 09:46:27
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204340556,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204340556,murraci,"Wonderful suggestion. 
",2016-04-01 10:20:41,2016-04-01 10:20:41
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204393432,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204393432,jeremyeder,"ship it
",2016-04-01 13:16:06,2016-04-01 13:16:06
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204405133,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204405133,cap2002,"ACK
",2016-04-01 13:54:44,2016-04-01 13:54:44
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204418609,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204418609,rfikki,"+2
",2016-04-01 14:34:11,2016-04-01 14:34:11
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204630403,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204630403,kumavis,"LGTM
",2016-04-02 02:13:44,2016-04-02 02:13:44
https://api.github.com/repos/hyperledger/hyperledger/issues/10,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/204632098,https://github.com/hyperledger/hyperledger/pull/10#issuecomment-204632098,texture,"Problem solved. 
",2016-04-02 02:28:53,2016-04-02 02:28:53
https://api.github.com/repos/hyperledger/hyperledger/issues/8,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/192330520,https://github.com/hyperledger/hyperledger/pull/8#issuecomment-192330520,christo4ferris,"I offer this as an initial draft outline for the Hyperledger project's whitepaper. As we have yet to devise a formal process for it's development, I would also propose that we use the comments to build consensus on agreement to merge changes, starting with this. I would also propose that the team that is developing the use cases and requirements take on the formal role of managing this along with those use cases and requirements.
",2016-03-04 15:51:16,2016-03-04 15:51:16
https://api.github.com/repos/hyperledger/hyperledger/issues/8,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/192331128,https://github.com/hyperledger/hyperledger/pull/8#issuecomment-192331128,Horizon88,"following this and whitepaper.md - good proposal! @christo4ferris 

I have a use case to propose. Who is the team that is developing use cases?
",2016-03-04 15:52:35,2016-03-04 15:52:35
https://api.github.com/repos/hyperledger/hyperledger/issues/8,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/192333983,https://github.com/hyperledger/hyperledger/pull/8#issuecomment-192333983,christo4ferris,"@horizon88 Patrick Holmes sent a note to the hyperledger-tsc looking for volunteers to contribute to the use case and requirements working group.
",2016-03-04 16:00:46,2016-03-04 16:00:46
https://api.github.com/repos/hyperledger/hyperledger/issues/8,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/195753189,https://github.com/hyperledger/hyperledger/pull/8#issuecomment-195753189,vishalya,"@christo4ferris, so based on your comments here, is Patrik Homles the point contact to develop this whitepaper work going forward?
",2016-03-12 14:57:06,2016-03-12 14:57:06
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184881898,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184881898,gubatron,"can anyone confirm [that is the actual code](https://github.com/openblockchain/obc-peer)?

Lot of news outlets today talking about the code release, only to come here and still see a README file.
",2016-02-16 21:29:47,2016-02-16 21:29:47
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184890528,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184890528,christo4ferris,"@gubatron yes, that is IBM's _proposed_ contribution - it is up to the Hyperledger Project and the TSC to actually agree that that would be the starting base from which we develop. I believe that there will be formal proposals discussed during this week's TSC. 
",2016-02-16 21:54:34,2016-02-16 21:54:34
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184891530,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184891530,ebuchman,"I would recommend all parties adopt [Tendermint](https://github.com/tendermint/tendermint) as the core consensus engine as its Byzantine Fault Tolerance algorithm is highly efficient and provides the strongest guarantees. It is also now incredibly easy to write applications, in any language, on top. Indeed, it would be possible to integrate some of IBMs work in on top. 
",2016-02-16 21:58:24,2016-02-16 21:58:24
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184891547,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184891547,gubatron,"sweet!
Thanks @christo4ferris for the clarification.
",2016-02-16 21:58:29,2016-02-16 21:58:29
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184892789,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184892789,ameadors,"Thanks Christopher

Where is the TSC being held ?

Can you please share the proposed ideas with remote community

thanks
- Andrew

On Feb 16, 2016, at 4:54 PM, Christopher Ferris <notifications@github.com<mailto:notifications@github.com>> wrote:

@gubatronhttps://github.com/gubatron yes, that is IBM's proposed contribution - it is up to the Hyperledger Project and the TSC to actually agree that that would be the starting base from which we develop. I believe that there will be formal proposals discussed during this week's TSC.

—
Reply to this email directly or view it on GitHubhttps://github.com/hyperledger/hyperledger/pull/3#issuecomment-184890528.
",2016-02-16 22:03:23,2016-02-16 22:03:23
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184895664,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-184895664,christo4ferris,"The discussion happens on the email list and the info about the weekly TSC calls is posted on the website: https://www.hyperledger.org/community
",2016-02-16 22:09:14,2016-02-16 22:09:14
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185049002,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185049002,dazraf,"+1 for TenderMint PBFT implementation 
",2016-02-17 06:34:44,2016-02-17 06:34:44
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185227290,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185227290,ScroogeMcDuckButWithBitcoin,"Wow - am I to understand that this is an append-only database? This is going to be so useful, I can't believe no one thought of doing something like that sooner.
",2016-02-17 14:24:22,2016-02-17 14:24:22
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185227800,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185227800,zamrokk,"@ScroogeMcDuckButWithBitcoin I think you don't get the point. Read more about Blockchain technology first and you will understand why
",2016-02-17 14:26:02,2016-02-17 14:26:02
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185229084,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185229084,ScroogeMcDuckButWithBitcoin,"I've looked into it a little. It seems like you put your transactions into folders, checksum them, and then broadcast the folders. So it sounds a lot like PGP encrypted email, but sent to everyone on the network. Which I'm guessing would be really useful for bankers.
",2016-02-17 14:29:45,2016-02-17 14:29:45
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185275227,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185275227,quiquee,"That is the best explanation of blockchain technology that I have ever
heard. Thanks Benjamin, you can be sure I am using it from now on
El 17/2/2016 15:29, ""Scrooge McDuck, but with Bitcoin"" <
notifications@github.com> escribió:

> I've looked into it a little. It seems like you put your transactions into
> folders, checksum them, and then broadcast the folders. So it sounds a lot
> like PGP encrypted email, but sent to everyone on the network. Which I'm
> guessing would be really useful for bankers.
> 
> —
> Reply to this email directly or view it on GitHub
> https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185229084
> .
",2016-02-17 16:08:59,2016-02-17 16:08:59
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185276307,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185276307,jonathanferrier,"Dido

> On Feb 17, 2016, at 09:09, quiquee notifications@github.com wrote:
> 
> That is the best explanation of blockchain technology that I have ever
> heard. Thanks Benjamin, you can be sure I am using it from now on
> El 17/2/2016 15:29, ""Scrooge McDuck, but with Bitcoin"" <
> notifications@github.com> escribió:
> 
> > I've looked into it a little. It seems like you put your transactions into
> > folders, checksum them, and then broadcast the folders. So it sounds a lot
> > like PGP encrypted email, but sent to everyone on the network. Which I'm
> > guessing would be really useful for bankers.
> > 
> > —
> > Reply to this email directly or view it on GitHub
> > https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185229084
> > .
> > 
> > —
> > Reply to this email directly or view it on GitHub https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185275227.
",2016-02-17 16:11:05,2016-02-17 16:11:05
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185296360,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185296360,mkdolan,"Hi all, just FYI we updated the README yesterday with pointers to community proposed core code contributions. The TSC will be evaluating various proposals and combinations and setup core projects to work on the code. 

[https://github.com/hyperledger/hyperledger](https://github.com/hyperledger/hyperledger)
",2016-02-17 16:56:56,2016-02-17 16:56:56
https://api.github.com/repos/hyperledger/hyperledger/issues/3,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/185935726,https://github.com/hyperledger/hyperledger/pull/3#issuecomment-185935726,gubatron,"@mkdolan much thanks! it's so much better now.
![thank you](https://cloud.githubusercontent.com/assets/163977/13159309/0f2bb412-d65f-11e5-997c-8ea8ffce67d5.jpg)
",2016-02-18 21:45:49,2016-02-18 21:45:49
https://api.github.com/repos/hyperledger/hyperledger/issues/2,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/182524186,https://github.com/hyperledger/hyperledger/pull/2#issuecomment-182524186,asanz,"👍

Sent from my iPhone

> On 10 Feb 2016, at 18:27, Stefan Buhrmester notifications@github.com wrote:
> 
> You can view, comment on, or merge this pull request online at:
> 
>   https://github.com/hyperledger/hyperledger/pull/2
> 
> Commit Summary
> 
> Create ledger.js
> File Changes
> 
> A ledger.js (1)
> Patch Links:
> 
> https://github.com/hyperledger/hyperledger/pull/2.patch
> https://github.com/hyperledger/hyperledger/pull/2.diff
> —
> Reply to this email directly or view it on GitHub.
",2016-02-10 18:43:15,2016-02-10 18:43:15
https://api.github.com/repos/hyperledger/hyperledger/issues/2,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/182591802,https://github.com/hyperledger/hyperledger/pull/2#issuecomment-182591802,ebuchman,"Ledger should be capitalized. Please read the contribution guidelines before submitting PRs. Otherwise, great work!
",2016-02-10 21:35:11,2016-02-10 21:35:11
https://api.github.com/repos/hyperledger/hyperledger/issues/2,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/182597397,https://github.com/hyperledger/hyperledger/pull/2#issuecomment-182597397,joshuajeeson,"😎👍
",2016-02-10 21:52:06,2016-02-10 21:52:06
https://api.github.com/repos/hyperledger/hyperledger/issues/2,https://api.github.com/repos/hyperledger/hyperledger/issues/comments/184874835,https://github.com/hyperledger/hyperledger/pull/2#issuecomment-184874835,EtherTyper,":+1: POJO vs IBM's solution? POJO any day. :laughing:
",2016-02-16 21:07:54,2016-02-16 22:41:25
