url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/123,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/418201622,https://github.com/hyperledger/indy-anoncreds/pull/123#issuecomment-418201622,evernym-ci,Can one of the admins verify this patch?,2018-09-03 22:45:18,2018-09-03 22:45:18
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/123,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/418201624,https://github.com/hyperledger/indy-anoncreds/pull/123#issuecomment-418201624,hyperledger-github,Could one of the committers please verify this patch?,2018-09-03 22:45:19,2018-09-03 22:45:19
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/123,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/418672971,https://github.com/hyperledger/indy-anoncreds/pull/123#issuecomment-418672971,andkononykhin,(ci) ok to test,2018-09-05 09:57:41,2018-09-05 09:57:41
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/121,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362374680,https://github.com/hyperledger/indy-anoncreds/pull/121#issuecomment-362374680,evernym-ci,Can one of the admins verify this patch?,2018-02-01 19:26:22,2018-02-01 19:26:22
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/121,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362374684,https://github.com/hyperledger/indy-anoncreds/pull/121#issuecomment-362374684,hyperledger-github,Could one of the committers please verify this patch?,2018-02-01 19:26:22,2018-02-01 19:26:22
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/121,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362503941,https://github.com/hyperledger/indy-anoncreds/pull/121#issuecomment-362503941,andkononykhin,ok to test,2018-02-02 07:04:01,2018-02-02 07:04:01
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/121,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362508651,https://github.com/hyperledger/indy-anoncreds/pull/121#issuecomment-362508651,andkononykhin,@ryjones Hello Ry. Trigger works well. Thank you,2018-02-02 07:33:51,2018-02-02 07:33:51
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/120,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362150191,https://github.com/hyperledger/indy-anoncreds/pull/120#issuecomment-362150191,evernym-ci,Can one of the admins verify this patch?,2018-02-01 03:49:08,2018-02-01 03:49:08
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/120,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362150192,https://github.com/hyperledger/indy-anoncreds/pull/120#issuecomment-362150192,hyperledger-github,Can one of the admins verify this patch?,2018-02-01 03:49:08,2018-02-01 03:49:08
https://api.github.com/repos/hyperledger/indy-anoncreds/issues/120,https://api.github.com/repos/hyperledger/indy-anoncreds/issues/comments/362153339,https://github.com/hyperledger/indy-anoncreds/pull/120#issuecomment-362153339,ryjones,test this please,2018-02-01 04:14:12,2018-02-01 04:14:12
