url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/indy-crypto/issues/147,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/454798572,https://github.com/hyperledger/indy-crypto/pull/147#issuecomment-454798572,ArthurManz,Awesome!,2019-01-16 14:28:28,2019-01-16 14:28:28
https://api.github.com/repos/hyperledger/indy-crypto/issues/147,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/455473525,https://github.com/hyperledger/indy-crypto/pull/147#issuecomment-455473525,KitHat,@mikelodder7 changed it,2019-01-18 08:59:27,2019-01-18 08:59:27
https://api.github.com/repos/hyperledger/indy-crypto/issues/139,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/442117917,https://github.com/hyperledger/indy-crypto/pull/139#issuecomment-442117917,KitHat,"Yes, it will.
The problem is that previous hex serialization was platform-dependent -- see [IS-1093](https://jira.hyperledger.org/browse/IS-1093) and [IS-1043](https://jira.hyperledger.org/browse/IS-1043)
We were serializing inner representation of BIG in AMCL instead of raw bytes.",2018-11-27 16:13:59,2018-11-27 16:13:59
https://api.github.com/repos/hyperledger/indy-crypto/issues/139,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/442119492,https://github.com/hyperledger/indy-crypto/pull/139#issuecomment-442119492,mikelodder7,Okay so this is to fix a known bug. Since you've referenced it now in this PR I'll go ahead and merge it once it passes tests.,2018-11-27 16:18:10,2018-11-27 16:18:26
https://api.github.com/repos/hyperledger/indy-crypto/issues/134,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/436991780,https://github.com/hyperledger/indy-crypto/pull/134#issuecomment-436991780,aknuds1,"@mikelodder7 As I realized that my initial PR for adding JS bindings only supported Node.js, I figured out in the meantime how to support the browser. Basically, it must apparently be done via Webpack. At least that's the only solution I could get to work and the wasm-bindgen folks mentioned that's what they use.

The original Node.js support should work as before with this PR, while also letting people use the library in the browser.",2018-11-08 13:22:30,2018-11-08 13:23:11
https://api.github.com/repos/hyperledger/indy-crypto/issues/132,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/435863116,https://github.com/hyperledger/indy-crypto/pull/132#issuecomment-435863116,ArthurManz,Any idea when this would be merged and when could we use it in Indy SDK?,2018-11-05 12:53:07,2018-11-05 12:53:07
https://api.github.com/repos/hyperledger/indy-crypto/issues/132,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/435876311,https://github.com/hyperledger/indy-crypto/pull/132#issuecomment-435876311,mikelodder7,Talk to the maintainers. I’m hoping not too long.,2018-11-05 13:38:57,2018-11-05 13:38:57
https://api.github.com/repos/hyperledger/indy-crypto/issues/132,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/435887675,https://github.com/hyperledger/indy-crypto/pull/132#issuecomment-435887675,ArthurManz,I will ask on the Slack channel! Thanks! :smile: ,2018-11-05 14:08:10,2018-11-05 14:08:10
https://api.github.com/repos/hyperledger/indy-crypto/issues/132,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/436706473,https://github.com/hyperledger/indy-crypto/pull/132#issuecomment-436706473,mikelodder7,">Are the changes introduced here internal to the library, or could they break upstream dependencies?


They are internal. Indy-SDK would not see any of this.",2018-11-07 17:25:00,2018-11-07 17:25:11
https://api.github.com/repos/hyperledger/indy-crypto/issues/132,https://api.github.com/repos/hyperledger/indy-crypto/issues/comments/438205323,https://github.com/hyperledger/indy-crypto/pull/132#issuecomment-438205323,jovfer,"> They are internal. Indy-SDK would not see any of this.

@mikelodder7 @brentzundel Unfortunately it's not true. This PR contains breaking changes. And new master is incompatible with current stable.",2018-11-13 09:55:28,2018-11-13 09:55:37
