url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/iroha/issues/2209,https://api.github.com/repos/hyperledger/iroha/issues/comments/479501967,https://github.com/hyperledger/iroha/pull/2209#issuecomment-479501967,luckychess,CI confuses me a bit - looks like all tests are passed but it shows failure status.,2019-04-03 14:00:19,2019-04-03 14:00:19
https://api.github.com/repos/hyperledger/iroha/issues/2209,https://api.github.com/repos/hyperledger/iroha/issues/comments/479822917,https://github.com/hyperledger/iroha/pull/2209#issuecomment-479822917,MBoldyrev,also it would be nice to give the patch `patch/synchronize-lock-recursion-thread-safety.patch` a more meaningful and descriptive name. I would suggest either renaming it with some `rxcpp` prefix or moving to a directory like `patches/external/rxcpp` (it other patches to rxcpp are probable).,2019-04-04 09:28:53,2019-04-04 09:28:53
https://api.github.com/repos/hyperledger/iroha/issues/2202,https://api.github.com/repos/hyperledger/iroha/issues/comments/478472474,https://github.com/hyperledger/iroha/pull/2202#issuecomment-478472474,igor-egorov,"A comment before the code review regarding an **alternative design**:
> Use something like circular buffer to allow newer batches push out the oldest ones.

I don't think that applying circular buffer here is a good solution. That case can cause a situation when a user puts half of the signatures to a transaction and then the transaction will disappear at some point in `GetPendingTransactions` query response. It will be neither passed to stateful validation nor ""mst""-expired in case of circular buffer substitution. 
Probably for that case, we will have to introduce some additional status (what will look very weird for me).
",2019-04-01 07:47:47,2019-04-01 07:47:47
https://api.github.com/repos/hyperledger/iroha/issues/2201,https://api.github.com/repos/hyperledger/iroha/issues/comments/478941816,https://github.com/hyperledger/iroha/pull/2201#issuecomment-478941816,lebdron,Does not seem required since develop builds successfully without any changes at the moment.,2019-04-02 10:43:08,2019-04-02 10:43:08
https://api.github.com/repos/hyperledger/iroha/issues/2198,https://api.github.com/repos/hyperledger/iroha/issues/comments/479840381,https://github.com/hyperledger/iroha/pull/2198#issuecomment-479840381,igor-egorov,CI failed due to known issue of 9.0 apple clang.,2019-04-04 10:22:41,2019-04-04 10:22:41
https://api.github.com/repos/hyperledger/iroha/issues/2196,https://api.github.com/repos/hyperledger/iroha/issues/comments/478940740,https://github.com/hyperledger/iroha/pull/2196#issuecomment-478940740,lebdron,Please add a task and TODO to remove unused configs.,2019-04-02 10:39:25,2019-04-02 10:39:25
https://api.github.com/repos/hyperledger/iroha/issues/2188,https://api.github.com/repos/hyperledger/iroha/issues/comments/475156804,https://github.com/hyperledger/iroha/pull/2188#issuecomment-475156804,igor-egorov,">do we need honest validators in all these module tests?

Not sure. I left it as is because the main focus was not to break tests, which were already using the real instance of ProtoQueryFactory (just one more dependency was added - ProtoBlocksQueryFactory).",2019-03-21 09:13:26,2019-03-21 09:14:44
https://api.github.com/repos/hyperledger/iroha/issues/2184,https://api.github.com/repos/hyperledger/iroha/issues/comments/474514931,https://github.com/hyperledger/iroha/pull/2184#issuecomment-474514931,luckychess,"Hi, @namitkrarya. Congratulations on your first Iroha PR!
Your idea is very sensible. Unfortunately, we have at least two reasons not to make that change right now:

- Removing a field from block is a backward-incompatible change (since block's hashes become different) and prefer to avoid them at this point, at least before we make Iroha fully backwards compatible with different block versions (v2 in this case).
- Another mechanism for limiting amount of transactions in a block should be designed. It could be a stateless validation rule of something different. At the moment we are not sure.

Thank you for mentioning that, it does seem outdated. But we need to have a discussion about how to make the change and what alternative design to use.
",2019-03-19 18:30:51,2019-03-19 18:30:51
https://api.github.com/repos/hyperledger/iroha/issues/2176,https://api.github.com/repos/hyperledger/iroha/issues/comments/473814962,https://github.com/hyperledger/iroha/pull/2176#issuecomment-473814962,lebdron,"`git show ead86af` can be used to review the merge commit, since github shows changes in develop, which are not related to fake peers.",2019-03-18 08:30:20,2019-03-18 08:30:20
https://api.github.com/repos/hyperledger/iroha/issues/2173,https://api.github.com/repos/hyperledger/iroha/issues/comments/473792584,https://github.com/hyperledger/iroha/pull/2173#issuecomment-473792584,lebdron,"@neewy 
I am not sure that both suggested changes are applicable at the moment. There were no load tests for MST transactions yet, and testing for 500ms delay is still in progress.",2019-03-18 07:01:32,2019-03-18 07:01:32
https://api.github.com/repos/hyperledger/iroha/issues/2171,https://api.github.com/repos/hyperledger/iroha/issues/comments/472885560,https://github.com/hyperledger/iroha/pull/2171#issuecomment-472885560,neewy,@LiraLemur can you please jump in and help with styling and proper alignment? Thanks!,2019-03-14 14:29:58,2019-03-14 14:29:58
https://api.github.com/repos/hyperledger/iroha/issues/2171,https://api.github.com/repos/hyperledger/iroha/issues/comments/472899319,https://github.com/hyperledger/iroha/pull/2171#issuecomment-472899319,LiraLemur,@neewy please check if you like my idea,2019-03-14 14:52:03,2019-03-14 14:52:03
https://api.github.com/repos/hyperledger/iroha/issues/2171,https://api.github.com/repos/hyperledger/iroha/issues/comments/472927022,https://github.com/hyperledger/iroha/pull/2171#issuecomment-472927022,neewy,@LiraLemur can we format it somehow so that it occupies less vertical space? e.g. table in all-contributors: https://github.com/all-contributors/all-contributors#emoji-key,2019-03-14 15:44:03,2019-03-14 15:44:03
https://api.github.com/repos/hyperledger/iroha/issues/2171,https://api.github.com/repos/hyperledger/iroha/issues/comments/476477071,https://github.com/hyperledger/iroha/pull/2171#issuecomment-476477071,neewy,It it better to reformat this table in two rows ,2019-03-26 05:05:49,2019-03-26 05:05:49
https://api.github.com/repos/hyperledger/iroha/issues/2171,https://api.github.com/repos/hyperledger/iroha/issues/comments/476695142,https://github.com/hyperledger/iroha/pull/2171#issuecomment-476695142,LiraLemur,Fixed the table ,2019-03-26 15:13:12,2019-03-26 15:13:12
https://api.github.com/repos/hyperledger/iroha/issues/2168,https://api.github.com/repos/hyperledger/iroha/issues/comments/478470323,https://github.com/hyperledger/iroha/pull/2168#issuecomment-478470323,bakhtin,Make sure to fix a cleanup schedule. The rest seems fine,2019-04-01 07:40:33,2019-04-01 07:40:33
https://api.github.com/repos/hyperledger/iroha/issues/2162,https://api.github.com/repos/hyperledger/iroha/issues/comments/472304956,https://github.com/hyperledger/iroha/pull/2162#issuecomment-472304956,neewy,Just a hint for the future: if you update the docs include [ci skip] to your commits so that CI is not triggered for your build,2019-03-13 07:06:04,2019-03-13 07:06:04
