url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/82,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/414555410,https://github.com/hyperledger/sawtooth-marketplace/pull/82#issuecomment-414555410,ryjones,The goal is to get projects using the same license file.,2018-08-21 05:37:18,2018-08-21 05:37:18
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/82,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/414705178,https://github.com/hyperledger/sawtooth-marketplace/pull/82#issuecomment-414705178,flatout,"What is the plan for Rights-Managed assets? 
https://www.w3.org/TR/odrl-model/",2018-08-21 14:58:48,2018-08-21 14:58:48
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/81,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/391590883,https://github.com/hyperledger/sawtooth-marketplace/pull/81#issuecomment-391590883,askmish,@varasudha194 Could you limit your Commit message subject/title to about 50-72 characters. And put a detailed description of what changes are going in in the commit message body.,2018-05-24 05:15:22,2018-05-24 05:15:22
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/81,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/475759140,https://github.com/hyperledger/sawtooth-marketplace/pull/81#issuecomment-475759140,dplumb94,Closed due to inactivity,2019-03-22 19:54:21,2019-03-22 19:54:21
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/79,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/354308505,https://github.com/hyperledger/sawtooth-marketplace/pull/79#issuecomment-354308505,boydjohnson,This PR supercedes #77 ,2017-12-28 15:46:46,2017-12-28 15:46:46
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/77,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/354018772,https://github.com/hyperledger/sawtooth-marketplace/pull/77#issuecomment-354018772,delventhalz,@peterschwarz `@mini.coin`? Is there a standard way to make up fake email addresses?,2017-12-26 22:15:01,2017-12-26 22:15:13
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/77,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/354019138,https://github.com/hyperledger/sawtooth-marketplace/pull/77#issuecomment-354019138,peterschwarz,"Merely making sure that we're careful about the fake addresses we choose.  You could use `@minicoin.example`, since `.example` will never be a TLD: https://en.wikipedia.org/wiki/.example",2017-12-26 22:19:03,2017-12-26 22:19:03
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/75,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/353998266,https://github.com/hyperledger/sawtooth-marketplace/pull/75#issuecomment-353998266,peterschwarz,"Drop a `LICENSE` file in the docs dir with the following:

```
Licensed under Creative Commons Attribution 4.0 International License
https://creativecommons.org/licenses/by/4.0/
```",2017-12-26 18:27:38,2017-12-26 18:27:38
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/75,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/354024583,https://github.com/hyperledger/sawtooth-marketplace/pull/75#issuecomment-354024583,delventhalz,@peterschwarz Done.,2017-12-26 23:28:11,2017-12-26 23:28:11
https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/74,https://api.github.com/repos/hyperledger/sawtooth-marketplace/issues/comments/354017804,https://github.com/hyperledger/sawtooth-marketplace/pull/74#issuecomment-354017804,delventhalz,"Looks like you can kill the TP with this PR in.

Steps:
1) Setup new Components
2) Seed data
3) Use web app to create new offer with Sawbuck Central limited to a particular pubkey
4) Attempt to accept that offer with a different account

Causes a `'dict' object has no attribute 'intersection'` error.

```
sawtooth-validator    | [2017-12-26 21:58:23.316 DEBUG    interconnect] ServerThread receiving CLIENT_BATCH_SUBMIT_REQUEST message: 1740 bytes
sawtooth-validator    | [2017-12-26 21:58:23.321 DEBUG    interconnect] ServerThread sending CLIENT_BATCH_SUBMIT_RESPONSE to b'5b4dc0b686794893'
sawtooth-validator    | [2017-12-26 21:58:23.324 DEBUG    interconnect] ServerThread sending TP_PROCESS_REQUEST to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.331 DEBUG    interconnect] ServerThread receiving TP_STATE_GET_REQUEST message: 177 bytes
sawtooth-validator    | [2017-12-26 21:58:23.334 DEBUG    tp_state_handlers] GET: [('cd6744e109c32e1f9b1b2d03f7b3bccb3cd74584ddf8ed2dc2264b993574a6352846bf', b'\n\x95\x02\n$08777479-b5b8-41e7-a3f0-1735892d507d\x12\x10Sawbucks for Zac\x1a""Special Sawbuck Offer just for Zac""B032be79ff63595177650a9ea4f6d8f7fccbe4dd8ee8d960c55dc2cfa3715ffcf7a*$d7b122d6-6bbb-40e0-a6a2-09135c7ea2a40\x80\x89zJG\x08\xca\x01\x12B0310857cd625832e80ff2edf971d14b5ff382b1ec7ce96536ea5b3b98be124dc9bP\x01')]
sawtooth-validator    | [2017-12-26 21:58:23.335 DEBUG    interconnect] ServerThread sending TP_STATE_GET_RESPONSE to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.338 DEBUG    interconnect] ServerThread receiving TP_STATE_GET_REQUEST message: 177 bytes
sawtooth-validator    | [2017-12-26 21:58:23.339 DEBUG    tp_state_handlers] GET: [('cd67447151c2ccb9b00a1d5c9b26ca0d085edc33f12d51313e2632ab1e284ce5ab9673', b'\n\xba\x01\n$d7b122d6-6bbb-40e0-a6a2-09135c7ea2a4\x12\tSawbucket\x1a1An unlimited supply of precious precious Sawbucks""B032be79ff63595177650a9ea4f6d8f7fccbe4dd8ee8d960c55dc2cfa3715ffcf7a*\x07Sawbuck0\xfe\xff\xff\xff\xff\xff\xff\x1f')]
sawtooth-validator    | [2017-12-26 21:58:23.340 DEBUG    interconnect] ServerThread sending TP_STATE_GET_RESPONSE to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.343 DEBUG    interconnect] ServerThread receiving TP_STATE_GET_REQUEST message: 177 bytes
sawtooth-validator    | [2017-12-26 21:58:23.345 DEBUG    tp_state_handlers] GET: [('cd67440326592abb03801c54b18e52cc72f4bcf7a56fafd75e90618a65b1c9a24e4621', b'\n\x87\x01\n\x07Sawbuck\x124Sawtooth loyalty points, better than cryptocurrency!\x1aB032be79ff63595177650a9ea4f6d8f7fccbe4dd8ee8d960c55dc2cfa3715ffcf7a""\x02\x08d')]
sawtooth-validator    | [2017-12-26 21:58:23.346 DEBUG    interconnect] ServerThread sending TP_STATE_GET_RESPONSE to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.351 DEBUG    interconnect] ServerThread receiving TP_STATE_GET_REQUEST message: 177 bytes
sawtooth-validator    | [2017-12-26 21:58:23.352 DEBUG    tp_state_handlers] GET: [('cd67447b9d20e22e61a3945204ed4210a6b343db00065f2b29578f170e77af61a14467', b'\n\x91\x01\n$87a98bce-4285-4a8e-9525-0e70bb4d20a7\x12\tSawbucket\x1a\x0eBob\'s Sawbucks""B027e9206f27f2d1e0e2315a376d70a804a68c787195ec412ea13f4123cfd06be7e*\x07Sawbuck0\xd0\x0f')]
sawtooth-validator    | [2017-12-26 21:58:23.353 DEBUG    interconnect] ServerThread sending TP_STATE_GET_RESPONSE to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.356 DEBUG    interconnect] ServerThread receiving TP_STATE_GET_REQUEST message: 177 bytes
sawtooth-validator    | [2017-12-26 21:58:23.358 DEBUG    tp_state_handlers] GET: [('cd67440326592abb03801c54b18e52cc72f4bcf7a56fafd75e90618a65b1c9a24e4621', b'\n\x87\x01\n\x07Sawbuck\x124Sawtooth loyalty points, better than cryptocurrency!\x1aB032be79ff63595177650a9ea4f6d8f7fccbe4dd8ee8d960c55dc2cfa3715ffcf7a""\x02\x08d')]
sawtooth-validator    | [2017-12-26 21:58:23.358 DEBUG    interconnect] ServerThread sending TP_STATE_GET_RESPONSE to b'2e2561e467f54a5d'
market-processor      | Error: 'dict' object has no attribute 'intersection'
sawtooth-validator    | [2017-12-26 21:58:23.372 DEBUG    interconnect] ServerThread sending PING_REQUEST to b'2e2561e467f54a5d'
sawtooth-validator    | [2017-12-26 21:58:23.374 DEBUG    interconnect] ServerThread sending PING_REQUEST to b'eb22d5ddae2b4606'
sawtooth-validator    | [2017-12-26 21:58:23.390 DEBUG    interconnect] ServerThread receiving CLIENT_BATCH_STATUS_REQUEST message: 205 bytes
sawtooth-settings-tp  | [2017-12-26 21:58:23.394 DEBUG    core] received message of type: PING_REQUEST
sawtooth-validator    | [2017-12-26 21:58:23.400 DEBUG    interconnect] ServerThread receiving PING_RESPONSE message: 70 bytes
sawtooth-validator    | [2017-12-26 21:58:23.402 DEBUG    interconnect] message round trip: PING_RESPONSE 0.02772212028503418
market-processor exited with code 0
```",2017-12-26 22:02:31,2017-12-26 22:11:29
