url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/41,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/476234979,https://github.com/hyperledger/sawtooth-rfcs/pull/41#issuecomment-476234979,vaporos,I assume the intent here is to also be removed from the various files in teams/.,2019-03-25 14:59:01,2019-03-25 14:59:01
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/38,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/468806976,https://github.com/hyperledger/sawtooth-rfcs/pull/38#issuecomment-468806976,vaporos,< snarky >Comment about whitespace changes< /snarky >,2019-03-01 20:50:16,2019-03-01 20:50:39
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/38,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/468810543,https://github.com/hyperledger/sawtooth-rfcs/pull/38#issuecomment-468810543,agunde406,@vaporos < snarky >Comment about whitespace changes< /snarky > updated,2019-03-01 21:02:17,2019-03-01 21:02:17
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/37,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/474607225,https://github.com/hyperledger/sawtooth-rfcs/pull/37#issuecomment-474607225,agunde406,"Propose this RFC be merged. Additionally, propose initializing this new component from the current prototype available at https://github.com/bitwiseio/sawtooth-sdk-swift

After approval by the root subteam (for adding the component) and core subteam (for technical review of this RFC and proposed code), this RFC will enter its final comment period. After FCP has ended, a new repository will be created and initialized.

  - [x] Shawn Amundson
  - [x] Tom Barnes
  - [x] Andi Gunderson
~~[ ] Adam Ludvik~~ Removing due to resignation
  - [x] Dan Middleton
  - [x] James Mitchell
  - [x] Kelly Olson
  - [x] Peter Schwarz",2019-03-19 22:20:53,2019-03-28 15:39:21
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/37,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/477652317,https://github.com/hyperledger/sawtooth-rfcs/pull/37#issuecomment-477652317,agunde406,"This RFC has entered the final comment period. If there are no substantive requests for changes by April 4th, 2019 it will be merged.",2019-03-28 15:44:32,2019-03-28 15:44:32
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/449628777,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-449628777,yoni-wolf,"apologize for the mess, started again with only the one initial commit",2018-12-23 11:00:09,2018-12-23 11:00:09
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/451067969,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-451067969,yoni-wolf,"> apologize for the mess, started again with only the one initial commit

@agunde406 can you please restart your review?",2019-01-03 07:01:29,2019-01-03 07:01:29
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/454672280,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-454672280,yoni-wolf,Can we progress with getting this approved?,2019-01-16 06:55:02,2019-01-16 06:55:02
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/458025007,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-458025007,yoni-wolf,Added paging mechanism.,2019-01-28 07:35:41,2019-01-28 07:35:41
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/460036447,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-460036447,yoni-wolf,"@peterschwarz @vaporos @agunde406 @dcmiddle 
Added paging mechanism to address the performance concerns.
[Oron added use case](https://github.com/hyperledger/sawtooth-rfcs/pull/34#discussion_r251311188)  that helps explain why this feature is required.

Can you please review again?
Thanks",2019-02-03 09:29:25,2019-02-03 09:29:25
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/461438616,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-461438616,agunde406,There are still quite a few comments that have not been addressed.,2019-02-07 14:22:33,2019-02-07 14:22:33
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/466100884,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-466100884,duncanjw,"I'm delighted to see this RFC proposed as we hit exactly this problem running a [Sawtooth Workshop](https://s3.eu-west-2.amazonaws.com/btp-website-downloads/Workshops/BTP+Hyperledger+Sawtooth+Application+Developer+Workshop+-+Cyberport+HK.pdf) aimed exclusively at developers in Hong Kong in December.

What was intuitive to the developers when tackling a programming exercise aimed at creating a voting app TP was reading the current set of voters using the voters prefix to determine whether someone registering was in fact already registered when handing a register to vote transaction.

They were baffled when they discovered they couldn't do this.",2019-02-21 17:58:35,2019-02-21 17:59:26
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/34,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/478704908,https://github.com/hyperledger/sawtooth-rfcs/pull/34#issuecomment-478704908,jsmitchell,"> I'm delighted to see this RFC proposed as we hit exactly this problem running a [Sawtooth Workshop](https://s3.eu-west-2.amazonaws.com/btp-website-downloads/Workshops/BTP+Hyperledger+Sawtooth+Application+Developer+Workshop+-+Cyberport+HK.pdf) aimed exclusively at developers in Hong Kong in December.
> 
> What was intuitive to the developers when tackling a programming exercise aimed at creating a voting app TP was reading the current set of voters using the voters prefix to determine whether someone registering was in fact already registered when handing a register to vote transaction.
> 
> They were baffled when they discovered they couldn't do this.

This is an application design issue, and does not require the feature described in this RFC. If the application was designed to store voter registration information at a deterministic location based on information describing the voter, then the existence check becomes an O(1) operation, a direct lookup.",2019-04-01 19:04:20,2019-04-01 19:04:20
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/32,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/443234642,https://github.com/hyperledger/sawtooth-rfcs/pull/32#issuecomment-443234642,dcmiddle,I think this would be a useful addition to the administrative APIs. Main thing to work out are security cosiderations.,2018-11-30 15:16:07,2018-11-30 15:16:07
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/32,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/447813778,https://github.com/hyperledger/sawtooth-rfcs/pull/32#issuecomment-447813778,eugene-babichenko,"Just uploaded an update. Here is what is changed:

- Extended the range of error codes for adding peers.
- Added the description for peers removal.
- Now requests for adding peers are submitted one by one instead of doing that in batches. The rationale behind that is fairly simple. Now this RFC support error codes that are returned after the connection is finished or failed. Because of that we need control over each separate connection and they may fail with different errors.
- Added the description of the permissioning model. This is very basic and I doubt if it should be generalized somehow (added that to the ""Unresloved questions"" section).",2018-12-17 11:30:25,2018-12-17 11:30:25
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/32,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/456274983,https://github.com/hyperledger/sawtooth-rfcs/pull/32#issuecomment-456274983,vaporos,"I like this proposal overall.

I wonder if this truly belongs in the Client* message namespace, or whether we should have an administrative set of messages. This is similar to the question of whether it should be exposed in the REST API, but more fundamentally whether it should be able to be bound to a different port.",2019-01-22 05:23:07,2019-01-22 05:23:07
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/32,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/456792515,https://github.com/hyperledger/sawtooth-rfcs/pull/32#issuecomment-456792515,eugene-babichenko,"I am not sure if we should define a separate namespace here &mdash; this falls beyond the scope of this proposal. I followed the simple logic here: if something does not belong to TPs or consensus engine, this should be in the Client* namespace.

Do you mean by ""to be bound to a different port"" that those messages should be on a different port than `component`?",2019-01-23 12:59:58,2019-01-23 12:59:58
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/32,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/479232628,https://github.com/hyperledger/sawtooth-rfcs/pull/32#issuecomment-479232628,vaporos,"Should the authorization for this feature occur during the connection conversation (see authorization.proto)? I think it may be appropriate to add ADMIN to ""RoleType"" and create an Admin* message namespace in addition to Client*, etc.",2019-04-02 22:25:55,2019-04-02 22:25:55
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/31,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/474610456,https://github.com/hyperledger/sawtooth-rfcs/pull/31#issuecomment-474610456,agunde406,"Propose this RFC be merged. After approval by the core subteam, this RFC will enter its final comment period.

  - [x] Shawn Amundson
  - [x] Andi Gunderson
  - [x] Adam Ludvik
  - [x] Dan Middleton
  - [x] James Mitchell
  - [x] Peter Schwarz",2019-03-19 22:32:28,2019-03-25 18:15:19
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/31,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/476355737,https://github.com/hyperledger/sawtooth-rfcs/pull/31#issuecomment-476355737,agunde406,"This RFC has entered the final comment period. If there are no substantive requests for changes by April 1st, 2019 it will be merged.",2019-03-25 20:03:44,2019-03-25 20:03:44
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/30,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/474610357,https://github.com/hyperledger/sawtooth-rfcs/pull/30#issuecomment-474610357,agunde406,"Propose this RFC be merged. After approval by the core subteam, this RFC will enter its final comment period.

  - [x] Shawn Amundson
  - [x] Andi Gunderson
  - [x] Adam Ludvik
  - [x] Dan Middleton
  - [x] James Mitchell
  - [x] Peter Schwarz",2019-03-19 22:32:04,2019-03-25 18:04:34
https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/30,https://api.github.com/repos/hyperledger/sawtooth-rfcs/issues/comments/476314830,https://github.com/hyperledger/sawtooth-rfcs/pull/30#issuecomment-476314830,dcmiddle,"I previously approved this, but I feel like there was some conversation about using aggregated signatures that either didn't happen or wasn't captured. 
In short, I still agree that as written this would be a useful feature, but I would encourage any developers to consider aggregated signatures in lieu of separate signature fields appended for the n replica votes.",2019-03-25 18:06:20,2019-03-25 18:06:20
