url issues,url_api comment,url_html comment,user create comment,body,created_at,updated_at
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/25,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/470394742,https://github.com/hyperledger/sawtooth-sdk-go/issues/25#issuecomment-470394742,arsulegai,"@hitarshi Please refer to the file at https://github.com/hyperledger/sawtooth-sdk-go/blob/master/Dockerfile

2 steps
1. Install debs you see in this dockerfile.
2. Go get packages seen before go generate in this dockerfile.",2019-03-07 05:50:12,2019-03-07 05:50:12
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/435937176,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-435937176,arsulegai,@vaporos ,2018-11-05 16:22:53,2018-11-05 16:22:53
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/442882857,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-442882857,agunde406,@arsulegai  looks like this pr needs to be rebased,2018-11-29 15:48:30,2018-11-29 15:48:30
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/442891726,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-442891726,arsulegai,"Ok, I will update the branch",2018-11-29 16:10:54,2018-11-29 16:10:54
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/448544908,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-448544908,arsulegai,This is rebased.,2018-12-19 10:24:56,2018-12-19 10:24:56
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/453824690,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-453824690,arsulegai,"> I also suggest working on creating those Dockerfile for building and adding unit tests you mentioned above.

@agunde406 I will push another pull request to enable integration tests similar to the one in sawtooth-core for intkey python, there was no much scope for unit testing here. Enabled build for sawtooth_intkey_client along with TP also enabled gofmt check for it.",2019-01-13 12:14:15,2019-01-13 12:14:15
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/460779892,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-460779892,agunde406,"This pr needs to be rebased
",2019-02-05 19:53:45,2019-02-05 19:53:45
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/17,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/460871539,https://github.com/hyperledger/sawtooth-sdk-go/pull/17#issuecomment-460871539,arsulegai,"> This pr needs to be rebased

Done",2019-02-06 01:36:17,2019-02-06 01:36:17
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/16,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/433380192,https://github.com/hyperledger/sawtooth-sdk-go/issues/16#issuecomment-433380192,arsulegai,"**[Edit]**
Go implementation of intkey client is available in examples/intkey_go/src/sawtooth_intkey_client

**[Original answer]**
@Kaixinguoer210 that'll be a client application in go language.

There were many requests for writing a client application using sawtooth go sdk, I am working on merging this code. For time being you may find working code for intkey-go in my repository https://github.com/arsulegai/sawtooth-sdk-go/tree/intkey_go_client/examples/intkey_go/src/sawtooth_intkey_client also there's a PR raised on sawtooth-core repository for documenting how to build a client in go.",2018-10-26 11:41:45,2019-02-13 13:37:08
https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/16,https://api.github.com/repos/hyperledger/sawtooth-sdk-go/issues/comments/433763010,https://github.com/hyperledger/sawtooth-sdk-go/issues/16#issuecomment-433763010,Kaixinguoer210,@arsulegai Thank you very much. I will check it again.,2018-10-29 01:33:32,2018-10-29 01:33:32
