Sender,channel,text,url_html,is issue,is comment's issue,is pull request,is comment's pull request,issue or pull another repository,is other issue or pull of another organization,url not found
derekwaynecarr,kubernetes-novice,<@U3Z60K88M> <@U1C6EK4HL> -- i added input here: <https://github.com/kubernetes/community/pull/933#issuecomment-344071014>  i think i prefer this approach as it requires no API change,https://github.com/kubernetes/community/pull/933#issuecomment-344071014,False,False,False,False,True,False,False
cape,kubernetes-novice,"<@U0BMY7D2Q> I'm having issues creating a `LoadBalancer` service with UDP. I see that you submitted <https://github.com/kubernetes/kubernetes/pull/45523>, which seems to be merged and also there are corresponding ACS-engine merges (unsure exactly what that means, but I take it that it is good...)
If I create a service with UDP and LoadBalancer, I just get a `&lt;pending&gt;` external ip. We're running a 1.7.7 cluster, so it looks like the change should be in there?",https://github.com/kubernetes/kubernetes/pull/45523,False,False,True,False,False,False,False
bryk,kubernetes-novice,<@U4GKJBB40> I made what I can on the PR <https://github.com/kubernetes/kubernetes/pull/53046>,https://github.com/kubernetes/kubernetes/pull/53046,False,False,True,False,False,False,False
tkral,kubernetes-novice,<@U2TU9NPH9> is working on adding support for building and pushing images <https://github.com/kubernetes-incubator/kompose/pull/521>,https://github.com/kubernetes-incubator/kompose/pull/521,False,False,False,False,False,True,False
mcheah,kubernetes-novice,"FYI I fixed merge conflicts in <https://github.com/apache-spark-on-k8s/spark/pull/521>

I think I put back the proper R docker file support",https://github.com/apache-spark-on-k8s/spark/pull/521,False,False,False,False,False,True,False
liggitt,kubernetes-novice,(c.f. <https://github.com/kubernetes/kubernetes/issues/16543#issuecomment-157091086>),https://github.com/kubernetes/kubernetes/issues/16543#issuecomment-157091086,False,True,False,False,False,False,False
porridge,kubernetes-novice,"does the k8s go client library perform some kind of request multiplexing within a TLS connection to the API? in particular, while a watch is in flight is it possible to issue a simple GET over the same TCP connection? context: <https://github.com/kubernetes/kubernetes/pull/54990#issuecomment-341682469>",https://github.com/kubernetes/kubernetes/pull/54990#issuecomment-341682469,False,True,False,False,False,False,False
shadycuz,kubernetes-novice,"I'm having trouble with HPA and heapster, same troubles as this guy <https://github.com/kubernetes/heapster/issues/1908>
```
Events:
  Type     Reason                        Age               From                       Message
  ----     ------                        ----              ----                       -------
  Warning  FailedGetResourceMetric       30s (x4 over 1h)  horizontal-pod-autoscaler  unable to get metrics for resource memory: failed to get pod resource metrics: an error on the server (""Error: 'dial tcp 10.40.0.8:8082: getsockopt: connection timed out'\nTrying to reach: '<http://10.40.0.8:8082/apis/metrics/v1alpha1/namespaces/staging/pods?labelSelector=app%3Davro-schema-registry%2Cconfluent-version%3D3.3.1%2Cenv%3Dstaging%2Cversion%3D0.11.0.1>'"") has prevented the request from succeeding (get services http:heapster:)
  Warning  FailedComputeMetricsReplicas  30s (x4 over 1h)  horizontal-pod-autoscaler  failed to get memory utilization: unable to get metrics for resource memory: failed to get pod resource metrics: an error on the server (""Error: 'dial tcp 10.40.0.8:8082: getsockopt: connection timed out'\nTrying to reach: '<http://10.40.0.8:8082/apis/metrics/v1alpha1/namespaces/staging/pods?labelSelector=app%3Davro-schema-registry%2Cconfluent-version%3D3.3.1%2Cenv%3Dstaging%2Cversion%3D0.11.0.1>'"") has prevented the request from succeeding (get services http:heapster:)

```",https://github.com/kubernetes/heapster/issues/1908,False,False,False,False,True,False,False
maciekpytel,kubernetes-novice,is anyone looking at <https://github.com/kubernetes/kubernetes/issues/54574> while he's out?,https://github.com/kubernetes/kubernetes/issues/54574,True,False,False,False,False,False,False
colemickens,kubernetes-novice,<@U0YJS6LHL> any feelings about labeling this for the 1.9 milestone? <https://github.com/kubernetes/kubernetes/pull/55833>,https://github.com/kubernetes/kubernetes/pull/55833,False,False,True,False,False,False,False
mmichael,kubernetes-novice,"hi all and <@U0CBHE6GM> , i wanted to let you know that the sig-windows would like to update feature <https://github.com/kubernetes/features/issues/116> to alpha for v1.5 of k8s instead of beta. We have been plagued by a myriad of issues around automated e2e tests (with the support of sig-testing) and DNS issues coming from the Docker implementation on windows. Alpha would more closely represent reality given some of the gaps outlined above. is that ok?",https://github.com/kubernetes/features/issues/116,False,False,False,False,True,False,False
nikhita,kubernetes-novice,"about <https://github.com/kubernetes/kubernetes/pull/52828#issuecomment-347110209>, the bot suggests to use the 'keep-open' label (but doesn't mention which command to use).

Also, I noticed that the 'keep-open' label does not exist anymore. Any idea what needs to be done to keep a PR open then?",https://github.com/kubernetes/kubernetes/pull/52828#issuecomment-347110209,False,True,False,False,False,False,False
tkral,kubernetes-novice,<@U7YB8L5UM> it looks like there is PR in progress for v3 build - <https://github.com/kubernetes/kompose/pull/846>,https://github.com/kubernetes/kompose/pull/846,False,False,False,False,True,False,False
kokhang,kubernetes-novice,"Hello, i was told to post my question here. My team here at HPE have built a loadbalancer project for kubernetes that will provide HA loadbalancing and access to kubernetes services.  <https://github.com/hpcloud/kubernetes-service-loadbalancer>. Previously i pushed a PR (<https://github.com/kubernetes/contrib/pull/1343>) to kubernetes/contrib. But since /contrib is being deprecated, i am wondering what is the best way to maximize exposure of this project so that people in the community can start using and contributing to it.",https://github.com/kubernetes/contrib/pull/1343,False,False,False,False,True,False,False
rohimma,kubernetes-novice,<https://github.com/kubernetes/kubeadm/issues/new> &lt;---,https://github.com/kubernetes/kubeadm/issues/ne,False,False,False,False,True,False,False
liggitt,kubernetes-novice,Take a look at <https://github.com/kubernetes/community/pull/1503>,https://github.com/kubernetes/community/pull/1503,False,False,False,False,True,False,False
