Sender,channel,text,url_html,is issue,is comment's issue,is pull request,is comment's pull request,issue or pull another repository,is other issue or pull of another organization,url not found
qasim.sarfraz,kubernetes-pm,"I am assuming I was hitting this, <https://github.com/kubernetes/minikube/issues/2199>, before I restarted the control plane components!",https://github.com/kubernetes/minikube/issues/2199,False,False,False,False,True,False,False
cdrage,kubernetes-pm,snarwade tkral procrypt fixed it: <https://github.com/kubernetes-incubator/kompose/pull/660>,https://github.com/kubernetes-incubator/kompose/pull/660,False,False,False,False,False,True,False
cdrage,kubernetes-pm,"if you're having troubles, look at the --volumes PR I pushed, it's the exact same as adding the --controller <https://github.com/kubernetes/kompose/pull/787>",https://github.com/kubernetes/kompose/pull/787,False,False,False,False,True,False,False
ixdy,kubernetes-pm,<https://github.com/kubernetes/test-infra/pull/5865> seems to be where things broke,https://github.com/kubernetes/test-infra/pull/5865,False,False,False,False,True,False,False
jhorwit2,kubernetes-pm,"<@U6N42AE8G> 
<https://github.com/kubernetes/features/issues/92>
<https://github.com/kubernetes/features/issues/460>
<https://github.com/kubernetes/features/issues/370>",https://github.com/kubernetes/features/issues/370,False,False,False,False,True,False,False
spiffxp,kubernetes-pm,"Using <https://github.com/kubernetes/community/pull/1533> as a tracer bullet, does the submit queue status need to be modified?",https://github.com/kubernetes/community/pull/1533,False,False,False,False,True,False,False
chrislovecnm,kubernetes-pm,Maybe <https://github.com/kubernetes/test-infra/issues/1906>,https://github.com/kubernetes/test-infra/issues/1906,False,False,False,False,True,False,False
cmceniry,kubernetes-pm,"ah - it was in the community notes for today:
<https://docs.google.com/document/d/1VQDIAB0OqiSjIHI8AWMvSdceWhnz56jNpZrLs6o7NJY/#heading=h.bvg9w8qwsmq0>
[0:35] Known issue when upgrading from &lt;1.6.4 to 1.6.4 or 1.6.5 when using GCLB
<https://github.com/kubernetes/ingress/issues/842> - GCP HealthCheck customizations lost upgrading to GLBC 0.9.3",https://github.com/kubernetes/ingress/issues/842,False,False,False,False,True,False,False
cjwagner,kubernetes-pm,"<@U0XHYG6ET> Here is an issue to make some improvements to the plugin help page: <https://github.com/kubernetes/test-infra/issues/6050>

if you would prefer to write some go code here is another issue that needs someone to take it over: <https://github.com/kubernetes/test-infra/issues/3795>",https://github.com/kubernetes/test-infra/issues/6050,False,False,False,False,True,False,False
ericchiang,kubernetes-pm,"<@U8B9K1ZPG> <https://github.com/kubernetes/kubernetes/issues/37822> is a good summary of the state of things. it depends on your provider, which may have some concept of ""public clients"" where the client-secret isn't secret",https://github.com/kubernetes/kubernetes/issues/37822,True,False,False,False,False,False,False
chaosaffe,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/18261>,https://github.com/kubernetes/kubernetes/pull/18261,False,False,True,False,False,False,False
sszuecs,kubernetes-pm,anyone having problems with docker as shown in <https://github.com/moby/moby/issues/33820> ?,https://github.com/moby/moby/issues/33820,False,False,False,False,False,True,False
liggitt,kubernetes-pm,"if it is pre-1.7.x, <https://github.com/kubernetes/kubernetes/pull/44076> would be relevant",https://github.com/kubernetes/kubernetes/pull/44076,False,False,True,False,False,False,False
euank,kubernetes-pm,Might get fixed by <https://github.com/coreos/rkt/pull/3486>. At the very least it will make it easier to clean them up eventually.,https://github.com/coreos/rkt/pull/3486,False,False,False,False,False,True,False
jhorwit2,kubernetes-pm,np! There's also a vault provider impl WIP <https://github.com/kubernetes/kubernetes/issues/49817>,https://github.com/kubernetes/kubernetes/issues/49817,True,False,False,False,False,False,False
luxas,kubernetes-pm,The biggest user-facing issue from SIG-Cluster-Lifecycle is now ready review. A heads up for you so you know that it's coming: <https://github.com/kubernetes/kubernetes/pull/48899#issuecomment-320272186>,https://github.com/kubernetes/kubernetes/pull/48899#issuecomment-320272186,False,True,False,False,False,False,False
carlos.panato,kubernetes-pm,i saw this one: <https://github.com/kubernetes/test-infra/issues/5283>,https://github.com/kubernetes/test-infra/issues/5283,False,False,False,False,True,False,False
rmt,kubernetes-pm,"<@U69QYR4TV>.. did you have any luck with the etcd open connections issue? <@U6S1GQY1H> and I are colleagues.
 <https://github.com/kubernetes/kubernetes/issues/54138/> is the issue we are following, but it appears to be ignored, so we might be alone. Custom deployment on your end?

ApiServers seem to be maintaining the connections to etcd, reconnecting them if etcd goes down. I guess it's a leak of goroutines.",https://github.com/kubernetes/kubernetes/issues/54138,True,False,False,False,False,False,False
bassam,kubernetes-pm,thanks <@U0XDUM3FZ> . moving on to the next issue now <https://github.com/coreos/rkt/issues/3181#issuecomment-270165987> :slightly_smiling_face:,https://github.com/coreos/rkt/issues/3181#issuecomment-270165987,False,False,False,False,False,True,False
luxas,kubernetes-pm,<@U0CBHE6GM> We do: <https://github.com/kubernetes/features/issues/296>,https://github.com/kubernetes/features/issues/296,False,False,False,False,True,False,False
surajd,kubernetes-pm,<@U3R8AEEQG> <https://github.com/kubernetes/kompose/pull/626#discussion_r127797088>,https://github.com/kubernetes/kompose/pull/626#discussion_r127797088,False,False,False,False,True,False,False
surajnarwade,kubernetes-pm,<@U0DE6E8JY> I need  review on <https://github.com/kubernetes-incubator/kompose/pull/560>,https://github.com/kubernetes-incubator/kompose/pull/560,False,False,False,False,False,True,False
cmluciano,kubernetes-pm,<@U0YJS6LHL> Is it permissible to add things like <https://github.com/kubernetes/kubernetes/pull/51959> to the milestone,https://github.com/kubernetes/kubernetes/pull/51959,False,False,True,False,False,False,False
rupsky,kubernetes-pm,I am looking to use Hashicorp Vault as backend for Kuberneters Secretes. Has anyone tried this ?   I found this old open ticket <https://github.com/kubernetes/kubernetes/issues/10439> . Not sure if any progress has been made there,https://github.com/kubernetes/kubernetes/issues/10439,True,False,False,False,False,False,False
fejta,kubernetes-pm,"Aaaand 174,000 lines removed <https://github.com/kubernetes/test-infra/pull/6141>",https://github.com/kubernetes/test-infra/pull/6141,False,False,False,False,True,False,False
aledbf,kubernetes-pm,this PR <https://github.com/aws/amazon-vpc-cni-k8s/pull/17> add support for network policy using calico,https://github.com/aws/amazon-vpc-cni-k8s/pull/17,False,False,False,False,False,True,False
bentheelder,kubernetes-pm,<https://github.com/kubernetes/test-infra/pull/6067>,https://github.com/kubernetes/test-infra/pull/6067,False,False,False,False,True,False,False
notjames,kubernetes-pm,"at first we thought that it might have been because we were using an unsanctioned version of etcd with 1.8.x. The sanctioned IE tested version is 3.0.17, but I just had a minimal cluster die last night while using 3.0.17 — although I failed to check the file descriptor usage so this issue might be a different one. I’m spinning up a new cluster and will be keeping an eye on it. We were tracking this issue <https://github.com/samsung-cnct/kraken/issues/203> and <https://github.com/samsung-cnct/kraken/issues/206>",https://github.com/samsung-cnct/kraken/issues/206,False,False,False,False,False,True,False
cdrage,kubernetes-pm,hey <@U2SBSJEHJ>  I'm having a lot of troubles with the openshift cluster tests... even locally it seems to fail a small amount of times. Any ideas regarding the CrashLoopBackoff? <https://github.com/kubernetes/kompose/pull/763>,https://github.com/kubernetes/kompose/pull/763,False,False,False,False,True,False,False
robocop,kubernetes-pm,<@U0TH372DT> open issue still? <https://github.com/kubernetes/kubernetes/issues/45419>,https://github.com/kubernetes/kubernetes/issues/45419,True,False,False,False,False,False,False
philips,kubernetes-pm,<@U0AGW7007>: want me to rebase? <https://github.com/kubernetes/features/pull/17>,https://github.com/kubernetes/features/pull/17,False,False,False,False,True,False,False
cdrage,kubernetes-pm,"I replied on here: <https://github.com/kubernetes-incubator/kompose/pull/521#issuecomment-305185041> but for the first question, should we error out if trying to do `kompose up` with just a build dir?",https://github.com/kubernetes-incubator/kompose/pull/521#issuecomment-305185041,False,False,False,False,False,True,False
puneetguptanitj,kubernetes-pm,"Hi I am not sure if this is the right channel but saw <@U0BGPQ6DS> your comments on <https://github.com/openshift/origin/issues/8070>, our usecase is to compose API servers where one server handles certain API groups while delegates rest to the next server in the chain. Would genericapiserver be a good starting point for that?",https://github.com/openshift/origin/issues/8070,False,False,False,False,False,True,False
cdrage,kubernetes-pm,i just commented on <https://github.com/kubernetes/kompose/issues/636#issuecomment-336027297> but was very confused what you meant in your description. perhaps go more into detail,https://github.com/kubernetes/kompose/issues/636#issuecomment-336027297,False,False,False,False,True,False,False
bentheelder,kubernetes-pm,eg <https://github.com/kubernetes/charts/pull/3047>,https://github.com/kubernetes/charts/pull/3047,False,False,False,False,True,False,False
surajnarwade,kubernetes-pm,"hey guys, needs review for this, <https://github.com/kubernetes/kompose/pull/707>",https://github.com/kubernetes/kompose/pull/707,False,False,False,False,True,False,False
obristow,kubernetes-pm,"Sorry, I'm out of ideas for workarounds if you can't change registry access contstraints or maybe go through a proxy (may not be doable with a reasonable amount of work). I don't think it would take too much work to to make kompose take an `ImagePullSecret` through a label <https://github.com/kubernetes/kompose/issues/897>",https://github.com/kubernetes/kompose/issues/897,False,False,False,False,True,False,False
dimitar,kubernetes-pm,"hi all, I've seen this issue <https://github.com/kubernetes/features/issues/63> which seems to clearly say that currently only docker images are supported in k8s . I just want to double check nevertheless because my team was really hoping to use ACI images. So, can it be done?",https://github.com/kubernetes/features/issues/63,False,False,False,False,True,False,False
mkumatag,kubernetes-pm,submitted the PR - <https://github.com/kubernetes/kubernetes/pull/44910> for multi architecture k8s test docker images. PTAL..,https://github.com/kubernetes/kubernetes/pull/44910,False,False,True,False,False,False,False
liggitt,kubernetes-pm,finally finally figured out the TestCascadingDeletion integration test flake - <https://github.com/kubernetes/kubernetes/issues/56121#issuecomment-353265160>,https://github.com/kubernetes/kubernetes/issues/56121#issuecomment-353265160,False,True,False,False,False,False,False
cdrage,kubernetes-pm,commented here: <https://github.com/kubernetes/kompose/pull/787#issuecomment-324063029> <@U0DE6E8JY>,https://github.com/kubernetes/kompose/pull/787#issuecomment-324063029,False,False,False,False,True,False,False
tkral,kubernetes-pm,<@U2TU9NPH9> is working on adding support for building and pushing images <https://github.com/kubernetes-incubator/kompose/pull/521>,https://github.com/kubernetes-incubator/kompose/pull/521,False,False,False,False,False,True,False
cdrage,kubernetes-pm,"<@U3R8AEEQG> I'm going to cancel the meeting, I've also put a PR up in regards to it: <https://github.com/kubernetes-incubator/kompose/pull/681>",https://github.com/kubernetes-incubator/kompose/pull/681,False,False,False,False,False,True,False
justinsb,kubernetes-pm,Thanks for the tips on CNI <@U7S8MD5G8>... will have to spin this up in kops <https://github.com/kubernetes/kops/issues/3964>,https://github.com/kubernetes/kops/issues/3964,False,False,False,False,True,False,False
oomichi,kubernetes-pm,"happy holiday :slightly_smiling_face:
Can somebody close <https://github.com/kubernetes/kubernetes/issues/24763> ?
That can be closed because test-infra one(<https://github.com/kubernetes/test-infra/issues/5701>) is merged instead",https://github.com/kubernetes/test-infra/issues/5701,False,False,False,False,True,False,False
cdrage,kubernetes-pm,"mention bot has been working well, but could <@U10KRBVHN> or <@U3R8AEEQG> give a quick review on: <https://github.com/kubernetes/kompose/pull/731> <https://github.com/kubernetes/kompose/pull/728> and <https://github.com/kubernetes/kompose/pull/727>",https://github.com/kubernetes/kompose/pull/727,False,False,False,False,True,False,False
cdrage,kubernetes-pm,Added: <https://github.com/kubernetes/kompose/pull/728> :),https://github.com/kubernetes/kompose/pull/728,False,False,False,False,True,False,False
surajd,kubernetes-pm,<@U2TU9NPH9> <https://github.com/dustymabe/fedpkg-kompose/pull/7>,https://github.com/dustymabe/fedpkg-kompose/pull/7,False,False,False,False,False,True,False
fejta,kubernetes-pm,Bot vs bot <https://github.com/kubernetes/kubernetes/issues/57585>,https://github.com/kubernetes/kubernetes/issues/57585,True,False,False,False,False,False,False
perotinus,kubernetes-pm,<https://github.com/kubernetes/k8s.io/pull/98>,https://github.com/kubernetes/k8s.io/pull/98,False,False,False,False,True,False,False
darrengarvey,kubernetes-pm,I just realised `hostPath` support got removed: <https://github.com/kubernetes-incubator/kompose/issues/109>,https://github.com/kubernetes-incubator/kompose/issues/109,False,False,False,False,False,True,False
jbguerraz,kubernetes-pm,"We're facing an issue with authorization mode ""allow all"" and some manifests that uses RBAC resources.

As far as we understood, the RBAC API is enabled by default but not the RBAC authorizer (<https://github.com/kubernetes/features/issues/2#issuecomment-330569468>).

So a manifest using RBAC resources should works (RBAC API would create unused stuff as there is not the RBAC authorizer to use them).

But we get a message ""<http://clusterroles.rbac.authorization.k8s.io|clusterroles.rbac.authorization.k8s.io> ""xxx"" is forbidden: attempt to grant extra privileges"" like there is an authorizer doing its authorization job (but we're yet using the flag `--authorization-mode=AlwaysAllow`).

Does one have an idea about it ? do we miss something ? or is that some kind of bug with authz system ?",https://github.com/kubernetes/features/issues/2#issuecomment-330569468,False,False,False,False,True,False,False
ixdy,kubernetes-pm,"but there's a suspicious `sed` there, which was added back in <https://github.com/kubernetes/test-infra/pull/3903> (in August), so probably important",https://github.com/kubernetes/test-infra/pull/3903,False,False,False,False,True,False,False
ericchiang,kubernetes-pm,<@U18NMV9D0> have you looked at <https://github.com/coreos/dex/issues/1110>,https://github.com/coreos/dex/issues/1110,False,False,False,False,False,True,False
perotinus,kubernetes-pm,<https://github.com/kubernetes/cluster-registry/pull/144>,https://github.com/kubernetes/cluster-registry/pull/144,False,False,False,False,True,False,False
cdrage,kubernetes-pm,Hey <@U3R8AEEQG> how is the progress on <https://github.com/kubernetes/kompose/pull/846> ?,https://github.com/kubernetes/kompose/pull/846,False,False,False,False,True,False,False
aledbf,kubernetes-pm,"My only complain is the number of IP address per ec2 instance
<https://github.com/aws/amazon-vpc-cni-k8s/issues/13>",https://github.com/aws/amazon-vpc-cni-k8s/issues/13,False,False,False,False,False,True,False
mkumatag,kubernetes-pm,PR - <https://github.com/kubernetes/kubernetes/pull/53598>,https://github.com/kubernetes/kubernetes/pull/53598,False,False,True,False,False,False,False
erwanmas,kubernetes-pm,"<@U1A47TVPZ> , ma perception c’est que kubeadm , n’est la que pour amorcer la configuration , il n’intervient plus apres  . 
j’ai crée un bug report ( <https://github.com/kubernetes/kubernetes/issues/42946> )",https://github.com/kubernetes/kubernetes/issues/42946,True,False,False,False,False,False,False
cdrage,kubernetes-pm,mind commenting on this <@U0DE6E8JY> <https://github.com/kubernetes/kompose/issues/109> later today,https://github.com/kubernetes/kompose/issues/109,False,False,False,False,True,False,False
surajnarwade,kubernetes-pm,<@U10KRBVHN> can you please review <https://github.com/kubernetes/kompose/pull/837>,https://github.com/kubernetes/kompose/pull/837,False,False,False,False,True,False,False
luxas,kubernetes-pm,<@U0CBHE6GM> FYI <https://github.com/kubernetes/features/issues/415>,https://github.com/kubernetes/features/issues/415,False,False,False,False,True,False,False
jpbetz,kubernetes-pm,We have a PR that needs to be scalability tested before merging (<https://github.com/kubernetes/kubernetes/pull/57480>) the previous attempt to bump the etcd version resulted in scalability failures on master and we'd like to avoid merging until we're able to ensure the grpc fix in the latest PR results in a clean scalability test run.  Anyone know how to set up the test run?,https://github.com/kubernetes/kubernetes/pull/57480,False,False,True,False,False,False,False
surajnarwade,kubernetes-pm,"<@U10KRBVHN> <@U0DE6E8JY> <@U2TU9NPH9> , can you please try and give me review, <https://github.com/kubernetes-incubator/kompose/pull/609>",https://github.com/kubernetes-incubator/kompose/pull/609,False,False,False,False,False,True,False
surajnarwade,kubernetes-pm,<https://github.com/kubernetes-incubator/kompose/pull/664>,https://github.com/kubernetes-incubator/kompose/pull/664,False,False,False,False,False,True,False
greatsun,kubernetes-pm,<https://github.com/coreos/rkt/issues/894>,https://github.com/coreos/rkt/issues/894,False,False,False,False,False,True,False
liggitt,kubernetes-pm,"well, can't hurt... opened <https://github.com/kubernetes/kubernetes/pull/57805>",https://github.com/kubernetes/kubernetes/pull/57805,False,False,True,False,False,False,False
jbguerraz,kubernetes-pm,and also I'll then be able to provide feedback on <https://github.com/rook/rook/issues/1221> :wink:,https://github.com/rook/rook/issues/1221,False,False,False,False,False,True,False
herrsebi,kubernetes-pm,"hi there! I'm looking at an issue for the node e2e tests, is that still of interest to you? <https://github.com/kubernetes/kubernetes/issues/46310>",https://github.com/kubernetes/kubernetes/issues/46310,True,False,False,False,False,False,False
cdrage,kubernetes-pm,<@U3R8AEEQG> can you add tests please? <https://github.com/kubernetes/kompose/pull/837#issuecomment-348208762>,https://github.com/kubernetes/kompose/pull/837#issuecomment-348208762,False,False,False,False,True,False,False
greatsun,kubernetes-pm,<@U0XDUM3FZ> <@U26HHP8S2> <@U0DT660QM> <@U09R4NHC7> <@U09R2FFHP> : <https://github.com/coreos/rkt/issues/894#issuecomment-255313975>,https://github.com/coreos/rkt/issues/894#issuecomment-255313975,False,False,False,False,False,True,False
ixdy,kubernetes-pm,add <https://github.com/kubernetes/kubernetes/issues/8830> to 2018 goals,https://github.com/kubernetes/kubernetes/issues/8830,True,False,False,False,False,False,False
rivimont,kubernetes-pm,Hi! I recently tried making my first update to the k8s docs here: <https://github.com/kubernetes/kubernetes.github.io/pull/1752>  I'm just trying to find out if there is anything else I need to do.,https://github.com/kubernetes/kubernetes.github.io/pull/1752,False,False,False,False,True,False,False
mhausenblas,kubernetes-pm,"(it’s <https://github.com/kubernetes/kubernetes/issues/44407> I was referring to ^^^, FWIW)",https://github.com/kubernetes/kubernetes/issues/44407,True,False,False,False,False,False,False
chaosaffe,kubernetes-pm,<https://github.com/kubernetes/kubernetes/issues/341>,https://github.com/kubernetes/kubernetes/issues/341,True,False,False,False,False,False,False
theobolo,kubernetes-pm,<https://github.com/kubernetes/kubernetes/issues/23896>,https://github.com/kubernetes/kubernetes/issues/23896,True,False,False,False,False,False,False
surajd,kubernetes-pm,<@U2S2GLMJR> <https://github.com/kubernetes-incubator/kompose/issues/624>,https://github.com/kubernetes-incubator/kompose/issues/624,False,False,False,False,False,True,False
mkumatag,kubernetes-pm,"There are few image deps for conformance test from kubernetes/kubernetes.github.io repo, created a issue to discuss further on this - <https://github.com/kubernetes/kubernetes/issues/48530>",https://github.com/kubernetes/kubernetes/issues/48530,True,False,False,False,False,False,False
portdirect,kubernetes-pm,<https://github.com/kubernetes/kubernetes/issues/35062>,https://github.com/kubernetes/kubernetes/issues/35062,True,False,False,False,False,False,False
fejta,kubernetes-pm,<https://github.com/kubernetes/test-infra/issues/5848>,https://github.com/kubernetes/test-infra/issues/5848,False,False,False,False,True,False,False
mrostecki,kubernetes-pm,<https://github.com/rkt/rkt/issues/3795>,https://github.com/rkt/rkt/issues/3795,False,False,False,False,False,True,False
surajnarwade,kubernetes-pm,"<@U0DE6E8JY> , waiting for your LGTM :slightly_smiling_face: <https://github.com/kubernetes/kompose/pull/626>",https://github.com/kubernetes/kompose/pull/626,False,False,False,False,True,False,False
goodwill,kubernetes-pm,"<@U09R4NHC7>: now that <https://github.com/rkt/rkt/issues/2937> is fixed, any thought if it will make it into the k8s code?",https://github.com/rkt/rkt/issues/2937,False,False,False,False,False,True,False
procrypt,kubernetes-pm,<@U0DE6E8JY> I have sent a PR for this can you please check  <https://github.com/kubernetes-incubator/kompose/pull/655>,https://github.com/kubernetes-incubator/kompose/pull/655,False,False,False,False,False,True,False
imartyn,kubernetes-pm,"seen as some people are active here today, can I get more eyes on this : <https://github.com/kubernetes/kubernetes/pull/56085>",https://github.com/kubernetes/kubernetes/pull/56085,False,False,True,False,False,False,False
cblecker,kubernetes-pm,"Noticed something odd in the k/k approval handler. Here (<https://github.com/kubernetes/kubernetes/pull/57650#issuecomment-354250157>) it's suggesting Dawn as the best approver, except that there is an alias for the scheduling maintainers that it doesn't seem to be taking into account",https://github.com/kubernetes/kubernetes/pull/57650#issuecomment-354250157,False,False,False,False,False,False,True
tombar,kubernetes-pm,Please check <https://github.com/kubernetes/test-infra/issues/5998>,https://github.com/kubernetes/test-infra/issues/5998,False,False,False,False,True,False,False
cdrage,kubernetes-pm,<@U2SBSJEHJ> can you clarify what you mean on <https://github.com/kubernetes/kompose/pull/787> ?,https://github.com/kubernetes/kompose/pull/787,False,False,False,False,True,False,False
yifan-gu,kubernetes-pm,what's the status of <https://github.com/kubernetes/kubernetes/pull/33965> ?,https://github.com/kubernetes/kubernetes/pull/33965,False,False,True,False,False,False,False
lazypower,kubernetes-pm,<https://github.com/kubernetes/kubernetes/issues/46054>,https://github.com/kubernetes/kubernetes/issues/46054,True,False,False,False,False,False,False
