Sender,channel,text,url_html
maciekpytel,kubernetes-novice,is anyone looking at <https://github.com/kubernetes/kubernetes/issues/54574> while he's out?,https://github.com/kubernetes/kubernetes/issues/54574
slack1539,kubernetes-novice,"Hi, I was wondering if I could get some feedback on <https://github.com/kubernetes/kubernetes/issues/56304> thanks",https://github.com/kubernetes/kubernetes/issues/56304
thermi,kubernetes-novice,"kubefed can't set up federation correctly, because it does stupid things:
```
r}   Warning   InspectFailed   kubelet, gke-kubernetes-cluster-pool-1-76a09ebd-b587   Failed to apply default image tag ""<http://gcr.io/google_containers/hyperkube-amd64:v1.8.0+0b9efaeb34a2f|gcr.io/google_containers/hyperkube-amd64:v1.8.0+0b9efaeb34a2f>"": couldn't parse image reference ""<http://gcr.io/google_containers/hyperkube-amd64:v1.8.0+0b9efaeb34a2f|gcr.io/google_containers/hyperkube-amd64:v1.8.0+0b9efaeb34a2f>"": invalid reference format
2017-10-04 14:07:14 +0200 CEST   2017-10-04 14:00:47 +0200 CEST   31        fed-zone-europe-controller-manager-4130961042-m9c3z.14ea5c3e2a63466e   Pod                 Warning   FailedSync   kubelet, gke-kubernetes-cluster-pool-1-76a09ebd-b587   Error syncing pod
```

How do people work around that? Information is here: <https://github.com/kubernetes/kubernetes/issues/53430>",https://github.com/kubernetes/kubernetes/issues/53430
3dinfluence,kubernetes-novice,looks like someone reported a similar bug driven by the same behavior but for different causes <https://github.com/kubernetes/kubernetes/issues/37414>,https://github.com/kubernetes/kubernetes/issues/37414
bentheelder,kubernetes-novice,"the flakes are too high: <http://velodrome.k8s.io/dashboard/db/bigquery-metrics?orgId=1>
filed <https://github.com/kubernetes/kubernetes/issues/57342> and poked <https://github.com/kubernetes/kubernetes/issues/56121> :confused:",https://github.com/kubernetes/kubernetes/issues/57342
cdhunt,kubernetes-novice,I guess that's not just me: <https://github.com/kubernetes/kubernetes/issues/55816>,https://github.com/kubernetes/kubernetes/issues/55816
lctung,kubernetes-novice,"hi, is there a way to get memory request for a container from prometheus metrics? something similar to this: <https://github.com/kubernetes/kubernetes/issues/40214>",https://github.com/kubernetes/kubernetes/issues/40214
jhorwit2,kubernetes-novice,np! There's also a vault provider impl WIP <https://github.com/kubernetes/kubernetes/issues/49817>,https://github.com/kubernetes/kubernetes/issues/49817
melserngawy,kubernetes-novice,"hi all, 
is this issue  <https://github.com/kubernetes/kubernetes/issues/20112>  has been solved or just closed ? I cannot find away to get the endpoint from service object",https://github.com/kubernetes/kubernetes/issues/20112
dims,kubernetes-novice,"<@U0A69N5GQ> <@U09R2LQ8Y> looks like we need a decision if <https://github.com/kubernetes/kubernetes/issues/57005> is blocking 1.9 or not. there are 2 possible PR(s) for it (first one fails building kubeadm for some reason, the second one duplicates a constant to avoid the problem with the first one)",https://github.com/kubernetes/kubernetes/issues/57005
