Sender,channel,text,url_html
jobridgwater,kubernetes-users,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/49673
jberkus,kubernetes-users,"hey, can anyone do a status update on <https://github.com/kubernetes/kubernetes/issues/56686> ? <@U0YJS6LHL> <@U4H2924GN>  I realize people are in transit to Kubecon, but if someone could take a look at that, it would be great",https://github.com/kubernetes/kubernetes/issues/56686
roffe,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/52973>,https://github.com/kubernetes/kubernetes/issues/52973
ixdy,kubernetes-users,it's probably similar to <https://github.com/kubernetes/kubernetes/issues/56516>,https://github.com/kubernetes/kubernetes/issues/56516
spiffxp,kubernetes-users,FYI <https://github.com/kubernetes/kubernetes/issues/56416>,https://github.com/kubernetes/kubernetes/issues/56416
squeed,kubernetes-users,thoughts on <https://github.com/kubernetes/kubernetes/issues/56794> ?,https://github.com/kubernetes/kubernetes/issues/56794
patricklang,kubernetes-users,"<@U4NELQ5QS> mentioned this might be a problem <https://github.com/kubernetes/kubernetes/issues/52419> because relative symlinks aren't working on Windows, but I thought secrets were working in 1.7 without symlinks",https://github.com/kubernetes/kubernetes/issues/52419
spiffxp,kubernetes-users,"<https://github.com/kubernetes/kubernetes/issues/47820> - this is listed as a release-blocker issue for v1.8, is anyone from sig-apps actively working on this?",https://github.com/kubernetes/kubernetes/issues/47820
puneetguptanitj,kubernetes-users,"Hi all we are observing a strange behvaiour where rbac/v1 apis are getting available only after ~5-6 mins on api-server start up, had raised an issue <https://github.com/kubernetes/kubernetes/issues/56899> is anyone else also seeing this? It happens only when we migrate 1.7.7 to 1.8.4. After moving to 1.8.4 even if we restart API server, rbac/v1 apis are immediately available",https://github.com/kubernetes/kubernetes/issues/56899
ichekrygin,kubernetes-users,"Hello, I want to follow up on <https://github.com/kubernetes/kubernetes/issues/23008>. It appears this issue was resolved. 
I am running into similar issue with high `kubelet` CPU usage, and as it seems due to `cAdviser`. I am on `kubelet` `v1.7.6`",https://github.com/kubernetes/kubernetes/issues/23008
ichekrygin,kubernetes-users,"Hello, it seems i am running into `Kubelet` + `cAdvisor` + High CPU issue similar to the one reported in: <https://github.com/kubernetes/kubernetes/issues/23008>",https://github.com/kubernetes/kubernetes/issues/23008
jamie.poole,kubernetes-users,"Running version 1.9.0-alpha.2 of kubelet on a fresh Windows 1709 build, and think I'm running into this: <https://github.com/kubernetes/kubernetes/issues/55031> . Has anyone else experienced this?",https://github.com/kubernetes/kubernetes/issues/55031
luiz.toledo,kubernetes-users,"And if it is, how made it, how are you dealing with the Client-ID and Client-secret in the kubectl, do you that is a security issue? I read carefully this discussion: `<https://github.com/kubernetes/kubernetes/issues/37822>`, but I still don't get it",https://github.com/kubernetes/kubernetes/issues/37822
3dinfluence,kubernetes-users,looks like someone reported a similar bug driven by the same behavior but for different causes <https://github.com/kubernetes/kubernetes/issues/37414>,https://github.com/kubernetes/kubernetes/issues/37414
ieugen,kubernetes-users,attached issue <https://github.com/kubernetes/kubernetes/issues/57280>,https://github.com/kubernetes/kubernetes/issues/57280
mbohlool,kubernetes-users,<@U0BGPQ6DS> here you are: <https://github.com/kubernetes/kubernetes/issues/57769>,https://github.com/kubernetes/kubernetes/issues/57769
quinton_hoole,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/50761>,https://github.com/kubernetes/kubernetes/issues/50761
oomichi,kubernetes-users,"happy holiday :slightly_smiling_face:
Can somebody close <https://github.com/kubernetes/kubernetes/issues/24763> ?
That can be closed because test-infra one(<https://github.com/kubernetes/test-infra/issues/5701>) is merged instead",https://github.com/kubernetes/kubernetes/issues/24763
slack1539,kubernetes-users,"Hi, I was wondering if I could get some feedback on <https://github.com/kubernetes/kubernetes/issues/56304> thanks",https://github.com/kubernetes/kubernetes/issues/56304
lctung,kubernetes-users,"hi, is there a way to get memory request for a container from prometheus metrics? something similar to this: <https://github.com/kubernetes/kubernetes/issues/40214>",https://github.com/kubernetes/kubernetes/issues/40214
ericchiang,kubernetes-users,"<@U8B9K1ZPG> <https://github.com/kubernetes/kubernetes/issues/37822> is a good summary of the state of things. it depends on your provider, which may have some concept of ""public clients"" where the client-secret isn't secret",https://github.com/kubernetes/kubernetes/issues/37822
lazypower,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/44418>,https://github.com/kubernetes/kubernetes/issues/44418
slack1539,kubernetes-users,"Hi all, if someone could comment on my problems in this defect: <https://github.com/kubernetes/kubernetes/issues/56304> that would be really helpful, thanks",https://github.com/kubernetes/kubernetes/issues/56304
rjmorse,kubernetes-users,"<@U79S69E11> You should take a look at this PR for windows stats, which is merged for 1.9: <https://github.com/kubernetes/kubernetes/pull/50396>
It also has discussion around CRI in the related issue: <https://github.com/kubernetes/kubernetes/issues/49398>",https://github.com/kubernetes/kubernetes/issues/49398
rmt,kubernetes-users,"<@U69QYR4TV>.. did you have any luck with the etcd open connections issue? <@U6S1GQY1H> and I are colleagues.
 <https://github.com/kubernetes/kubernetes/issues/54138/> is the issue we are following, but it appears to be ignored, so we might be alone. Custom deployment on your end?

ApiServers seem to be maintaining the connections to etcd, reconnecting them if etcd goes down. I guess it's a leak of goroutines.",https://github.com/kubernetes/kubernetes/issues/54138
melserngawy,kubernetes-users,"hi all, 
is this issue  <https://github.com/kubernetes/kubernetes/issues/20112>  has been solved or just closed ? I cannot find away to get the endpoint from service object",https://github.com/kubernetes/kubernetes/issues/20112
tomciaaa,kubernetes-users,"hi guys, I'm struggling to schedule a kube-router daemon set on a newly created set of 1.8.2 k8s nodes in a NotReady state. It seems to be very similar effect to <https://github.com/kubernetes/kubernetes/issues/23013>, but recreating the daemonset doesn't help: it still says 0 Desired nodes . Is this something that's changed in 1.8.2 (I was able to do this in 1.7.5 just fine)?",https://github.com/kubernetes/kubernetes/issues/23013
quinton_hoole,kubernetes-users,"<https://github.com/kubernetes/kubernetes/issues/44160> is the closest thing we have to that design document right now, as far as I know.",https://github.com/kubernetes/kubernetes/issues/44160
daviey,kubernetes-users,"How is federation / multicluster upgrades currently handled?  Is there a guarantee of N-1 support, or do all clusters need to be upgraded concurrently?  Saw this, but it seems to have gone offtopic? <https://github.com/kubernetes/kubernetes/issues/44160>  Thanks",https://github.com/kubernetes/kubernetes/issues/44160
jberkus,kubernetes-users,<@U0B93RF4N> <@U4723UJL8> <@U6DN3CFF1> can we have an update on the horizontal pod autoscaler test failure?  <https://github.com/kubernetes/kubernetes/issues/54574>,https://github.com/kubernetes/kubernetes/issues/54574
jobridgwater,kubernetes-users,"Hi there! I am a college student and my partner and I need to contribute to an open source project for a class on Virtualization. We'd love to work on something in Kubernetes and we have about a month (5-6h/week). Do any of these issues look like they would be good for us? We are open to any suggestions!
<https://github.com/kubernetes/kubernetes/issues/46172>
<https://github.com/kubernetes/kubernetes/issues/48926>
<https://github.com/kubernetes/kubernetes/issues/49673>
<https://github.com/kubernetes/kubernetes/issues/49586>",https://github.com/kubernetes/kubernetes/issues/49586
thomas115,kubernetes-users,"Hi, is this the right sig group for <https://github.com/kubernetes/kubernetes/issues/52336> ?",https://github.com/kubernetes/kubernetes/issues/52336
bentheelder,kubernetes-users,"I think kubernetes as well, EG <https://github.com/kubernetes/kubernetes/issues/1806>",https://github.com/kubernetes/kubernetes/issues/1806
chaosaffe,kubernetes-users,<https://github.com/kubernetes/kubernetes/issues/341>,https://github.com/kubernetes/kubernetes/issues/341
rphillips,kubernetes-users,anybody know if this issue is fixed with the new spec.selector? <https://github.com/kubernetes/kubernetes/issues/26202>,https://github.com/kubernetes/kubernetes/issues/26202
