Sender,channel,text,url_html
qasim.sarfraz,minikube,"I am assuming I was hitting this, <https://github.com/kubernetes/minikube/issues/2199>, before I restarted the control plane components!",https://github.com/kubernetes/minikube/issues/2199
pr0nin,minikube,I've created an issue here <https://github.com/kubernetes/minikube/issues/2328> Please let me know if there is a better place for it :slightly_smiling_face:,https://github.com/kubernetes/minikube/issues/2328
tarifrr,minikube,"I tried using minikube version 0.24.1 as well, the dashboard loads up but the PVCs with subpaths fails as shown here: <https://github.com/kubernetes/minikube/issues/2256>",https://github.com/kubernetes/minikube/issues/2256
tarifrr,minikube,for details please read this thread: <https://github.com/kubernetes/minikube/issues/2256>,https://github.com/kubernetes/minikube/issues/2256
raeesbhatti,minikube,fs events are not working for me with minikube on macOS. I see that this is a [<https://github.com/kubernetes/minikube/issues/821>](known issue). Is there a work around to this problem?,https://github.com/kubernetes/minikube/issues/821
anders.f.bjorklund,minikube,there's some hints at <https://github.com/kubernetes/minikube/issues/384>,https://github.com/kubernetes/minikube/issues/384
tarifrr,minikube,<https://github.com/kubernetes/minikube/issues/2256>,https://github.com/kubernetes/minikube/issues/2256
tarifrr,minikube,<https://github.com/kubernetes/minikube/issues/2256>,https://github.com/kubernetes/minikube/issues/2256
spiffxp,minikube,FYI <https://github.com/kubernetes/minikube/issues/2395>,https://github.com/kubernetes/minikube/issues/2395
spiffxp,minikube,Is it fair to say this SIG owns <#C1F5CT6Q1|minikube>? I'd like to make sure there are SIG leads setup in its OWNERS file <https://github.com/kubernetes/minikube/issues/2395>,https://github.com/kubernetes/minikube/issues/2395
zanhsieh,minikube,<https://github.com/kubernetes/minikube/issues/316>,https://github.com/kubernetes/minikube/issues/316
