Sender,channel,repository,url_html
typositoire,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/32839
fejta,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/57585
puneetguptanitj,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/56899
fejta,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5507
lazypower,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/46054
cjwagner,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/6050
mhausenblas,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/44407
bentheelder,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/57342
rupsky,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/10439
rmt,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/54138
mkumatag,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/48530
chrislovecnm,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/1906
jannis,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/53644
bentheelder,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/56121
afirth.work,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/3312
oomichi,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/24763
spiffxp,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/3331
fejta,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/6035
cjwagner,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/3795
theobolo,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/23896
deads2k,kops-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/642
bentheelder,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/1806
porridge,kops-users,contrib,https://github.com/kubernetes/contrib/issues/2812
chrislovecnm,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5283
mhausenblas,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/26120
arto,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/57382
laurentdumont,kops-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/82
liggitt,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/43409
luiz.toledo,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/37822
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/issues/887
smana,kops-users,dashboard,https://github.com/kubernetes/dashboard/issues/374
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/1612
jhorwit2,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/49817
euank,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/24576
ericchiang,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/45353
hrishin,kops-users,kompose,https://github.com/kubernetes/kompose/issues/712
oomichi,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5701
ixdy,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/56516
chaosaffe,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/341
jpbetz,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/57822
carlos.panato,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5283
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/issues/109
lazypower,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/44418
fejta,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5848
spiffxp,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5985
chrislovecnm,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/6088
tombar,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/5998
gustavoatt,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/56261
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/issues/889
ericchiang,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/37822
carlos.panato,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/1906
smana,kops-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/23
qasim.sarfraz,kops-users,minikube,https://github.com/kubernetes/minikube/issues/2199
obristow,kops-users,kompose,https://github.com/kubernetes/kompose/issues/897
sdlarsen,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/57382
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/issues/6064
erwanmas,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/issues/42946
