Sender,channel,repository,url_html
shadycuz,kubernetes-novice,heapster,https://github.com/kubernetes/heapster/issues/1908
mlamina,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/964
cjwagner,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/4179
carlos.panato,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/1906
fish,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/590
seh,kubernetes-novice,dns,https://github.com/kubernetes/dns/issues/174
rajatjindal83,kubernetes-novice,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics/issues/332
qasim.sarfraz,kubernetes-novice,minikube,https://github.com/kubernetes/minikube/issues/2199
maciaszczykm,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/1703
bryk,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/2603
smana,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/23
chrislovecnm,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/6088
justaugustus,kubernetes-novice,autoscaler,https://github.com/kubernetes/autoscaler/issues/449
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/issues/109
sbower,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/1803
cprenzberg,kubernetes-novice,heapster,https://github.com/kubernetes/heapster/issues/1908
mlbiam,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/964
cjwagner,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/6050
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/6064
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/5985
spiffxp,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1511
chrislovecnm,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1410
ashisha,kubernetes-novice,autoscaler,https://github.com/kubernetes/autoscaler/issues/446
nikhita,kubernetes-novice,repo-infra,https://github.com/kubernetes/repo-infra/issues/37
fejta,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/5848
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/3331
spiffxp,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1527
spiffxp,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1527
4nishantkumar,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/2881
kowens,kubernetes-novice,community,https://github.com/kubernetes/community/issues/458
adam_p,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/3388
obristow,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/issues/897
tobstarr,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/643
sefmutari1,kubernetes-novice,autoscaler,https://github.com/kubernetes/autoscaler/issues/144
fejta,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/5507
cblecker,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1522
luxas,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/449
porridge,kubernetes-novice,contrib,https://github.com/kubernetes/contrib/issues/2812
bobwise,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1321
ianlewis,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/1431
cblecker,kubernetes-novice,community,https://github.com/kubernetes/community/issues/841
sdlarsen,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/3605
chrislovecnm,kubernetes-novice,community,https://github.com/kubernetes/community/issues/1568
garethr,kubernetes-novice,community,https://github.com/kubernetes/community/issues/841
bwallace,kubernetes-novice,autoscaler,https://github.com/kubernetes/autoscaler/issues/511
leosunmo,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/1589
tombar,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/issues/5998
seh,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/964
sebastiant,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
vincemd,kubernetes-novice,examples,https://github.com/kubernetes/examples/issues/149
shadoi,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/issues/964
bradgeesaman,kubernetes-novice,kops,https://github.com/kubernetes/kops/issues/3910
luxas,kubernetes-novice,kubeadm,https://github.com/kubernetes/kubeadm/issues/364
alaind,kubernetes-novice,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1405
qiming,kubernetes-novice,website,https://github.com/kubernetes/website/issues/6702
