Sender,channel,repository,url_html
smana,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/374
alaind,kubernetes-users,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1405
ianlewis,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/1431
qiming,kubernetes-users,website,https://github.com/kubernetes/website/issues/6702
researchiteng,kubernetes-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
daneyon,kubernetes-users,sig-release,https://github.com/kubernetes/sig-release/issues/38
maciekpytel,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/issues/252
leosunmo,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/1589
fejta,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/5848
chrislovecnm,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/5283
adam_p,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/3388
benley,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/574
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/issues/887
bryk,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/2603
garethr,kubernetes-users,community,https://github.com/kubernetes/community/issues/841
carlos.panato,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/5283
cjwagner,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/6050
fish,kubernetes-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/590
toddysm,kubernetes-users,examples,https://github.com/kubernetes/examples/issues/158
luxas,kubernetes-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/364
shadycuz,kubernetes-users,heapster,https://github.com/kubernetes/heapster/issues/1908
maciaszczykm,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/1703
obristow,kubernetes-users,kompose,https://github.com/kubernetes/kompose/issues/897
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/1612
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/issues/109
rajatjindal83,kubernetes-users,kube-state-metrics,https://github.com/kubernetes/kube-state-metrics/issues/332
maciekpytel,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/issues/252
porridge,kubernetes-users,contrib,https://github.com/kubernetes/contrib/issues/2812
luxas,kubernetes-users,kubeadm,https://github.com/kubernetes/kubeadm/issues/449
shadoi,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/964
sefmutari1,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/issues/144
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/6064
4nishantkumar,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/2881
ashisha,kubernetes-users,autoscaler,https://github.com/kubernetes/autoscaler/issues/446
tombar,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/5998
