Sender,channel,repository,url_html
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/issues/44
rowleyaj,minikube,website,https://github.com/kubernetes/website/issues/6710
adam_p,minikube,kops,https://github.com/kubernetes/kops/issues/3388
spiffxp,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57911
tpepper,minikube,website,https://github.com/kubernetes/website/issues/6037
bwallace,minikube,autoscaler,https://github.com/kubernetes/autoscaler/issues/511
mlamina,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/964
hrishin,minikube,kompose,https://github.com/kubernetes/kompose/issues/712
zcorleissen,minikube,website,https://github.com/kubernetes/website/issues/6112
frobware,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
rmt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54138
qiming,minikube,website,https://github.com/kubernetes/website/issues/6702
luxas,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/364
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57855
mmodestino,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15180
claytonc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48610
euank,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/24576
justaugustus,minikube,autoscaler,https://github.com/kubernetes/autoscaler/issues/449
tennis,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47736
jhorwit2,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54070
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
guangxuli,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55333
jaredb,minikube,website,https://github.com/kubernetes/website/issues/6219
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/6064
vladionescu,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/1806
kasper,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/45140
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/26120
tamal,minikube,apiextensions-apiserver,https://github.com/kubernetes/apiextensions-apiserver/issues/11
tobstarr,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/643
gekudray,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55031
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/issues/109
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/issues/43
sebastiant,minikube,kubeadm,https://github.com/kubernetes/kubeadm/issues/546
lazypower,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/46054
toddysm,minikube,examples,https://github.com/kubernetes/examples/issues/158
melserngawy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/20112
chrislovecnm,minikube,community,https://github.com/kubernetes/community/issues/1410
jobridgwater,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49586
maciekpytel,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54574
cmluciano,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/49480
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/43409
ericchiang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/45353
pires,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53532
erwanmas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/42946
chrislovecnm,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5283
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57341
cdhunt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/55816
obristow,minikube,kompose,https://github.com/kubernetes/kompose/issues/897
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54651
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57005
devlapse,minikube,kube-deploy,https://github.com/kubernetes/kube-deploy/issues/459
bryk,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/2603
