Sender,channel,repository,url_html
ashley,kubernetes-users,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1461
chrislovecnm,kubernetes-users,community,https://github.com/kubernetes/community/issues/1514
chrislovecnm,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/3612
kfox1111,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/2464
christopher376,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/1718
kruczjak,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/3575
chrislovecnm,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/4188
ianlewis,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/issues/1423
jorge,kubernetes-users,community,https://github.com/kubernetes/community/issues/1514
shadoi,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/4049
chrislovecnm,kubernetes-users,kops,https://github.com/kubernetes/kops/issues/4188
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/issues/5843
