Sender,channel,repository,url_html
ixdy,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/8830
mariusv,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48180
rrm,minikube,website,https://github.com/kubernetes/website/issues/5993
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/30558
chrislovecnm,minikube,kops,https://github.com/kubernetes/kops/issues/4188
samanthakem,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/42885
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/5774
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48938
kruczjak,minikube,kops,https://github.com/kubernetes/kops/issues/3575
vdemeester,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53221
josephwang,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/99
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5843
chrislovecnm,minikube,kops,https://github.com/kubernetes/kops/issues/3612
portdirect,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/35062
herrsebi,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/46310
hazim,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15478
bacongobbler,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/14510
ianlewis,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/1423
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/36858
bentheelder,minikube,test-infra,https://github.com/kubernetes/test-infra/issues/5843
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/26130
chrislovecnm,minikube,kops,https://github.com/kubernetes/kops/issues/4188
aveshagarwal,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/42649
chrislovecnm,minikube,community,https://github.com/kubernetes/community/issues/1514
fish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57660
chrishiestand,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48938
kfox1111,minikube,dashboard,https://github.com/kubernetes/dashboard/issues/2464
naveenkumarsangi,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/47668
ianlewis,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/28610
fish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57660
pwittrock,minikube,kubectl,https://github.com/kubernetes/kubectl/issues/86
xiang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/54511
outcoldman,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53533
christopher376,minikube,kops,https://github.com/kubernetes/kops/issues/1718
hazim,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/15478
jorge,minikube,community,https://github.com/kubernetes/community/issues/1514
shadoi,minikube,kops,https://github.com/kubernetes/kops/issues/4049
robocop,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/45419
qiming,minikube,website,https://github.com/kubernetes/website/issues/4503
kowens,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/14188
mikebrow,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/53533
luxas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/26093
ashley,minikube,ingress-nginx,https://github.com/kubernetes/ingress-nginx/issues/1461
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48938
jrondeau,minikube,website,https://github.com/kubernetes/website/issues/5993
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/48938
fish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/57660
mhausenblas,minikube,kubernetes,https://github.com/kubernetes/kubernetes/issues/5774
