Sender,channel,text,date,url_html,is merged
chaosaffe,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/18261>,2016-06-27 14:53:27,https://github.com/kubernetes/kubernetes/pull/18261,True
liggitt,kubernetes-pm,"if it is pre-1.7.x, <https://github.com/kubernetes/kubernetes/pull/44076> would be relevant",2018-01-03 17:50:12,https://github.com/kubernetes/kubernetes/pull/44076,True
cmluciano,kubernetes-pm,<@U0YJS6LHL> Is it permissible to add things like <https://github.com/kubernetes/kubernetes/pull/51959> to the milestone,2017-09-07 16:41:18,https://github.com/kubernetes/kubernetes/pull/51959,True
mkumatag,kubernetes-pm,submitted the PR - <https://github.com/kubernetes/kubernetes/pull/44910> for multi architecture k8s test docker images. PTAL..,2017-04-25 08:19:24,https://github.com/kubernetes/kubernetes/pull/44910,True
mkumatag,kubernetes-pm,PR - <https://github.com/kubernetes/kubernetes/pull/53598>,2017-10-09 17:00:29,https://github.com/kubernetes/kubernetes/pull/53598,False
jpbetz,kubernetes-pm,We have a PR that needs to be scalability tested before merging (<https://github.com/kubernetes/kubernetes/pull/57480>) the previous attempt to bump the etcd version resulted in scalability failures on master and we'd like to avoid merging until we're able to ensure the grpc fix in the latest PR results in a clean scalability test run.  Anyone know how to set up the test run?,2017-12-20 22:55:18,https://github.com/kubernetes/kubernetes/pull/57480,True
liggitt,kubernetes-pm,"well, can't hurt... opened <https://github.com/kubernetes/kubernetes/pull/57805>",2018-01-03 21:43:41,https://github.com/kubernetes/kubernetes/pull/57805,True
yifan-gu,kubernetes-pm,what's the status of <https://github.com/kubernetes/kubernetes/pull/33965> ?,2016-10-11 17:28:48,https://github.com/kubernetes/kubernetes/pull/33965,True
porridge,kubernetes-pm,can someone please add the queue/fix label to <https://github.com/kubernetes/kubernetes/pull/57407>?,2017-12-19 16:08:48,https://github.com/kubernetes/kubernetes/pull/57407,True
dims,kubernetes-pm,<@U1P7T516X> <@U0E2KHQ13> <@U09R0N2BF> - seems the merge-bot is over eager and merges closed PR(s) - see <https://github.com/kubernetes/kubernetes/pull/57401>,2017-12-20 13:55:43,https://github.com/kubernetes/kubernetes/pull/57401,True
dbhanushali,kubernetes-pm,<@U0E40F05R> <@U5TFNBM42> <https://github.com/kubernetes/kubernetes/pull/44344>,2017-07-13 20:23:11,https://github.com/kubernetes/kubernetes/pull/44344,True
liggitt,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/56358> will address it by asking the current authorizer if you are a superuser and allowing role/clusterrole creation in that case,2017-11-29 14:21:17,https://github.com/kubernetes/kubernetes/pull/56358,True
mikedanese,kubernetes-pm,also i would like to get this one into 1.9 <https://github.com/kubernetes/kubernetes/pull/56444>,2017-12-04 18:19:10,https://github.com/kubernetes/kubernetes/pull/56444,True
mkumatag,kubernetes-pm,Submitted one more PR for multi arch image catalog - <https://github.com/kubernetes/kubernetes/pull/45074>,2017-04-28 04:51:02,https://github.com/kubernetes/kubernetes/pull/45074,False
cblecker,kubernetes-pm,yeah :( <https://github.com/kubernetes/kubernetes/pull/57735>,2018-01-02 21:52:49,https://github.com/kubernetes/kubernetes/pull/57735,True
micahhausler,kubernetes-pm,"<@U2HR3B24A> To answer your question about health-check annotations, that was 1.9 <https://github.com/kubernetes/kubernetes/pull/56024>",2017-12-18 19:17:05,https://github.com/kubernetes/kubernetes/pull/56024,True
dims,kubernetes-pm,it was quickly reverted though in <https://github.com/kubernetes/kubernetes/pull/57454>,2017-12-20 13:56:19,https://github.com/kubernetes/kubernetes/pull/57454,True
mauilion,kubernetes-pm,<https://github.com/kubernetes/kubernetes/pull/53324>,2017-12-22 19:33:03,https://github.com/kubernetes/kubernetes/pull/53324,False
ingo,kubernetes-pm,Mein Blog Post hat sich wohl grad von selbst erledigt: <https://github.com/kubernetes/kubernetes/pull/24429>,2016-05-02 12:36:41,https://github.com/kubernetes/kubernetes/pull/24429,True
liggitt,kubernetes-pm,"FYI, <https://github.com/kubernetes/kubernetes/pull/56358> Will do something similar for role creation, checking for super user permissions with the active authorizer",2017-11-27 23:07:15,https://github.com/kubernetes/kubernetes/pull/56358,True
