Sender,channel,repository,url_html,is merged
spiffxp,kops-users,contrib,https://github.com/kubernetes/contrib/pull/2701,False
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/763,False
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/731,True
mkumatag,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/44910,True
chrislovecnm,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6113,True
spiffxp,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/5989,True
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/651,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/759,True
ixdy,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/5865,True
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/714,True
mauilion,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/53324,False
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/837,True
mkumatag,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/53598,False
spiffxp,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6063,True
ericchiang,kops-users,community,https://github.com/kubernetes/community/pull/1503,True
dims,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/5986,True
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6010,True
liggitt,kops-users,community,https://github.com/kubernetes/community/pull/1503,True
dims,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/57401,True
chaosaffe,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/18261,True
tkral,kops-users,kompose,https://github.com/kubernetes/kompose/pull/846,True
spiffxp,kops-users,community,https://github.com/kubernetes/community/pull/1533,True
dims,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/57454,True
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6067,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/728,True
perotinus,kops-users,k8s.io,https://github.com/kubernetes/k8s.io/pull/98,True
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/837,True
mkumatag,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/45074,False
ixdy,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6021,True
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/626,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/704,True
liggitt,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/56358,True
liggitt,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/44076,True
spiffxp,kops-users,community,https://github.com/kubernetes/community/pull/1532,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/787,True
fejta,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6141,True
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/5804,True
micahhausler,kops-users,website,https://github.com/kubernetes/website/pull/6692,True
micahhausler,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/56024,True
bentheelder,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6052,True
perotinus,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/6047,True
spiffxp,kops-users,test-infra,https://github.com/kubernetes/test-infra/pull/5992,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/846,True
surajnarwade,kops-users,kompose,https://github.com/kubernetes/kompose/pull/714,True
micahhausler,kops-users,website,https://github.com/kubernetes/website/pull/6692,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/728,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/727,False
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/763,False
dbhanushali,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/44344,True
yifan-gu,kops-users,kubernetes,https://github.com/kubernetes/kubernetes/pull/33965,True
cdrage,kops-users,kompose,https://github.com/kubernetes/kompose/pull/869,False
