Sender,channel,repository,url_html,is merged
tkral,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/846,True
kokhang,kubernetes-novice,contrib,https://github.com/kubernetes/contrib/pull/1343,False
liggitt,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1503,True
jorge,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1509,True
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/763,False
sttts,kubernetes-novice,k8s.io,https://github.com/kubernetes/k8s.io/pull/94,True
pmorie,kubernetes-novice,federation,https://github.com/kubernetes/federation/pull/182,True
xhu,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1485,False
sttts,kubernetes-novice,k8s.io,https://github.com/kubernetes/k8s.io/pull/94,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6062,True
bowei,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1276,True
fejta,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5974,True
cblecker,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6003,True
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5435,True
paris,kubernetes-novice,community,https://github.com/kubernetes/community/pull/1517,True
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/707,True
quinton_hoole,kubernetes-novice,community,https://github.com/kubernetes/community/pull/437,False
spiffxp,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/6063,True
cdrage,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/869,False
surajnarwade,kubernetes-novice,kompose,https://github.com/kubernetes/kompose/pull/651,True
bentheelder,kubernetes-novice,test-infra,https://github.com/kubernetes/test-infra/pull/5047,True
leosunmo,kubernetes-novice,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
xhu,kubernetes-novice,examples,https://github.com/kubernetes/examples/pull/164,True
pmorie,kubernetes-novice,federation,https://github.com/kubernetes/federation/pull/149,False
negz,kubernetes-novice,autoscaler,https://github.com/kubernetes/autoscaler/pull/462,True
