Sender,channel,repository,url_html,is merged
spiffxp,kubernetes-users,community,https://github.com/kubernetes/community/pull/1540,True
ixdy,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6021,True
kruczjak,kubernetes-users,kops,https://github.com/kubernetes/kops/pull/3944,True
patricklang,kubernetes-users,community,https://github.com/kubernetes/community/pull/1544,True
cblecker,kubernetes-users,community,https://github.com/kubernetes/community/pull/1381,False
kokhang,kubernetes-users,contrib,https://github.com/kubernetes/contrib/pull/1343,False
chrislovecnm,kubernetes-users,community,https://github.com/kubernetes/community/pull/1432,False
spiffxp,kubernetes-users,community,https://github.com/kubernetes/community/pull/1533,True
jorge,kubernetes-users,community,https://github.com/kubernetes/community/pull/1421,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/707,True
dims,kubernetes-users,k8s.io,https://github.com/kubernetes/k8s.io/pull/96,False
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5348,True
shyamjvs,kubernetes-users,community,https://github.com/kubernetes/community/pull/794,True
micahhausler,kubernetes-users,website,https://github.com/kubernetes/website/pull/6692,True
spiffxp,kubernetes-users,community,https://github.com/kubernetes/community/pull/1498,True
perotinus,kubernetes-users,k8s.io,https://github.com/kubernetes/k8s.io/pull/98,True
ianlewis,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
rathko,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/746,True
chrislovecnm,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6113,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/714,True
luxas,kubernetes-users,community,https://github.com/kubernetes/community/pull/911,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6167,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/731,True
pmorie,kubernetes-users,federation,https://github.com/kubernetes/federation/pull/149,False
perotinus,kubernetes-users,community,https://github.com/kubernetes/community/pull/1325,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/837,True
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6010,True
soltysh,kubernetes-users,community,https://github.com/kubernetes/community/pull/583,True
spiffxp,kubernetes-users,community,https://github.com/kubernetes/community/pull/1532,True
tkral,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/846,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/787,True
micahhausler,kubernetes-users,website,https://github.com/kubernetes/website/pull/6692,True
obristow,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/896,True
xhu,kubernetes-users,community,https://github.com/kubernetes/community/pull/1485,False
leosunmo,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/787,True
mhausenblas,kubernetes-users,community,https://github.com/kubernetes/community/pull/338,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/846,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/727,False
ericchiang,kubernetes-users,community,https://github.com/kubernetes/community/pull/1503,True
bentheelder,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5804,True
kiranmova,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/2249,False
marun,kubernetes-users,kube-openapi,https://github.com/kubernetes/kube-openapi/pull/14,True
jaypipes,kubernetes-users,community,https://github.com/kubernetes/community/pull/782,False
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/763,False
perotinus,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/6047,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/799,True
shadoi,kubernetes-users,dashboard,https://github.com/kubernetes/dashboard/pull/1539,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/739,True
chrislovecnm,kubernetes-users,kops,https://github.com/kubernetes/kops/pull/4168,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/837,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/728,True
paris,kubernetes-users,community,https://github.com/kubernetes/community/pull/1517,True
xhu,kubernetes-users,examples,https://github.com/kubernetes/examples/pull/164,True
pmorie,kubernetes-users,federation,https://github.com/kubernetes/federation/pull/159,True
spiffxp,kubernetes-users,contrib,https://github.com/kubernetes/contrib/pull/2701,False
sttts,kubernetes-users,k8s.io,https://github.com/kubernetes/k8s.io/pull/94,True
jorge,kubernetes-users,community,https://github.com/kubernetes/community/pull/1398,True
chrislovecnm,kubernetes-users,kops,https://github.com/kubernetes/kops/pull/4185,False
sszuecs,kubernetes-users,kops,https://github.com/kubernetes/kops/pull/3983,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/868,True
spiffxp,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5656,True
ixdy,kubernetes-users,test-infra,https://github.com/kubernetes/test-infra/pull/5865,True
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/763,False
cdrage,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/728,True
surajnarwade,kubernetes-users,kompose,https://github.com/kubernetes/kompose/pull/626,True
