Sender,channel,repository,url_html,is merged
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53512,True
rathko,minikube,kompose,https://github.com/kubernetes/kompose/pull/746,True
pmorie,minikube,federation,https://github.com/kubernetes/federation/pull/159,True
dims,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5164,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5989,True
shiywang,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/42256,True
andrew.jefferson,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56575,False
spzala,minikube,website,https://github.com/kubernetes/website/pull/6586,True
roffe,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56115,True
spiffxp,minikube,community,https://github.com/kubernetes/community/pull/1532,True
kshafiee,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54969,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57046,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55382,True
jberkus,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56970,False
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/67,True
renaud,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53028,True
ingo,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/24429,True
marun,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53816,True
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/48,True
brancz,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56206,True
micahhausler,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56024,True
cnegus,minikube,website,https://github.com/kubernetes/website/pull/6578,True
artmr,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46114,True
markmandel,minikube,client-go,https://github.com/kubernetes/client-go/pull/337,False
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/52199,False
patricklang,minikube,community,https://github.com/kubernetes/community/pull/1544,True
zcorleissen,minikube,website,https://github.com/kubernetes/website/pull/6491,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/53546,False
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/42,True
aveshagarwal,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47628,True
brchan,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54581,True
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/55382,True
artmr,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46114,True
dims,minikube,k8s.io,https://github.com/kubernetes/k8s.io/pull/96,False
vikasc,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48775,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/43016,True
chenopis,minikube,website,https://github.com/kubernetes/website/pull/6573,True
marun,minikube,kube-openapi,https://github.com/kubernetes/kube-openapi/pull/14,True
micahhausler,minikube,website,https://github.com/kubernetes/website/pull/6692,True
spiffxp,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/42,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5348,True
fiunchinho,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51634,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5435,True
chrislovecnm,minikube,community,https://github.com/kubernetes/community/pull/1432,False
ravig,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/44740,True
spiffxp,minikube,community,https://github.com/kubernetes/community/pull/1533,True
surajnarwade,minikube,kompose,https://github.com/kubernetes/kompose/pull/871,True
pwittrock,minikube,kubectl,https://github.com/kubernetes/kubectl/pull/179,False
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57472,True
negz,minikube,autoscaler,https://github.com/kubernetes/autoscaler/pull/462,True
jeff.regan,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/47151,False
ttz,minikube,website,https://github.com/kubernetes/website/pull/6585,True
kfox1111,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54421,False
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57204,True
mtanino,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/54264,False
shyamjvs,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/51533,True
jdumars,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/67,True
foxish,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56789,True
spiffxp,minikube,community,https://github.com/kubernetes/community/pull/1540,True
mauilion,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46669,True
spiffxp,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5306,True
cdrage,minikube,kompose,https://github.com/kubernetes/kompose/pull/665,True
dims,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/57454,True
cblecker,minikube,community,https://github.com/kubernetes/community/pull/1381,False
aveshagarwal,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/49131,False
goblin,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/46517,True
liggitt,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/56358,True
dims,minikube,test-infra,https://github.com/kubernetes/test-infra/pull/5965,True
ravig,minikube,kubernetes,https://github.com/kubernetes/kubernetes/pull/48082,True
enisoc,minikube,sig-release,https://github.com/kubernetes/sig-release/pull/49,True
