"Workspace","Channel","Id","Sender","text","time","mention"
"hyperledger","iroha","U0UHG4VP1","ry","<@U0UHG4VP1|ry> has joined the channel","2016-10-20 21:04:29",", U0UHG4VP1|ry>"
"hyperledger","iroha","U0UHG4VP1","ry","<@U0UHG4VP1|ry> set the channel purpose: Discussion of Iroha","2016-10-20 21:04:30",", U0UHG4VP1|ry>"
"hyperledger","iroha","U0UHG4VP1","ry","<@U0UHG4VP1|ry> has joined the channel","2017-02-07 23:34:59",", U0UHG4VP1|ry>"
"hyperledger","iroha","U0UHG4VP1","ry","<@U0UHG4VP1|ry> has left the channel","2017-01-13 18:06:10",", U0UHG4VP1|ry>"
"hyperledger","iroha","U0UHG4VP1","ry","<@U0UHG4VP1|ry> archived the channel (w/ 36 members)","2017-02-07 23:35:06",", U0UHG4VP1|ry>"
"hyperledger","iroha","U0UHG4VP1","ry","please migrate to <https://chat.hyperledger.org/>","2017-02-07 23:35:00",""
"hyperledger","iroha","U115YGEH1","mtakemiya","<https://www.hyperledger.org/blog/2016/11/01/hyperledger-welcomes-iroha>","2016-11-02 15:28:54",""
"hyperledger","iroha","U115YGEH1","mtakemiya","<@U115YGEH1|mtakemiya> has joined the channel","2016-10-20 21:04:48",", U115YGEH1|mtakemiya>"
"hyperledger","iroha","U115YGEH1","mtakemiya","<http://www.coindesk.com/hyperledger-mobile-blockchain-apps-iroha-project/>","2016-11-02 15:29:07",""
"hyperledger","iroha","U115YGEH1","mtakemiya","<@U294C6FDW> I don’t really understand your question about docker...","2016-10-22 04:56:23",", U294C6FDW>"
"hyperledger","iroha","U115YGEH1","mtakemiya","Regarding stopping 2 peers and then processing transactions, did you remove the peers from sumeragi.json when running?","2016-12-27 10:46:32",""
"hyperledger","iroha","U115YGEH1","mtakemiya","Moeka, a local currency experiment in Aizu, Fukushima, that used Iroha made national news yesterday: <http://www3.nhk.or.jp/news/html/20161103/k10010754741000.html>","2016-11-04 12:38:16",""
"hyperledger","iroha","U115YGEH1","mtakemiya","The branch with the beta implementation of smart contracts is: <https://github.com/hyperledger/iroha/tree/feature/api-javaexec/smart_contract>","2017-01-28 06:05:17",""
"hyperledger","iroha","U115YGEH1","mtakemiya","The app was also ranked #3 in Japan under the category of “events""","2016-11-04 12:38:45",""
"hyperledger","iroha","U115YGEH1","mtakemiya","I uploaded our video from Sibos: <https://vimeo.com/188385841>","2016-10-22 04:17:22",""
"hyperledger","iroha","U115YGEH1","mtakemiya","Some articles out about Iroha","2016-11-02 15:29:15",""
"hyperledger","iroha","U115YGEH1","mtakemiya","<@U2JD3UMEU> We never tried it. We don’t have a beaglebone, so we want to try it on a raspberry pi first.","2016-12-05 19:03:03",", U2JD3UMEU>"
"hyperledger","iroha","U115YGEH1","mtakemiya","Okay, thanks. I understand what is going on now. It is easy to fix","2016-12-28 03:39:50",""
"hyperledger","iroha","U115YGEH1","mtakemiya","Thanks for your question","2016-12-27 10:46:06",""
"hyperledger","iroha","U2BGFAHC7","donovanhide","<@U2BGFAHC7|donovanhide> has joined the channel","2016-10-20 21:05:59",", U2BGFAHC7|donovanhide>"
"hyperledger","iroha","U11MANG9G","jonathanlevi","<@U11MANG9G|jonathanlevi> has joined the channel","2016-10-20 21:26:17",", U11MANG9G|jonathanlevi>"
"hyperledger","iroha","U1FMLC60J","mizuki","<@U1FMLC60J|mizuki> has joined the channel","2016-10-21 00:03:46",", U1FMLC60J|mizuki>"
"hyperledger","iroha","U10MVHVHQ","inabatk","<@U10MVHVHQ|inabatk> has joined the channel","2016-10-21 00:03:47",", U10MVHVHQ|inabatk>"
"hyperledger","iroha","U29BLQJ4Q","mizukisonoko","<@U29BLQJ4Q|mizukisonoko> has joined the channel","2016-10-21 00:03:47",", U29BLQJ4Q|mizukisonoko>"
"hyperledger","iroha","U29CJNVT7","yonezu","<@U29CJNVT7|yonezu> has joined the channel","2016-10-21 00:07:05",", U29CJNVT7|yonezu>"
"hyperledger","iroha","U2S91GAK0","kksw88","<@U2S91GAK0|kksw88> has joined the channel","2016-10-21 01:32:43",", U2S91GAK0|kksw88>"
"hyperledger","iroha","U2SAWF92M","kobaken","<@U2SAWF92M|kobaken> has joined the channel","2016-10-21 07:28:17",", U2SAWF92M|kobaken>"
"hyperledger","iroha","U294C6FDW","echenrunner","BTW every year  I have to get certified  and KYC is part of  requirements.    We require to do DR  as part of being compliance with  government regulation.   Thanks","2016-10-22 10:41:27",""
"hyperledger","iroha","U294C6FDW","echenrunner","I like your DEMO video!!!   I'm try to verify   "" state may be inconsistent, cannot query""  by  bring down one of my  validating peer.  after the peer comes back up from the outage,  I did a query and it has the old ledger. I can't found any messages in the logs that  indicate  this ledger can be ""inconsistent"".","2016-10-22 10:29:24",""
"hyperledger","iroha","U294C6FDW","echenrunner","are there two different fabric?      I through the docker images are build from the ""make peer"" . I got the download from GitHub few weeks ago.","2016-10-21 09:30:46",""
"hyperledger","iroha","U294C6FDW","echenrunner","<@U294C6FDW|echenrunner> has joined the channel","2016-10-21 09:28:51",", U294C6FDW|echenrunner>"
"hyperledger","iroha","U184J2R7S","weeds","<@U184J2R7S|weeds> has joined the channel","2016-10-21 09:31:44",", U184J2R7S|weeds>"
"hyperledger","iroha","U184J2R7S","weeds","<@U294C6FDW> There are not two different Hyperledger-fabrics, although there are different projects in Hyperledger that are indubators (such as Sawtooth lake,etc,..).  For Hyperledger-fabric, the docker images did get published as version 0.63 of Hyperledger-fabric.   A lot of people prefer the docker images as it makes it easier for them to install and program chain code.","2016-10-24 11:21:06",", U294C6FDW>"
"hyperledger","iroha","U29BLNPQQ","gucc1","<@U29BLNPQQ|gucc1> has joined the channel","2016-10-26 08:07:23",", U29BLNPQQ|gucc1>"
"hyperledger","iroha","U0KM61BCP","cbf","<@U0KM61BCP|cbf> has joined the channel","2016-11-01 19:55:57",", U0KM61BCP|cbf>"
"hyperledger","iroha","U2B3A70TX","soldat","<@U2B3A70TX|soldat> has joined the channel","2016-11-03 08:45:56",", U2B3A70TX|soldat>"
"hyperledger","iroha","U2Y88J0E5","khaleshah","<@U2Y88J0E5|khaleshah> has joined the channel","2016-11-06 12:38:55",", U2Y88J0E5|khaleshah>"
"hyperledger","iroha","U2JD3UMEU","vu3mmg","can we run iroha on embedded devices such as beaglebone","2016-12-03 13:57:35",""
"hyperledger","iroha","U2JD3UMEU","vu3mmg","could you pls  explain whether iroha is a client for hyperledger or a ledger itself","2016-11-09 00:55:34",""
"hyperledger","iroha","U2JD3UMEU","vu3mmg","<@U2JD3UMEU|vu3mmg> has joined the channel","2016-11-09 00:49:35",", U2JD3UMEU|vu3mmg>"
"hyperledger","iroha","U26PBUZRT","kiko3333","Hello, how can I get more information about how smart contract is managed ? thanks","2017-01-26 13:04:17",""
"hyperledger","iroha","U26PBUZRT","kiko3333","<@U26PBUZRT|kiko3333> has joined the channel","2016-11-09 16:16:27",", U26PBUZRT|kiko3333>"
"hyperledger","iroha","U1D89DP47","subzer0","<@U1D89DP47|subzer0> has joined the channel","2016-11-12 20:18:22",", U1D89DP47|subzer0>"
"hyperledger","iroha","U37H9BCRL","kindus","<@U37H9BCRL|kindus> has joined the channel","2016-11-24 22:13:18",", U37H9BCRL|kindus>"
