name,url html,percentage programming file,has pull request merged,use issue for tracking,# contributors,# commits,last update at least in 2018
burrow,https://github.com/hyperledger/burrow,82.5,True,True,24,2069,True
hyperledger,https://github.com/hyperledger/hyperledger,0,True,False,15,48,True
indy-plenum,https://github.com/hyperledger/indy-plenum,93.28295549958018,True,False,39,5407,True
sawtooth-core,https://github.com/hyperledger/sawtooth-core,52.45559038662487,True,False,71,7593,True
fabric,https://github.com/hyperledger/fabric,82.01104330136589,True,False,167,9084,True
iroha,https://github.com/hyperledger/iroha,80.73394495412845,True,True,50,6708,True
fabric-sdk-py,https://github.com/hyperledger/fabric-sdk-py,45.9214501510574,True,False,19,290,True
blockchain-explorer,https://github.com/hyperledger/blockchain-explorer,68.64406779661016,True,False,39,365,True
fabric-sdk-node,https://github.com/hyperledger/fabric-sdk-node,47.474747474747474,True,False,52,1284,True
fabric-test-resources,https://github.com/hyperledger/fabric-test-resources,27.27272727272727,True,False,3,6,True
fabric-baseimage,https://github.com/hyperledger/fabric-baseimage,48.275862068965516,True,False,22,141,True
iroha-ios,https://github.com/hyperledger/iroha-ios,87.16814159292035,True,True,7,284,True
iroha-javascript,https://github.com/hyperledger/iroha-javascript,87.5,True,True,7,52,True
iroha-android,https://github.com/hyperledger/iroha-android,49.34210526315789,True,True,6,431,True
indy-anoncreds,https://github.com/hyperledger/indy-anoncreds,64.51612903225806,True,False,24,394,True
fabric-sdk-java,https://github.com/hyperledger/fabric-sdk-java,28.83116883116883,True,False,27,394,True
indy-node,https://github.com/hyperledger/indy-node,62.97262059973925,True,False,63,3182,True
cello,https://github.com/hyperledger/cello,23.828435266084195,True,False,36,642,True
ci-management,https://github.com/hyperledger/ci-management,34.73053892215569,True,False,24,1529,True
fabric-ca,https://github.com/hyperledger/fabric-ca,78.1495033978045,True,False,45,961,True
composer,https://github.com/hyperledger/composer,37.71215207060421,True,True,79,5031,True
composer-sample-models,https://github.com/hyperledger/composer-sample-models,7.6923076923076925,True,True,12,84,True
composer-sample-networks,https://github.com/hyperledger/composer-sample-networks,31.666666666666664,True,True,28,285,True
composer-sample-applications,https://github.com/hyperledger/composer-sample-applications,30.87431693989071,True,True,17,133,True
composer-tools,https://github.com/hyperledger/composer-tools,14.44759206798867,True,True,24,147,True
fabric-chaintool,https://github.com/hyperledger/fabric-chaintool,53.21100917431193,True,False,10,79,True
iroha-python,https://github.com/hyperledger/iroha-python,62.06896551724138,True,True,8,149,True
composer-atom-plugin,https://github.com/hyperledger/composer-atom-plugin,16.666666666666664,True,True,7,41,True
composer-vscode-plugin,https://github.com/hyperledger/composer-vscode-plugin,13.513513513513514,True,True,9,99,True
slack-archive,https://github.com/hyperledger/slack-archive,0,True,True,1,4,True
iroha-scala,https://github.com/hyperledger/iroha-scala,50.0,True,True,1,3,False
indy-sdk,https://github.com/hyperledger/indy-sdk,74.39303710490151,True,False,101,9921,True
fabric-sdk-go,https://github.com/hyperledger/fabric-sdk-go,89.63165075034107,True,False,29,1329,True
cello-analytics,https://github.com/hyperledger/cello-analytics,18.75,True,False,4,6,True
hyperledgerwp,https://github.com/hyperledger/hyperledgerwp,1.639344262295082,True,False,11,148,True
iroha-dotnet,https://github.com/hyperledger/iroha-dotnet,67.5,True,True,2,3,False
