name,url html,percentage programming file,has pull request merged,use issue for tracking,# contributors,# commits,last update at least in 2018
burrow,https://github.com/hyperledger/burrow,82.5,True,True,24,2069,True
iroha,https://github.com/hyperledger/iroha,80.73394495412845,True,True,50,6708,True
iroha-ios,https://github.com/hyperledger/iroha-ios,87.16814159292035,True,True,7,284,True
iroha-javascript,https://github.com/hyperledger/iroha-javascript,87.5,True,True,7,52,True
iroha-android,https://github.com/hyperledger/iroha-android,49.34210526315789,True,True,6,431,True
iroha-python,https://github.com/hyperledger/iroha-python,62.06896551724138,True,True,8,149,True
iroha-scala,https://github.com/hyperledger/iroha-scala,50.0,True,True,1,3,False
iroha-dotnet,https://github.com/hyperledger/iroha-dotnet,67.5,True,True,2,3,False
quilt,https://github.com/hyperledger/quilt,89.75609756097562,True,True,10,86,True
sawtooth-next-directory,https://github.com/hyperledger/sawtooth-next-directory,42.50343878954608,True,True,32,770,True
iroha-ed25519,https://github.com/hyperledger/iroha-ed25519,81.53153153153153,True,True,5,56,True
education-cryptomoji,https://github.com/hyperledger/education-cryptomoji,56.00000000000001,True,True,5,295,True
sawtooth-sdk-dotnet,https://github.com/hyperledger/sawtooth-sdk-dotnet,54.285714285714285,True,True,4,6,True
education-sawtooth-simple-supply,https://github.com/hyperledger/education-sawtooth-simple-supply,54.929577464788736,True,True,4,56,True
composer-concerto,https://github.com/hyperledger/composer-concerto,44.565217391304344,True,True,79,5023,True
composer-concerto-tools,https://github.com/hyperledger/composer-concerto-tools,59.64912280701754,True,True,4,38,True
iroha-java,https://github.com/hyperledger/iroha-java,66.26506024096386,True,True,4,32,True
fabric-gateway-java,https://github.com/hyperledger/fabric-gateway-java,82.35294117647058,True,True,4,14,True
