name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/1,https://github.com/kubernetes/dashboard/pull/1,bryk,Added CONTRIBUTING.md file with guidelines for external contributors,,['gmarek'],1,2015-10-16 08:45:45,2015-10-16 09:07:49,2015-10-22 07:59:57,True,2015-10-16 09:07:49,bryk,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/2,https://github.com/kubernetes/dashboard/pull/2,bryk,.gitignore file with values for initial setup,"Files from the following tools are ignored: npm, bower, gulp, InteliJ and Vi.
",['PeWu'],1,2015-10-19 08:25:54,2015-10-19 08:29:39,2015-10-19 08:32:43,True,2015-10-19 08:29:39,PeWu,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/3,https://github.com/kubernetes/dashboard/pull/3,bryk,Update README.md with a description of the console,"This is an initial version that will be there for a few next weeks while
the project is bootstrapping.

<!-- Reviewable:start -->

[<img src=""https://reviewable.io/review_button.svg"" height=""40"" alt=""Review on Reviewable""/>](https://reviewable.io/reviews/kubernetes/dashboard/3)

<!-- Reviewable:end -->
",[],1,2015-10-19 09:14:09,2015-10-19 09:29:34,2016-03-08 08:54:23,True,2015-10-19 09:29:34,bolu,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/4,https://github.com/kubernetes/dashboard/pull/4,bryk,Define source code folder structure with sample app,"This is a sample Angular application written in ES6 with modules. It has
sample unit and integration tests. It was generated with a help of
Yeoman.

Don't mind what the application does right now. I'll use it for a next
few days to verify that build system is working. Then it will be
revamped.
",['PeWu'],1,2015-10-20 10:26:31,2015-10-20 11:27:35,2015-10-20 11:27:50,True,2015-10-20 11:27:35,bolu,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/5,https://github.com/kubernetes/dashboard/pull/5,bryk,Build configuration file with common constants,"This file lists all path constants that'll be used in other build files,
e.g., to load or place appriopriate files.

No usage of this file just yet. Next commits will use it.

<!-- Reviewable:start -->

[<img src=""https://reviewable.io/review_button.svg"" height=""40"" alt=""Review on Reviewable""/>](https://reviewable.io/reviews/kubernetes/dashboard/5)

<!-- Reviewable:end -->
",[],1,2015-10-20 13:10:37,2015-10-21 10:52:25,2016-03-08 08:54:23,True,2015-10-21 10:52:25,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/6,https://github.com/kubernetes/dashboard/pull/6,bryk,Initial Bower and NPM package configuration files.,"This is initial setup with dependencies for AngularJS app written in ES6
using standard modules, tested with karma and protractor, build with
gulp, compiled with Closure Compiler and linted with ESLint.

The dependencies will be used in following commits. I'll clean them up
once entire initial application is inside the repository. This will
allow me to move faster.
",['mgr01'],1,2015-10-20 13:25:57,2015-10-20 13:28:01,2015-10-20 13:28:10,True,2015-10-20 13:28:01,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/7,https://github.com/kubernetes/dashboard/pull/7,bryk,Configure ESLint in all directories with JS code,"Next commits will use this configuration to lint the codebase. The code can be linted now by using:
`# npm install -g eslint eslint-plugin-angular`
`# eslint src/`
`# eslint build/`
",['mgr01'],2,2015-10-20 14:10:01,2015-10-20 14:17:13,2015-10-20 14:17:14,True,2015-10-20 14:17:13,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/8,https://github.com/kubernetes/dashboard/pull/8,bryk,Annotate JS source to make Closure Compiler work,"With this change advanced optimizations of the Closure Compiler work and
produce working output.
",['PeWu'],1,2015-10-21 12:38:36,2015-10-23 12:15:39,2015-10-23 12:15:43,True,2015-10-23 12:15:39,PeWu,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/9,https://github.com/kubernetes/dashboard/pull/9,bryk,Karma configuration for the frontend application,"With this file we can run frontend tests with everything wired up for
development. Subsequent pull requests will use this in Gulp file to
facilitate testing.
",['mgr01'],1,2015-10-21 12:45:28,2015-10-21 12:54:50,2015-10-21 12:54:52,True,2015-10-21 12:54:50,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/10,https://github.com/kubernetes/dashboard/pull/10,bryk,Protractor configuration file for the frontend,"This is a basic config that allows to run the tests. Subsequent pull
requests will use it in Gulp tasks to run protractor tests over
development and production code.

<!-- Reviewable:start -->

[<img src=""https://reviewable.io/review_button.svg"" height=""40"" alt=""Review on Reviewable""/>](https://reviewable.io/reviews/kubernetes/dashboard/10)

<!-- Reviewable:end -->
",[],1,2015-10-21 12:48:48,2015-10-23 19:53:57,2016-03-08 08:54:23,True,2015-10-23 19:53:57,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/11,https://github.com/kubernetes/dashboard/pull/11,bryk,Define gulp test unit and integration test task,"Once all Gulp files are in the repository tests will be run with `# gulp
test` or `# gulp integration-test`.
",['mgr01'],2,2015-10-21 12:53:49,2015-10-21 14:11:17,2015-10-21 14:11:18,True,2015-10-21 14:11:17,mgr01,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/12,https://github.com/kubernetes/dashboard/pull/12,bryk,Gulp tasks for compiling JavaScript code,"There are two main tasks. One that creates dev bundle and the other that
compiles into prod version.
",['PeWu'],1,2015-10-21 13:23:30,2015-10-23 12:21:21,2015-10-23 12:21:24,True,2015-10-23 12:21:21,PeWu,unknown,,closed
dashboard,https://api.github.com/repos/kubernetes/dashboard/pulls/13,https://github.com/kubernetes/dashboard/pull/13,bryk,Create Gulp tasks that process stylesheets,"This will be used later by other Gulp tasks to create prod and dev
application versions.

<!-- Reviewable:start -->

[<img src=""https://reviewable.io/review_button.svg"" height=""40"" alt=""Review on Reviewable""/>](https://reviewable.io/reviews/kubernetes/dashboard/13)

<!-- Reviewable:end -->
",[],1,2015-10-21 13:40:58,2015-10-26 10:52:39,2016-03-08 08:54:23,True,2015-10-26 10:52:39,bryk,unknown,,closed
