name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/22,https://github.com/hyperledger/composer-atom-plugin/pull/22,shuaibird,add grammar support for the acl file,,[],1,2018-10-23 03:17:33,,2018-10-23 03:19:50,False,,,blocked,True,open
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/21,https://github.com/hyperledger/composer-atom-plugin/pull/21,awjh-ibm,Adding license to readme,Adding license as requested by https://github.com/hyperledger/composer/issues/1220#issuecomment-386329076,[],1,2018-05-08 10:29:27,2018-05-08 10:31:29,2018-05-08 10:36:50,True,2018-05-08 10:31:28,cazfletch,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/20,https://github.com/hyperledger/composer-atom-plugin/pull/20,awjh-ibm,Added licenses,Added licenses to go partway to solving https://github.com/hyperledger/composer/issues/1220,[],1,2018-03-15 14:14:43,2018-03-15 14:39:26,2018-03-15 14:39:26,True,2018-03-15 14:39:25,cazfletch,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/18,https://github.com/hyperledger/composer-atom-plugin/pull/18,danmelton,adds Travis support for PR review resolves #17,Adds Travis support to atom plugin,[],1,2017-12-12 01:01:16,,2017-12-12 01:02:14,False,,,behind,True,open
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/13,https://github.com/hyperledger/composer-atom-plugin/pull/13,ryjones,Create DCO,DO NOT MERGE,[],1,2017-10-03 21:27:49,2017-10-03 21:37:20,2017-10-03 21:37:20,False,,,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/12,https://github.com/hyperledger/composer-atom-plugin/pull/12,liam-grace,Package bump,,[],4,2017-06-06 13:57:26,2017-06-06 13:57:55,2017-06-06 13:57:55,True,2017-06-06 13:57:55,liam-grace,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/11,https://github.com/hyperledger/composer-atom-plugin/pull/11,rjones-lf,Create dco,,[],1,2017-06-05 21:38:52,2017-06-05 21:41:53,2017-06-05 21:41:53,False,,,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/10,https://github.com/hyperledger/composer-atom-plugin/pull/10,rjones-lf,Create dcobot,,[],1,2017-06-02 21:32:20,2017-06-02 21:33:49,2017-06-02 21:33:49,False,,,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/8,https://github.com/hyperledger/composer-atom-plugin/pull/8,sstone1,Empty commit to force pull request,,['sstone1'],0,2017-05-31 20:44:55,2017-05-31 20:49:02,2017-05-31 20:49:02,False,,,dirty,False,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/7,https://github.com/hyperledger/composer-atom-plugin/pull/7,liam-grace,Rebranding,,[],2,2017-05-02 15:35:10,2017-05-05 14:13:33,2017-05-05 14:13:33,True,2017-05-05 14:13:33,liam-grace,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/6,https://github.com/hyperledger/composer-atom-plugin/pull/6,kylelorenz,added concept,Added concept to the type match,[],1,2017-04-13 19:50:37,2017-04-28 19:19:06,2017-04-28 19:19:11,True,2017-04-28 19:19:06,sstone1,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/5,https://github.com/hyperledger/composer-atom-plugin/pull/5,fenglianxu,add a missing quote,,[],3,2017-03-10 12:45:41,2017-03-10 12:46:06,2017-03-10 12:46:06,True,2017-03-10 12:46:06,fenglianxu,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/4,https://github.com/hyperledger/composer-atom-plugin/pull/4,fenglianxu,update pluging description and release version,,[],2,2017-03-10 12:20:45,2017-03-10 12:24:26,2017-03-10 12:24:26,True,2017-03-10 12:24:26,fenglianxu,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/3,https://github.com/hyperledger/composer-atom-plugin/pull/3,fenglianxu,add install instruction,,[],1,2017-03-02 14:42:18,2017-03-02 14:42:25,2017-03-02 14:42:25,True,2017-03-02 14:42:25,fenglianxu,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/2,https://github.com/hyperledger/composer-atom-plugin/pull/2,fenglianxu,update the description of the plugin package,,[],7,2017-03-02 10:43:18,2017-03-02 10:47:27,2017-03-02 10:47:27,True,2017-03-02 10:47:27,fenglianxu,unknown,,closed
composer-atom-plugin,https://api.github.com/repos/hyperledger/composer-atom-plugin/pulls/1,https://github.com/hyperledger/composer-atom-plugin/pull/1,fenglianxu,initial drop,,[],1,2017-03-01 22:17:09,2017-03-01 22:17:29,2017-03-01 22:17:29,True,2017-03-01 22:17:29,fenglianxu,unknown,,closed
