name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sample-apiserver,pwittrock,https://github.com/kubernetes/sample-apiserver/pull/1,https://api.github.com/repos/kubernetes/sample-apiserver/issues/1,GCP client auth support,,closed,True,2017-02-18 01:01:12,2017-05-01 17:47:02
sample-apiserver,caesarxuchao,https://github.com/kubernetes/sample-apiserver/pull/2,https://api.github.com/repos/kubernetes/sample-apiserver/issues/2,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",closed,True,2017-03-18 20:06:18,2017-03-20 20:09:21
sample-apiserver,caesarxuchao,https://github.com/kubernetes/sample-apiserver/pull/3,https://api.github.com/repos/kubernetes/sample-apiserver/issues/3,Round2: Generated by scripts,"Last round of PRs failed to update vendor/. This one fixed it.

kube-aggregator is not a library, so this PR also adds the k8s.io/* back to the vendor/

@deads2k @sttts 

PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",closed,True,2017-03-20 22:21:45,2017-03-21 21:10:22
sample-apiserver,caesarxuchao,https://github.com/kubernetes/sample-apiserver/pull/4,https://api.github.com/repos/kubernetes/sample-apiserver/issues/4,[Do Not Merge] release-1.6,"Generated by bot.

The release-3.0 of client-go, and release-1.6 branches of apimachinery, apiserver, kube-aggregator, and sample-apiserver are tracking relesae-1.6 of kubernetes. These branches might depend on each other, but not on commit in the master branch.

The PR batch:
https://github.com/kubernetes/sample-apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/6
https://github.com/kubernetes/apiserver/pull/6
https://github.com/kubernetes/client-go/pull/160
no change to the release 1.6 branch of apimachinery

cc @deads2k @sttts ",closed,True,2017-03-30 03:07:22,2017-03-31 17:58:36
sample-apiserver,kargakis,https://github.com/kubernetes/sample-apiserver/issues/5,https://api.github.com/repos/kubernetes/sample-apiserver/issues/5,Unable to create storage backend,"Trying to run this with a cluster created by `hack/local-up-cluster` and stumbling upon the following issue when the api server pod runs.
```
$ kc logs -f deploy/wardle
I0508 18:36:00.059769       1 serving.go:270] Generated self-signed cert (apiserver.local.config/certificates/apiserver.crt, apiserver.local.config/certificates/apiserver.key)
F0508 18:36:00.213324       1 storage_decorator.go:61] Unable to create storage backend: config (&{ /registry/wardle.kubernetes.io []    false 0 0xc42008d9e0 0xc4202c0600}), err (etcdclient: no available endpoints)
```
@deads2k any ideas?",closed,False,2017-05-08 18:39:41,2018-10-15 13:38:26
sample-apiserver,DavadDi,https://github.com/kubernetes/sample-apiserver/issues/6,https://api.github.com/repos/kubernetes/sample-apiserver/issues/6,panic: ./sample-apiserver flag redefined: log_dir,"install on Mac, golang 1.8, by:
```
go get github.com/kubernetes/sample-apiserver
go build
```

```shell
./sample-apiserver
./sample-apiserver flag redefined: log_dir
panic: ./sample-apiserver flag redefined: log_dir

goroutine 1 [running]:
flag.(*FlagSet).Var(0xc42001c0c0, 0x2f0f100, 0xc4202c2160, 0x24c7bf1, 0x7, 0x24fb2f0, 0x2f)
	/usr/local/go/src/flag/flag.go:793 +0x420
flag.(*FlagSet).StringVar(0xc42001c0c0, 0xc4202c2160, 0x24c7bf1, 0x7, 0x0, 0x0, 0x24fb2f0, 0x2f)
	/usr/local/go/src/flag/flag.go:696 +0x8b
flag.(*FlagSet).String(0xc42001c0c0, 0x24c7bf1, 0x7, 0x0, 0x0, 0x24fb2f0, 0x2f, 0xc4202c2140)
	/usr/local/go/src/flag/flag.go:709 +0x90
flag.String(0x24c7bf1, 0x7, 0x0, 0x0, 0x24fb2f0, 0x2f, 0x0)
	/usr/local/go/src/flag/flag.go:716 +0x69
k8s.io/sample-apiserver/vendor/github.com/golang/glog.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/vendor/github.com/golang/glog/glog_file.go:41 +0x14a
k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/util/yaml.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/util/yaml/decoder.go:347 +0x71
k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/runtime/serializer/json.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/runtime/serializer/json/meta.go:64 +0x6c
k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/runtime/serializer.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/vendor/k8s.io/apimachinery/pkg/runtime/serializer/protobuf_extension.go:49 +0x4e
k8s.io/sample-apiserver/vendor/k8s.io/apiserver/pkg/server.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/vendor/k8s.io/apiserver/pkg/server/serve.go:213 +0x9b
k8s.io/sample-apiserver/pkg/cmd/server.init()
	/Users/diwh/go_study/src/k8s.io/sample-apiserver/pkg/cmd/server/start.go:116 +0x58
main.init()
	/Users/diwh/go_study/src/github.com/kubernetes/sample-apiserver/main.go:43 +0x5d
```",closed,False,2017-06-04 13:27:34,2018-01-25 01:52:53
sample-apiserver,maleck13,https://github.com/kubernetes/sample-apiserver/issues/7,https://api.github.com/repos/kubernetes/sample-apiserver/issues/7,Testing an apiserver as part of development,"This is a great resource and very useful, thanks for putting it together. Something that is not clear to me however is what is a good approach to testing the external api of the apiserver (integration, blackbox). Is there a good example of this? When developing a non kubernetes api server, I would normally use the httptest package, start the server with a mocked implementation of the storage layer and the use the http.Client to make a request against the exposed API. Is something similar available and if so are there examples of how to do this?",open,False,2017-06-30 09:33:57,2018-11-11 14:14:03
sample-apiserver,maleck13,https://github.com/kubernetes/sample-apiserver/issues/8,https://api.github.com/repos/kubernetes/sample-apiserver/issues/8,Walkthrough for setting up the apiserver in minikube or oc cluster up,"Having gotten a much better understanding of what an apiserver is in Kubernetes, thanks to this repo. I was able to create my own and also able to get it running outside a kubernetes cluster talking to a local etcd. This in its self may be useful to document.
However when it came to trying to get it running in a local Kubernetes cluster. I hit a bit of brick wall.
I think a detailed example of how to get it running in something like minikube or oc cluster up would go along way to helping adoption of api extension.",closed,False,2017-07-18 16:05:00,2017-10-04 14:19:32
sample-apiserver,maleck13,https://github.com/kubernetes/sample-apiserver/issues/9,https://api.github.com/repos/kubernetes/sample-apiserver/issues/9,Are non resource urls possible for a custom apiserver,"I am able to set up a new resource by setting up my own apiserver, but I would also like to add some non resource urls. Is this something that is possible currently? I have seen that you can add nonResourceURLs to a ClusterRole, but it is not clear how I would reach these routes if they were mounted on an apiserver.",closed,False,2017-08-01 19:03:18,2018-09-11 18:57:09
sample-apiserver,maleck13,https://github.com/kubernetes/sample-apiserver/pull/10,https://api.github.com/repos/kubernetes/sample-apiserver/issues/10,add a walkthrough for setting up and trying the server on minikube,"This PR addresses issue https://github.com/kubernetes/sample-apiserver/issues/8
",closed,True,2017-09-10 10:24:40,2017-10-04 13:41:24
