name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
sample-controller,nikhita,https://github.com/kubernetes/sample-controller/pull/1,https://api.github.com/repos/kubernetes/sample-controller/issues/1,Remove README and LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

/cc @sttts @munnerz ",closed,True,2017-10-20 11:01:43,2017-12-18 12:22:15
sample-controller,erictune,https://github.com/kubernetes/sample-controller/issues/2,https://api.github.com/repos/kubernetes/sample-controller/issues/2,Create json-schema for use in the CRDs from the go types.,"CRDs support json-schema schemas.  These CRDs don't have them.  It would be nice to show how to add them, initially maintained in parallel with the Go types, and then later generated from the Go types (pkg/apis).",closed,False,2017-12-12 03:36:58,2018-10-18 10:46:21
sample-controller,spiffxp,https://github.com/kubernetes/sample-controller/pull/3,https://api.github.com/repos/kubernetes/sample-controller/issues/3,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",closed,True,2017-12-20 18:40:09,2017-12-20 20:19:10
sample-controller,grantr,https://github.com/kubernetes/sample-controller/pull/4,https://api.github.com/repos/kubernetes/sample-controller/issues/4,Replace godep with dep,,closed,True,2018-01-05 23:30:36,2018-01-05 23:32:36
sample-controller,mattmoor,https://github.com/kubernetes/sample-controller/issues/5,https://api.github.com/repos/kubernetes/sample-controller/issues/5,Example unit tests,"It would be useful to provide examples for how to test the `controller.go` code.
",closed,False,2018-01-12 15:52:44,2018-06-21 17:56:41
sample-controller,kargakis,https://github.com/kubernetes/sample-controller/issues/6,https://api.github.com/repos/kubernetes/sample-controller/issues/6,code-generator is missing from this repo,"1. git cloned this repo
2. changed the types to my own
3. removed all generated files (rm -rf pkg/client pkg/apis/prow/v1/zz_generated.deepcopy.go)
4. ./hack/update-codegen.sh does not work because code-generator is not vendored in this repo
5. pushd vendor/k8s.io
6. git clone https://github.com/kubernetes/code-generator
7. popd; ./hack/update-codegen.sh now works

I didn't expect to do 5-7. I assumed that since this is a standalone repo, code generation should work ootb. Intentional?

@munnerz @sttts ",closed,False,2018-01-19 10:41:42,2018-02-12 19:53:27
sample-controller,suneeta-mall,https://github.com/kubernetes/sample-controller/issues/7,https://api.github.com/repos/kubernetes/sample-controller/issues/7,Issue with informer factory list interface,"I am trying to create a Kubernetes controller inline with how sample-controller is built. But I keep getting this 
```
ERROR: logging before flag.Parse: E0123 13:59:00.293146   57870 reflector.go:205] .....gok8s/client/informers/externalversions/factory.go:73: Failed to list *v1.ContainerVersion: returned object must be a list: object does not implement the List interfaces
```
but the runtime objects are correctly generated using https://github.com/kubernetes/code-generator with same version branch and structure of objects seems to be same.  

I know this is a outside the scope of sample-controller but I have seen sample-controller giving same error but cant reproduce it with sample controller anymore.
Now I get this error on sample controller:

```
➜  sample-controller git:(master) sample-controller --kubeconfig ~/.kube/config                          
E0123 13:25:34.768384   53728 controller.go:236] error syncing 'default/example-foo': Operation cannot be fulfilled on foos.samplecontroller.k8s.io ""example-foo"": the object has been modified; please apply your changes to the latest version and try again
```

I am on k8s 1.9.2 and I have regenerated and verified that runtime objects of sample controller are correct as per 1.9.2. Why is the sample controller giving this error?

",closed,False,2018-01-23 03:55:03,2018-07-12 16:10:01
sample-controller,DirectXMan12,https://github.com/kubernetes/sample-controller/issues/8,https://api.github.com/repos/kubernetes/sample-controller/issues/8,"code-generator depends on APIMachinery registration package, fails to update generated code","Updating the generated clientsets (after manually vendoring `k8s.io/code-generator` due to #6) fails because the client-gen's default input directories include `k8s.io/apimachinery/pkg/apimachinery/registered`, which is not vendored in this repository.  AFAICT, it doesn't need to be vendored in this repository (since it's just for API server registration), so it should probably be an optional input directory, not a default one.  I can cross-file to k8s.io/code-generator if necessary.",closed,False,2018-01-24 21:43:59,2018-02-08 15:09:58
sample-controller,hvishwanath,https://github.com/kubernetes/sample-controller/issues/9,https://api.github.com/repos/kubernetes/sample-controller/issues/9,README instructions gives an error while trying to run the controller,"I am just following the instructions in README. I see the following error:

```
$ go run *.go -kubeconfig=$HOME/.kube/config                                                 
E0129 22:06:44.562026    1469 reflector.go:205] github.com/hvishwanath/sample-controller/vendor/k8s.io/client-go/informers/factory.go:87: Failed to list *v1.Deployment: the server could not find the requested resource
E0129 22:06:45.578094    1469 reflector.go:205] github.com/hvishwanath/sample-controller/vendor/k8s.io/client-go/informers/factory.go:87: Failed to list *v1.Deployment: the server could not find the requested resource
E0129 22:06:46.620581    1469 reflector.go:205] github.com/hvishwanath/sample-controller/vendor/k8s.io/client-go/informers/factory.go:87: Failed to list *v1.Deployment: the server could not find the requested resource
```

",closed,False,2018-01-30 06:14:42,2018-02-18 12:30:54
sample-controller,cjhomour,https://github.com/kubernetes/sample-controller/pull/10,https://api.github.com/repos/kubernetes/sample-controller/issues/10,fix typo in README.md,,closed,True,2018-02-05 02:37:34,2018-02-05 15:25:36
sample-controller,kminehart,https://github.com/kubernetes/sample-controller/issues/11,https://api.github.com/repos/kubernetes/sample-controller/issues/11,Better documentation on the `update-codegen` process,"I feel like I've edited everything I would need to edit to regenerate code for a new controller. My fork is here:

https://github.com/kminehart/ladon-resource-manager

Yet when I run `./hack/update-codegen`, I get:

```
Generating deepcopy funcs
Generating clientset for ladoncontroller:v1alpha1 at github.com/kminehart/ladon-resource-manager/pkg/client/clientset
Generating listers for ladoncontroller:v1alpha1 at github.com/kminehart/ladon-resource-manager/pkg/client/listers
Generating informers for ladoncontroller:v1alpha1 at github.com/kminehart/ladon-resource-manager/pkg/client/informers
```

which looks right, but nothing is there, and the deepcopy functions are still using `Foo` and not the new identifier, `Policy`, which tells me that these files are not actually being generated.

Am I missing something?

I've changed all references to `k8s.io/sample-controller` to my new path, and `sample-controller` / `samplecontroller` have become `ladon-controller` / `ladoncontroller` everywhere. No mention of `sample` exists in my fork; I just can't seem to get the code to generate.

If anyone can point me in the right direction I'd be happy to provide a PR with more details on the code-gen process (if I can figure it out).",closed,False,2018-03-07 15:07:17,2018-03-07 15:16:12
sample-controller,galvesribeiro,https://github.com/kubernetes/sample-controller/issues/12,https://api.github.com/repos/kubernetes/sample-controller/issues/12,Controllers on other languages than Go,"Hello,

I wonder if the controllers API is only available if using Go SDK/Client.

Are all APIs used in this Go sample available on API Server so we can write on our own languages the Controllers?

In case of yes, can someone point to the right doc so I can read more about it?

Thank you! Really appreciate any help.",closed,False,2018-03-13 07:25:28,2018-03-13 10:41:06
