name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/30,https://github.com/hyperledger/iroha-javascript/pull/30,Pobepto,feat: update to newest version,,[],2,2019-03-27 12:04:15,2019-03-27 12:05:51,2019-03-27 12:05:51,True,2019-03-27 12:05:51,Pobepto,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/29,https://github.com/hyperledger/iroha-javascript/pull/29,Pobepto,Update: iroha-helpers@0.5.5,The latest version of iroha-helpers,[],1,2019-01-25 11:21:19,2019-01-25 11:21:37,2019-01-25 11:21:37,True,2019-01-25 11:21:37,Pobepto,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/27,https://github.com/hyperledger/iroha-javascript/pull/27,Pobepto,Update to iroha-rc2,"# Description
This is a big update of iroha library for iroha-rc2.

#### Works done
- [x] Updated proto files
- [x] Updated example file
- [x] Added all commands
- [x] Added all queries
- [x] Added more documentation for the library",[],1,2019-01-17 12:29:58,2019-01-17 17:57:52,2019-01-17 17:57:53,True,2019-01-17 17:57:52,neewy,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/24,https://github.com/hyperledger/iroha-javascript/pull/24,ryjones,Create dcotrigger,,[],1,2017-10-14 18:24:59,2017-10-14 18:25:50,2017-10-14 18:25:50,False,,,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/22,https://github.com/hyperledger/iroha-javascript/pull/22,ryjones,Create DCO,DO NOT MERGE,[],1,2017-10-03 21:27:51,2017-10-03 21:37:13,2017-10-03 21:37:13,False,,,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/21,https://github.com/hyperledger/iroha-javascript/pull/21,rjones-lf,Create cla.md,,[],1,2017-06-17 08:18:17,2017-06-17 08:21:08,2017-06-17 08:21:08,False,,,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/20,https://github.com/hyperledger/iroha-javascript/pull/20,rjones-lf,Create clahub,This PR exists to trigger CLAHUB. DO NOT MERGE,[],1,2017-06-02 17:51:20,2017-06-17 08:21:08,2017-06-17 08:21:08,False,,,unknown,,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/19,https://github.com/hyperledger/iroha-javascript/pull/19,oimou,Add contributor info,"### What
Add contributor info by [all-contributors](https://www.npmjs.com/package/all-contributors-cli).

### Why
I've forgotten to add my contributor info.",[],1,2017-05-19 07:31:04,2017-05-19 07:46:01,2017-05-19 07:46:01,True,2017-05-19 07:46:01,gucc1,dirty,False,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/18,https://github.com/hyperledger/iroha-javascript/pull/18,oimou,Add a skeleton for browser testing,"### What
Add a skeleton for browser testing by [Karma](https://karma-runner.github.io/).

### Why
Now browser-side behaviour is not tested while server-side behaviour is tested.

### How to check
* Examine `npm run test:browser` runs the test suite

### TODO
- [x] Ignore ./test/browser/ for Jest
- [x] Update README",[],5,2017-05-18 09:12:11,2017-05-19 05:55:44,2017-05-19 05:55:44,True,2017-05-19 05:55:44,gucc1,dirty,False,closed
iroha-javascript,https://api.github.com/repos/hyperledger/iroha-javascript/pulls/17,https://github.com/hyperledger/iroha-javascript/pull/17,theofilis,REST Client,"- [x] Implement REST Endpoint according Android library.
- [ ] Documentation
- [ ] Write tests.",[],10,2017-05-06 20:20:12,2018-01-08 08:10:17,2018-01-08 08:10:17,False,,,dirty,False,closed
