name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/1,https://api.github.com/repos/kubernetes/kube-openapi/issues/1,Prevent cycles in reference walker,Addressing comments in https://github.com/kubernetes/kubernetes/pull/48861 (except the fuzzy test that will deserve its own PR).,closed,True,2017-07-28 00:52:59,2017-07-28 21:24:21
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/2,https://api.github.com/repos/kubernetes/kube-openapi/issues/2,BugFIX: Remove extra not operator,I am going to self LGTM this as it was an LGTMed PR that we had a typo in and it causes the main PR to fail.,closed,True,2017-08-01 10:30:40,2017-08-01 10:31:20
kube-openapi,gmarek,https://github.com/kubernetes/kube-openapi/pull/3,https://api.github.com/repos/kubernetes/kube-openapi/issues/3,Add more debug info to openapi generator,"@mbohlool PTAL

cc @sttts ",closed,True,2017-08-03 07:25:26,2017-08-11 09:45:21
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/4,https://api.github.com/repos/kubernetes/kube-openapi/issues/4,Improve performance of CloneSpec,CloneSpec should check for conflicts first and clone only if there is a conflict and a need to rename the spec. This PR addresses that (as well as adding gitignore file).,closed,True,2017-08-21 08:45:50,2017-08-23 11:47:51
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/5,https://api.github.com/repos/kubernetes/kube-openapi/issues/5,Add MergeSpecsIgnorePathConflict,MergeSpecsIgnorePathConflict is a new merge method that ignores path conflicts. It is useful if we want the destination has priority over source in serving paths.,closed,True,2017-08-25 09:53:11,2017-08-25 10:01:52
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/6,https://api.github.com/repos/kubernetes/kube-openapi/issues/6,Enable travis ci,,closed,True,2017-08-25 10:02:42,2017-08-25 21:31:52
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/7,https://api.github.com/repos/kubernetes/kube-openapi/issues/7,Enable travis ci,,closed,True,2017-08-25 21:32:25,2017-08-29 22:11:57
kube-openapi,mbohlool,https://github.com/kubernetes/kube-openapi/pull/8,https://api.github.com/repos/kubernetes/kube-openapi/issues/8,Bugfix in MergeSpecsIgnorePathConflict,We had a bug in MergeSpecsIgnorePathConflict that would fail aggregation if all paths were conflicting. This PR fixes that.,closed,True,2017-08-29 22:11:23,2017-08-30 10:06:55
kube-openapi,mengqiy,https://github.com/kubernetes/kube-openapi/pull/9,https://api.github.com/repos/kubernetes/kube-openapi/issues/9,Move parsing code from kubernetes repo to this repo,"Comparing to https://github.com/kubernetes/kubernetes/tree/master/pkg/kubectl/cmd/util/openapi
- validation is not moved since it depends on https://github.com/kubernetes/kubernetes/blob/master/pkg/kubectl/cmd/util/openapi/validation/BUILD#L40
- openapi_cache.go & openapi_cache_test.go will be deleted in https://github.com/kubernetes/kubernetes/pull/50404/files#diff-924015a54cbffd96c80a6551d2bd05ee
- openapi_getter.go & openapi_getter_test.go depends on client-go. Maybe should not be moved. ",closed,True,2017-08-30 22:40:18,2017-08-31 21:04:38
kube-openapi,mengqiy,https://github.com/kubernetes/kube-openapi/pull/10,https://api.github.com/repos/kubernetes/kube-openapi/issues/10,Move openapi proto parsing and indexing,"Move openapi proto parsing and indexing from main repo to this repo.
The code includes parsing and indexing logic.
They are NOT depend on any other k8s repo.

/assign @mbohlool @apelisse ",closed,True,2017-08-31 21:06:38,2017-09-06 18:28:23
