name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
utils,mengqiy,https://github.com/kubernetes/utils/pull/1,https://api.github.com/repos/kubernetes/utils/issues/1,add LICENSE,Copy the LICENSE from https://github.com/kubernetes/kubernetes/blob/master/LICENSE.,closed,True,2017-07-07 20:26:42,2017-07-07 20:28:12
utils,mengqiy,https://github.com/kubernetes/utils/pull/2,https://api.github.com/repos/kubernetes/utils/issues/2,cp exec util from kubernetes/kubernetes,Removed BUILD.,closed,True,2017-07-07 20:39:01,2017-08-30 21:07:38
utils,apelisse,https://github.com/kubernetes/utils/issues/3,https://api.github.com/repos/kubernetes/utils/issues/3,Setting-up the repository,"There are a few things that needs to be done to get this repository up and rolling:
- [ ] Have the root directory fully ready
  - [x] README.md #10 
  - [x] Document how to move a pkg #11
  - [x] Code of conduct #7
  - [x] License #1
  - [ ] Document process? see items below
  - [ ] Issue and pull-request  template
  - [ ] Verify boilerplate
  - [ ] what do I miss here?
- [x] test-infra: let's probably use Travis-ci #4
- [x] Do we need a readme per ""package""? `doc.go` should do it.

This is missing a ton, feel free to edit that top-level comment.",closed,False,2017-07-07 20:44:58,2017-07-20 22:42:16
utils,apelisse,https://github.com/kubernetes/utils/pull/4,https://api.github.com/repos/kubernetes/utils/issues/4,Add travis-ci yaml file to test go code,,closed,True,2017-07-07 20:56:29,2017-07-07 21:05:44
utils,mengqiy,https://github.com/kubernetes/utils/pull/5,https://api.github.com/repos/kubernetes/utils/issues/5,cp exec util from kubernetes/kubernetes,,closed,True,2017-07-07 21:11:06,2017-07-19 22:00:07
utils,apelisse,https://github.com/kubernetes/utils/pull/6,https://api.github.com/repos/kubernetes/utils/issues/6,cp exec util from kubernetes/kubernetes,,closed,True,2017-07-07 21:17:26,2017-07-07 21:18:05
utils,mengqiy,https://github.com/kubernetes/utils/pull/7,https://api.github.com/repos/kubernetes/utils/issues/7,add code-of-conduct.md,,closed,True,2017-07-07 21:26:22,2017-07-18 17:15:23
utils,mengqiy,https://github.com/kubernetes/utils/issues/8,https://api.github.com/repos/kubernetes/utils/issues/8,Include an example how to move a pkg to this repo,"Finish the first util pkg moving and the document the steps in a separate file.
- Copy the pkg to k8s.io/utils repo (need to preserve git history).
- Move the pkg to the vendor directory and update godep.

Create a link in README.md to that doc.",closed,False,2017-07-17 20:00:11,2017-07-20 22:41:25
utils,mengqiy,https://github.com/kubernetes/utils/issues/9,https://api.github.com/repos/kubernetes/utils/issues/9,pkgs to be moved to utils repo,"These need to move out of k8s in order to cut kubectl out:
- [x] k8s.io/kubernetes/pkg/util/exec  (PR: #5)
- [ ] k8s.io/kubernetes/pkg/util/interrupt

These should probably live in this repo, but are not required to move:
- [ ] k8s.io/client-go/util/jsonpath  per https://github.com/kubernetes/kubernetes/issues/48209#issuecomment-315483101
- [ ] apimachinery/pkg/util/sets

Ref: https://github.com/kubernetes/kubernetes/issues/48209#issuecomment-314537745

Feel free to edit the list above if you have more.
",open,False,2017-07-18 17:39:48,2018-01-08 21:49:07
utils,apelisse,https://github.com/kubernetes/utils/pull/10,https://api.github.com/repos/kubernetes/utils/issues/10,Create README,,closed,True,2017-07-19 22:48:57,2017-07-19 23:04:38
