name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
fabric,tehsunnliu,https://github.com/hyperledger/fabric/pull/240,https://api.github.com/repos/hyperledger/fabric/issues/240,Typo in port number for peer0.org1.example.com,"I was following the documentation and faced a problem `""Error: error getting endorser client for invoke: endorser client failed to connect to peer0.org1.example.com:9051: failed to create new connection: context deadline exceeded""1` while executing 
``` 
peer chaincode invoke -o orderer.example.com:7050 --tls true --cafile /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/ordererOrganizations/example.com/orderers/orderer.example.com/msp/tlscacerts/tlsca.example.com-cert.pem -C $CHANNEL_NAME -n mycc --peerAddresses peer0.org1.example.com:9051 --tlsRootCertFiles /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org1.example.com/peers/peer0.org1.example.com/tls/ca.crt --peerAddresses peer0.org2.example.com:9051 --tlsRootCertFiles /opt/gopath/src/github.com/hyperledger/fabric/peer/crypto/peerOrganizations/org2.example.com/peers/peer0.org2.example.com/tls/ca.crt -c '{""Args"":[""invoke"",""a"",""b"",""10""]}'
```
I checked the default port in `base/docker-compose-base.yaml` and found that the port for peer0.org1.example.com is actually set to 7051.
```
 - CORE_PEER_ADDRESS=peer0.org1.example.com:7051
```",open,True,2019-04-03 08:18:31,2019-04-03 08:30:19
fabric,joshuaquek,https://github.com/hyperledger/fabric/pull/239,https://api.github.com/repos/hyperledger/fabric/issues/239,Update forked repo,,closed,True,2019-04-03 03:46:51,2019-04-03 04:11:18
fabric,hldzlk,https://github.com/hyperledger/fabric/pull/238,https://api.github.com/repos/hyperledger/fabric/issues/238,"Merge ""[FAB-14818] Flake in TestStreamAbort"" into release-1.4","Signed-off-by: hldzlk <zhoulink90@gmail.com>
update docs",closed,True,2019-04-03 01:37:35,2019-04-03 01:43:06
fabric,hldzlk,https://github.com/hyperledger/fabric/pull/237,https://api.github.com/repos/hyperledger/fabric/issues/237,Update smartcontract.md,spelling mistake,closed,True,2019-04-02 10:02:03,2019-04-02 10:09:35
fabric,hldzlk,https://github.com/hyperledger/fabric/pull/236,https://api.github.com/repos/hyperledger/fabric/issues/236,Update smartcontract.md,spelling mistake,closed,True,2019-04-02 09:59:04,2019-04-02 10:09:39
fabric,less-more,https://github.com/hyperledger/fabric/pull/235,https://api.github.com/repos/hyperledger/fabric/issues/235,Release 1.1,fabric_v1.1,open,True,2019-04-02 06:09:01,2019-04-02 06:09:01
fabric,captainludd,https://github.com/hyperledger/fabric/pull/234,https://api.github.com/repos/hyperledger/fabric/issues/234,just messing,,closed,True,2019-03-21 16:27:47,2019-03-21 16:28:37
fabric,codesmata,https://github.com/hyperledger/fabric/pull/233,https://api.github.com/repos/hyperledger/fabric/issues/233,Updated analysis.md,Fixed minor typographical error.,open,True,2019-03-21 08:34:34,2019-03-21 08:34:34
fabric,v-almonacid,https://github.com/hyperledger/fabric/pull/232,https://api.github.com/repos/hyperledger/fabric/issues/232,fixed small typo,,open,True,2019-03-13 19:37:22,2019-03-13 19:37:22
fabric,huahuayu,https://github.com/hyperledger/fabric/pull/231,https://api.github.com/repos/hyperledger/fabric/issues/231,Update getting_started.rst,,open,True,2019-03-13 11:33:58,2019-03-13 11:33:58
fabric,huahuayu,https://github.com/hyperledger/fabric/pull/230,https://api.github.com/repos/hyperledger/fabric/issues/230,Update install.rst,"the version should be 1.4, not 1.2",open,True,2019-03-13 10:53:14,2019-03-13 10:53:14
fabric,cereal,https://github.com/hyperledger/fabric/pull/229,https://api.github.com/repos/hyperledger/fabric/issues/229,documentation-fixes,"- removed superfluous word
+ added missing word",open,True,2019-03-10 03:26:11,2019-03-10 03:26:11
fabric,moonlightCYL,https://github.com/hyperledger/fabric/pull/228,https://api.github.com/repos/hyperledger/fabric/issues/228,up,,closed,True,2019-03-04 01:19:41,2019-03-07 02:12:50
fabric,udyansharma,https://github.com/hyperledger/fabric/pull/227,https://api.github.com/repos/hyperledger/fabric/issues/227,Made minute changes to Analysis Files,Corrected a few typos and tried to mention about transaction log for a more clear understanding of the ledger in the documentation.,closed,True,2019-02-28 09:17:55,2019-02-28 10:00:16
fabric,xiaoping378,https://github.com/hyperledger/fabric/pull/226,https://api.github.com/repos/hyperledger/fabric/issues/226,Update install.rst,,closed,True,2019-02-28 02:50:23,2019-02-28 02:50:45
fabric,thepetro,https://github.com/hyperledger/fabric/pull/225,https://api.github.com/repos/hyperledger/fabric/issues/225,fixed index of CAR key in fabcar example  Signed-off-by: Peter Emil <…,"fixed index of CAR key in fabcar example 

Signed-off-by: Peter Emil <pe.peteremil@gmail.com>",closed,True,2019-02-28 00:58:35,2019-03-07 02:13:05
