name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/1,https://github.com/kubernetes/autoscaler/pull/1,mwielgus,Fix imports in cluster autoscaler after migrating it from contrib,cc: @MaciekPytel ,['MaciekPytel'],1,2017-04-18 13:48:58,2017-04-18 13:55:14,2017-04-18 13:55:14,True,2017-04-18 13:55:14,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/2,https://github.com/kubernetes/autoscaler/pull/2,MaciekPytel,Copy /hack and travis config from contrib repo,"Copy /hack and travis from contrib (with minimal modifications to paths, etc). Skipping verification of flags for now.

Fix gofmt on a few files, so that travis can actually pass.",['mwielgus'],3,2017-04-18 14:57:57,2017-04-18 15:00:07,2017-04-18 15:00:07,True,2017-04-18 15:00:07,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/3,https://github.com/kubernetes/autoscaler/pull/3,mwielgus,Top level readme and license,,['MaciekPytel'],1,2017-04-18 15:05:51,2017-04-18 15:29:27,2017-04-18 15:29:27,True,2017-04-18 15:29:27,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/4,https://github.com/kubernetes/autoscaler/pull/4,MaciekPytel,Add travis status to README,The build icon is already green :) https://travis-ci.org/kubernetes/autoscaler.svg?branch=master,['mwielgus'],1,2017-04-18 15:53:20,2017-04-18 17:29:38,2017-04-18 17:29:38,True,2017-04-18 17:29:38,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/5,https://github.com/kubernetes/autoscaler/pull/5,kgrygiel,Base Recommender model classes: Histogram and CircularBuffer.,,[],1,2017-04-19 09:18:46,2017-04-19 09:54:25,2017-04-19 12:16:13,False,,,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/8,https://github.com/kubernetes/autoscaler/pull/8,kgrygiel,Base Recommender model classes: Histogram and CircularBuffer.,,['mwielgus'],6,2017-04-19 11:56:34,2017-04-24 14:30:42,2017-04-24 14:32:20,True,2017-04-24 14:30:42,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/10,https://github.com/kubernetes/autoscaler/pull/10,kenm47,Minor Typo Change,Kubernets changed to Kubernetes,[],1,2017-04-19 13:40:46,2017-04-19 17:17:27,2017-04-19 17:17:27,True,2017-04-19 17:17:27,MaciekPytel,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/11,https://github.com/kubernetes/autoscaler/pull/11,mumoshu,cluster-autoscaler: Re: AWS Autoscaler autodiscover ASG names and sizes,"A redo of https://github.com/kubernetes/contrib/pull/2549

---

This is an alternative implementation of https://github.com/kubernetes/contrib/pull/1982

Notable differences from the original PR are:

* A new flag named `--node-group-auto-discovery` is introduced for opting in to enable the auto-discovery feature.
  * For example, specifying `--cloud-provider aws --node-group-auto-discovery asg:tag=k8s.io/cluster-autoscaler/enabled` instructs CA to auto-discover ASGs tagged with `k8s.io/cluster-autoscaler/enabled` to be used as target node groups
* The new code path introduced by this PR is executed only when `node-group-auto-discovery` is specified. There is relatively less chance to break existing features by introducing this change

Resolves https://github.com/kubernetes/contrib/issues/1956

---

Other notes:

* ~~I thought it might be a good idea to implement this feature on top of the dynamic reconfiguration #2181 initially~~
  * ~~However it turned out it is easier and less verbose to just implement an alternative aws cloud provider like what I've done for this PR~~
* We rely mainly on the `DescribeTags` API rather than `DescribeAutoScalingGroups` so that AWS can filter out unnecessary ASGs which doesn't belong to the k8s cluster, for us.
  * If we relied on `DescribeAutoScalingGroups` here, as it doesn't support `Filter`ing, we'd need to iterate over ALL the ASGs available in an AWS account, which isn't desirable due to unnecessary excessive API calls and network usages

TODO/Possible future improvements before recommending this to everyone:

* Cache the result of an auto-discovery for a configurable period, so that we won't invoke DescribeTags and DescribeAutoScalingGroup APIs too many times
",['mwielgus'],1,2017-04-19 14:18:15,2017-05-10 09:07:59,2017-05-12 04:50:10,True,2017-05-10 09:07:59,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/12,https://github.com/kubernetes/autoscaler/pull/12,MaciekPytel,Added UT for cluster_autoscaler/simulator/cluster/FindNodesToRemove,"This was one major function in simulator, that wasn't covered. A few remaining uncovered methods have little custom logic and are just functions for fetching stuff from API server - testing them would require a lot of mocking for little real value.

This brings simulator coverage to 79.4%, which I'm willing to call close enough to target of 80% stated in https://github.com/kubernetes/autoscaler/issues/6.",['mwielgus'],1,2017-04-19 17:14:46,2017-04-19 17:38:08,2017-04-19 17:38:08,True,2017-04-19 17:38:08,mwielgus,unknown,,closed
autoscaler,https://api.github.com/repos/kubernetes/autoscaler/pulls/13,https://github.com/kubernetes/autoscaler/pull/13,GFilipek,Vertical Pod Autoscaler : updater first version,"Updater component for Vertical Pod Autoscaler described in  https://github.com/kubernetes/community/pull/338

Runs in loop. On one iteration performs:
 - Fetching Vertical Pod Autoscaler configuration 
 - Fetching Pods information and resource allocation recommendations for pods. 
 - Calculating if pod update is required and how many replicas can be evicted
 - Evicting pods if recommended resources significantly vary from actual resources allocation.

Mocked parts - to be implemented:
 - Recommendation API for fetching data from Vertical Pod Autoscaler Recommender.
 - Vertical Pod Autoscaler lister for fetching Vertical Pod Autoscaler config.

cc: @mwielgus @kgrygiel @KarolKraskiewicz",['mwielgus'],2,2017-04-20 06:12:12,2017-04-27 21:02:52,2018-02-13 16:15:17,True,2017-04-27 21:02:52,mwielgus,unknown,,closed
