name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
cloud-provider-azure,karataliu,https://github.com/kubernetes/cloud-provider-azure/pull/1,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/1,Import azure cloud provider code,"- Import azure cloud provider code, synced with k8s v1.11.0-alpha.0
- Add build and test tool
- Add doc",closed,True,2018-03-27 09:52:50,2018-04-04 02:34:39
cloud-provider-azure,karataliu,https://github.com/kubernetes/cloud-provider-azure/pull/2,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/2,[DO NOT MERGE] Verify ci test,"This PR is to verify CI test only.

/hold",closed,True,2018-04-04 01:39:16,2018-04-23 09:50:16
cloud-provider-azure,karataliu,https://github.com/kubernetes/cloud-provider-azure/pull/3,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/3,Update package import path,"Change 'github.com/kubernetes' to 'k8s.io'.

/assign @feiskyer ",closed,True,2018-04-04 02:21:12,2018-04-04 02:34:50
cloud-provider-azure,feiskyer,https://github.com/kubernetes/cloud-provider-azure/issues/4,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/4,Enable e2e tests for Azure,"We should set up an e2e tests for this repo

- [x] Setup e2e tests infra on Azure
- [x] Enable e2e tests for PRs
- [x] Switch to test-infra for presubmit e2e tests (presubmit tests are running for pull requests in cloud-provider-azure repo) @ritazh 
  - [x] Add e2e steps to setup test-infra via Makefile
  - [x] Update presubmit tests to the new way
  - [ ] Remove current perl scripts
- [ ] Enable full periodic e2e tests for stable releases (periodic tests are running in backgroud for each release braches)
  - [ ] Add more test scenarios, e.g. conformance, correctness, alpha-features, autoscaling, scalability, multi-zone, slow and serial
  - [ ] Enable e2e for more releases, e.g. v1.13 and v1.12
  - [ ] Setup prow jobs for new test scenarios
- [ ] Add Azure features e2e testings #7
  - [ ] LoadBalancer service tests with various annotations
  - [ ] ACR image pulling tests without docker secrets setting explicitly
  - [ ] Multi availability zones tests
  - [ ] Cloud provider configuration options tests (e.g. Standard LoadBalancer and VMSS)
  - [ ] Upgrading tests (e.g. cloud-provider version updates)
- [ ] Documentation for e2e @ritazh 
",open,False,2018-04-04 07:43:09,2019-04-04 14:56:23
cloud-provider-azure,feiskyer,https://github.com/kubernetes/cloud-provider-azure/issues/5,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/5,Add documentations for Azure cloud provider config file,"All params are listed [here](https://github.com/kubernetes/kubernetes/blob/98e89770c6fd57448b50c2e14f2dd14c96999927/pkg/cloudprovider/providers/azure/azure.go#L64-L129)

- [ ]  The meaning of each params
- [ ]  Different auth methods
  - [ ] clientId/clientSecret
  - [ ] clientCert
  - [ ] UseManagedIdentityExtension



",closed,False,2018-04-04 07:46:10,2018-04-10 02:14:09
cloud-provider-azure,feiskyer,https://github.com/kubernetes/cloud-provider-azure/issues/6,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/6,Add documentation of kube-controller-manager,"Add documentation of how to use Azure in kube-controller-manager, e.g.

- [x] What should be configured when provisioning kube-controller-manager
- [x] Docuement kubelet/kube-apiserver should also be configured with same
- [x] Link to docs created in #5 for cloud-config
",closed,False,2018-04-04 09:10:53,2018-05-15 07:05:37
cloud-provider-azure,feiskyer,https://github.com/kubernetes/cloud-provider-azure/issues/7,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/7,Add more e2e test cases,"Azure related features should be tested in e2e tests, which includes

- [ ] Different authz methods
- [ ] Different load balancer behavior with annotations
- [ ] Verification of various resources
  - [ ] Routes
  - [ ] Node's externalID
  - [ ] Node's publicIP
  - [ ] NSGs
- [ ] ACR image pulling tests without docker secrets setting explicitly
- [ ] Multi availability zones tests
- [ ] Cloud provider configuration options tests (e.g. Standard LoadBalancer and VMSS)
- [ ] Upgrading tests (e.g. cloud-provider version updates)

Also add tests for Azure persistent storages, e.g.

- [ ] AzureFile
- [ ] AzureDisk
",open,False,2018-04-04 09:16:58,2019-03-24 15:20:57
cloud-provider-azure,mahuihuang,https://github.com/kubernetes/cloud-provider-azure/pull/8,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/8,Fix grammar mistake,Fix grammar mistake,closed,True,2018-04-06 07:55:42,2018-04-09 15:29:11
cloud-provider-azure,karataliu,https://github.com/kubernetes/cloud-provider-azure/pull/9,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/9,Add cloud provider config doc,Fixes #5 ,closed,True,2018-04-09 08:06:00,2018-04-10 02:22:26
cloud-provider-azure,feiskyer,https://github.com/kubernetes/cloud-provider-azure/issues/10,https://api.github.com/repos/kubernetes/cloud-provider-azure/issues/10,Document known issues of each release,"We should add documentation of known issues of each release, e.g.

- [ ] load balancer and nsg issues
- [ ] AzureDisk issues
- [ ] AzureFile issues

To begin with, we could add `SourceAddressPrefixes` issue first (Refer https://github.com/Azure/AKS/issues/199).

/cc @khenidak @andyzhangx @karataliu ",closed,False,2018-04-19 07:46:17,2018-07-23 07:34:23
