name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
metrics,DirectXMan12,https://github.com/kubernetes/metrics/pull/1,https://api.github.com/repos/kubernetes/metrics/issues/1,Initial Structure,"This commit updates the README and adds some boilerplate
files (code of conduct, contributing guidelines, owners, .gitignore).",closed,True,2017-02-15 21:25:28,2017-02-15 21:28:29
metrics,DirectXMan12,https://github.com/kubernetes/metrics/pull/2,https://api.github.com/repos/kubernetes/metrics/issues/2,Introduce types and clients for Metrics APIs,"This PR introduces types and clients for both the custom metrics API and the resource metrics API.

The resource metrics API uses autogenerated clients, while the custom metrics API, due the nature of it's URLs, uses a custom client.",closed,True,2017-02-20 06:56:41,2017-02-22 21:53:19
metrics,luxas,https://github.com/kubernetes/metrics/pull/3,https://api.github.com/repos/kubernetes/metrics/issues/3,The custom metrics client should expect a MetricValue instead of a MetricValueList in single-value contexts,"ref: https://github.com/kubernetes/kubernetes/pull/43354

I noticed this is a standalone repo, not a staging one... so updating here first
@DirectXMan12 @piosz ",closed,True,2017-03-19 11:39:31,2017-03-25 21:51:58
metrics,mwielgus,https://github.com/kubernetes/metrics/pull/4,https://api.github.com/repos/kubernetes/metrics/issues/4,Update repo - from kuberntes/kubernetes/staging,"The current version doesn't compile with new client-go - some api elements were moved.

cc: @DirectXMan12 @piosz ",closed,True,2017-07-03 16:05:18,2017-07-05 14:46:42
metrics,kumudt,https://github.com/kubernetes/metrics/issues/5,https://api.github.com/repos/kubernetes/metrics/issues/5,Need a document on how to use this for custom metrics api server,"Hi

We are actually planning to implement this custom metrics API server on our cluster and use it for pod auto scaling. So, looking forward to an introductory document or a blog post on how to use this project.

Thanks.",closed,False,2017-08-10 11:13:33,2017-08-15 18:49:28
metrics,mbssaiakhil,https://github.com/kubernetes/metrics/pull/6,https://api.github.com/repos/kubernetes/metrics/issues/6,Fix typo in Events Code of Conduct,,closed,True,2017-08-13 11:28:46,2017-08-15 18:47:51
metrics,DirectXMan12,https://github.com/kubernetes/metrics/pull/7,https://api.github.com/repos/kubernetes/metrics/issues/7,[docs] Add implementation links,"This PR cleans up the README a bit and adds links to known implementations of the APIs in this repository, as well as a link to the custom-metrics-apiserver boilerplate.",closed,True,2017-08-15 19:57:04,2017-08-23 18:29:01
metrics,DirectXMan12,https://github.com/kubernetes/metrics/pull/8,https://api.github.com/repos/kubernetes/metrics/issues/8,Restore README and docs,"The README and other associated docs got removed during the initial
resync, when the old branch was renamed to ""legacy"".  This restores
them from that branch.",closed,True,2017-09-08 19:03:15,2017-09-08 19:04:41
metrics,mindprince,https://github.com/kubernetes/metrics/pull/9,https://api.github.com/repos/kubernetes/metrics/issues/9,Fix link to metrics-server.,,closed,True,2017-10-03 00:26:27,2017-10-03 20:31:29
metrics,nikhita,https://github.com/kubernetes/metrics/pull/10,https://api.github.com/repos/kubernetes/metrics/issues/10,Remove LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

The `README.md` is already present in staging and is not authoritative here.

/cc @sttts ",closed,True,2017-10-23 11:39:22,2017-12-18 12:22:33
metrics,derekperkins,https://github.com/kubernetes/metrics/pull/11,https://api.github.com/repos/kubernetes/metrics/issues/11,fix typo in IMPLEMENTATIONS.md,"This fixes a misspelling of ""convenience"" in the IMPLEMENTATIONS.md file.",closed,True,2017-11-17 09:05:15,2017-11-28 18:12:13
metrics,spiffxp,https://github.com/kubernetes/metrics/pull/12,https://api.github.com/repos/kubernetes/metrics/issues/12,Update code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",closed,True,2017-12-20 18:39:34,2017-12-20 20:28:14
metrics,sttts,https://github.com/kubernetes/metrics/pull/13,https://api.github.com/repos/kubernetes/metrics/issues/13,Create LICENSE,"This file was missing, but exists in staging/. The bot would have been broken whenever the file is changed in staging/.",closed,True,2017-12-20 20:43:02,2018-01-04 09:10:32
metrics,sttts,https://github.com/kubernetes/metrics/pull/14,https://api.github.com/repos/kubernetes/metrics/issues/14,Delete code-of-conduct.md,In preparation of https://github.com/kubernetes/kubernetes/pull/57473.,closed,True,2017-12-20 20:44:16,2018-01-04 09:10:33
