name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/1,https://github.com/kubernetes/kube-openapi/pull/1,mbohlool,Prevent cycles in reference walker,Addressing comments in https://github.com/kubernetes/kubernetes/pull/48861 (except the fuzzy test that will deserve its own PR).,['sttts'],1,2017-07-28 00:52:59,2017-07-28 21:24:21,2017-07-28 21:24:21,True,2017-07-28 21:24:21,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/2,https://github.com/kubernetes/kube-openapi/pull/2,mbohlool,BugFIX: Remove extra not operator,I am going to self LGTM this as it was an LGTMed PR that we had a typo in and it causes the main PR to fail.,[],1,2017-08-01 10:30:40,2017-08-01 10:31:20,2017-08-01 10:31:20,True,2017-08-01 10:31:20,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/3,https://github.com/kubernetes/kube-openapi/pull/3,gmarek,Add more debug info to openapi generator,"@mbohlool PTAL

cc @sttts ",[],1,2017-08-03 07:25:26,2017-08-11 09:45:21,2017-08-11 09:45:21,True,2017-08-11 09:45:21,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/4,https://github.com/kubernetes/kube-openapi/pull/4,mbohlool,Improve performance of CloneSpec,CloneSpec should check for conflicts first and clone only if there is a conflict and a need to rename the spec. This PR addresses that (as well as adding gitignore file).,[],0,2017-08-21 08:45:50,2017-08-23 11:47:51,2017-08-23 11:47:51,True,2017-08-23 11:47:51,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/5,https://github.com/kubernetes/kube-openapi/pull/5,mbohlool,Add MergeSpecsIgnorePathConflict,MergeSpecsIgnorePathConflict is a new merge method that ignores path conflicts. It is useful if we want the destination has priority over source in serving paths.,[],1,2017-08-25 09:53:11,2017-08-25 10:01:52,2017-08-25 10:01:52,True,2017-08-25 10:01:52,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/6,https://github.com/kubernetes/kube-openapi/pull/6,mbohlool,Enable travis ci,,[],1,2017-08-25 10:02:42,2017-08-25 21:31:52,2017-08-25 21:31:52,False,,,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/7,https://github.com/kubernetes/kube-openapi/pull/7,mbohlool,Enable travis ci,,[],1,2017-08-25 21:32:25,2017-08-29 22:11:57,2017-08-29 22:11:57,True,2017-08-29 22:11:56,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/8,https://github.com/kubernetes/kube-openapi/pull/8,mbohlool,Bugfix in MergeSpecsIgnorePathConflict,We had a bug in MergeSpecsIgnorePathConflict that would fail aggregation if all paths were conflicting. This PR fixes that.,[],2,2017-08-29 22:11:23,2017-08-30 10:06:55,2017-08-30 10:06:55,True,2017-08-30 10:06:55,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/9,https://github.com/kubernetes/kube-openapi/pull/9,mengqiy,Move parsing code from kubernetes repo to this repo,"Comparing to https://github.com/kubernetes/kubernetes/tree/master/pkg/kubectl/cmd/util/openapi
- validation is not moved since it depends on https://github.com/kubernetes/kubernetes/blob/master/pkg/kubectl/cmd/util/openapi/validation/BUILD#L40
- openapi_cache.go & openapi_cache_test.go will be deleted in https://github.com/kubernetes/kubernetes/pull/50404/files#diff-924015a54cbffd96c80a6551d2bd05ee
- openapi_getter.go & openapi_getter_test.go depends on client-go. Maybe should not be moved. ","['mbohlool', 'apelisse']",24,2017-08-30 22:40:18,2017-08-31 00:39:29,2017-08-31 21:04:38,False,,,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/10,https://github.com/kubernetes/kube-openapi/pull/10,mengqiy,Move openapi proto parsing and indexing,"Move openapi proto parsing and indexing from main repo to this repo.
The code includes parsing and indexing logic.
They are NOT depend on any other k8s repo.

/assign @mbohlool @apelisse ","['mbohlool', 'apelisse', 'monopole']",1,2017-08-31 21:06:38,2017-09-01 00:12:57,2017-09-06 18:28:23,True,2017-09-01 00:12:57,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/11,https://github.com/kubernetes/kube-openapi/pull/11,jim-minter,initialise schemaTypeFormatMap once at package level,initialise schemaTypeFormatMap once at package level instead of every time GetOpenAPITypeFormat is called,[],1,2017-09-05 15:55:48,2017-09-06 09:17:46,2017-09-06 09:17:46,True,2017-09-06 09:17:46,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/12,https://github.com/kubernetes/kube-openapi/pull/12,apelisse,proto: Index by model name rather than GVK,"Remove completely the notion of Group-version-kind from this package,
as we'll move it where it's actually relevant. This removes the
parsing/constructing which was kind of out of place.

Also allow to return the full list of models. The code in kubernetes
will get all these models, and then index by gvk.",[],1,2017-10-16 23:44:05,2017-10-17 22:36:32,2017-10-17 22:36:32,True,2017-10-17 22:36:32,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/14,https://github.com/kubernetes/kube-openapi/pull/14,marun,Enable generation to a vendored output path,"The PR adds a way to generate OpenAPI spec in an output path in the `vendor/` folder by using the argument to ``--output-package`` verbatim.  Previously, the argument to ``--output-package`` was canonicalized to an importable package name (e.g. ``vendor/k8s.io/kubernetes`` => ``k8s.io/kubernetes``) which would result in the file being generated outside of the vendoring repo (e.g. ``$GOPATH/src/k8s.io/kubernetes`` instead of ``$GOPATH/src/k8s.io/federation/vendor/k8s.io/kubernetes``). 

This is in support of generating openapi code for vendored kube by federation as per https://github.com/kubernetes/kubernetes/issues/54335.

cc: @mbohlool ",['mbohlool'],1,2017-10-21 04:34:44,2017-10-24 18:23:56,2017-10-24 18:23:56,True,2017-10-24 18:23:56,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/15,https://github.com/kubernetes/kube-openapi/pull/15,apelisse,proto: Add model validation,"This new code allows someone to validate that a given object (as a
`map[string]interface{}`) is valid against a specific model.

There are no test in this code, since the old test are depending on
apimachinery code that we can't import here. A nice follow-up would be
to add small unit-tests to validate each individual part.",['mbohlool'],1,2017-10-27 21:18:34,2017-10-30 18:40:31,2017-10-30 18:40:31,True,2017-10-30 18:40:31,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/16,https://github.com/kubernetes/kube-openapi/pull/16,roycaihw,Add util function to convert package/type path to OpenAPI name,"Add a function to convert the package/type path (e.g. parsed by gengo) into openapi name.

Examples:
Input:  k8s.io/api/core/v1.Pod
Output: io.k8s.api.core.v1.Pod

Input:  k8s.io/api/core/v1
Output: io.k8s.api.core.v1",['mbohlool'],1,2017-10-30 19:32:25,2017-10-30 23:52:46,2018-02-01 22:19:25,True,2017-10-30 23:52:46,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/17,https://github.com/kubernetes/kube-openapi/pull/17,apelisse,Make proto validation errors public,Error types should have been public ...,[],1,2017-11-01 18:29:56,2017-11-01 18:35:05,2017-11-01 18:35:05,True,2017-11-01 18:35:05,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/18,https://github.com/kubernetes/kube-openapi/pull/18,roycaihw,New OpenAPI endpoint,"OpenAPI endpoint that includes spec version in name, but hides all other details in the header of the request and response. 

The design doc and deprecation process are tracked at: https://docs.google.com/document/d/19lEqE9lc4yHJ3WJAJxS_G7TcORIJXGHyq3wpwcH28nU. 

The endpoints in [generic apiserver](https://github.com/kubernetes/kubernetes/blob/443908193d564736d02efdca4c9ba25caf1e96fb/staging/src/k8s.io/apiserver/pkg/server/routes/openapi.go#L35) and [aggregator](https://github.com/kubernetes/kubernetes/blob/443908193d564736d02efdca4c9ba25caf1e96fb/staging/src/k8s.io/kube-aggregator/pkg/controllers/openapi/aggregator.go#L112-L113) will be deprecated. ",[],1,2017-11-02 00:43:32,2018-01-30 23:21:25,2018-02-01 22:09:06,True,2018-01-30 23:21:25,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/20,https://github.com/kubernetes/kube-openapi/pull/20,sttts,Fix generator to work without pre-existing Go files in target package,"This is needed to create openapi specs in 3rdparty project via k8s.io/code-generator/generate-{,internal}-groups.sh.

Compare https://github.com/kubernetes/kubernetes/pull/55472, especially https://github.com/kubernetes/kubernetes/pull/55472/commits/16e0e4eb77e955d9a166e07ad38aba4be28b8376#diff-2ab730acbe5670b4be0131fdf1787dc2R113.",['mbohlool'],1,2017-11-10 14:11:46,2017-12-05 21:07:39,2017-12-05 21:25:52,True,2017-12-05 21:07:39,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/21,https://github.com/kubernetes/kube-openapi/pull/21,ericchiang,generators: let types provide defs without importing kube-openapi,"This change lets types override their generated spec definition
with methods that don't import kube-openapi. Doing this will let
client-go remove its openapi imports, eliminating ~10 transitive
dependencies for Kubernetes clients.

To override the generated spec definition, a type can now implement
the following two methods:

	func (_ MicroTime) OpenAPISchemaType() []string {
		return []string{""string""}
	}

	func (_ MicroTime) OpenAPISchemaFormat() string {
		return ""date-time""
	}

POC can be found here: https://github.com/ericchiang/kubernetes/commit/b0282c59f05df721e769fb9d34ab52fe9a8db4a5

cc @sttts @mbohlool ",['mbohlool'],1,2017-11-11 01:19:00,2017-12-11 21:52:20,2017-12-11 22:02:39,True,2017-12-11 21:52:20,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/22,https://github.com/kubernetes/kube-openapi/pull/22,luksa,Aggregator now re-uses the model definition that it had renamed previously,"Before this fix, the aggregator would create multiple identical
copies (but with a different name) of the same object type.

This fixes https://github.com/kubernetes/kubernetes/issues/55941",['mbohlool'],2,2017-11-17 12:13:48,2018-01-30 23:20:18,2018-01-30 23:20:18,True,2018-01-30 23:20:18,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/23,https://github.com/kubernetes/kube-openapi/pull/23,rutsky,Fix mapping and kind validation errors when array is passed,"""Kind"" is map with specific structure.
",['apelisse'],1,2017-11-20 00:17:07,2018-01-08 22:22:31,2018-01-08 22:22:31,True,2018-01-08 22:22:31,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/24,https://github.com/kubernetes/kube-openapi/pull/24,luksa,"Fix schema merging, so references are updated properly","When merging two schemas with conflicting definitions of the same object,
the aggregator would rename one of them, but wouldn't update all the
references ($ref), because it was updating copies due to golang's
pass-by-value.

Fixes https://github.com/kubernetes/kubernetes/issues/56417",['mbohlool'],1,2017-11-27 15:02:43,2018-02-01 01:40:57,2018-02-01 01:41:05,True,2018-02-01 01:40:57,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/25,https://github.com/kubernetes/kube-openapi/pull/25,luksa,"Handle ""any value"" openapi definitions properly",This will allow us to support the k8s RawExtension object,['apelisse'],3,2017-11-27 17:45:35,2017-12-05 06:19:52,2017-12-11 23:56:11,True,2017-12-05 06:19:52,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/28,https://github.com/kubernetes/kube-openapi/pull/28,ericchiang,"remove VisitArbitrary from SchemaVisitor, make different interface","Lots of things in k8s.io/kubernetes implement SchemaVisitor, and
adding a new interface method breaks that.[1] Instead of adding
VisitArbitrary directly to that interface introduce a new
SchemaVisitorArbitrary that types can optionally implement to visit
an arbitrary type.

/assign @luksa
/assign @apelisse

Modifies change in https://github.com/kubernetes/kube-openapi/pull/25

Fixes https://github.com/kubernetes/kube-openapi/issues/27

[1] https://github.com/kubernetes/kubernetes/pull/57059#issuecomment-350896736",['apelisse'],1,2017-12-12 00:09:25,2017-12-12 22:16:57,2017-12-12 22:32:51,True,2017-12-12 22:16:56,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/29,https://github.com/kubernetes/kube-openapi/pull/29,amir,Add the Pattern if it's specified,This is related to #26 and demonstrates the easiest way to add `spec.SchemaProps.Pattern` support to an Schema but admittedly a crude attempt. I'd like to add Pattern and Enum support given pointers on what's the preferred way.,[],9,2017-12-14 13:58:03,2018-01-23 10:24:09,2018-01-23 10:24:09,False,,,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/30,https://github.com/kubernetes/kube-openapi/pull/30,spiffxp,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527","['cblecker', 'mbohlool']",1,2017-12-20 18:33:07,2018-01-08 22:06:42,2018-01-08 22:06:42,True,2018-01-08 22:06:42,mbohlool,unknown,,closed
kube-openapi,https://api.github.com/repos/kubernetes/kube-openapi/pulls/32,https://github.com/kubernetes/kube-openapi/pull/32,ericchiang,generators: elide struct type when generating maps,"./hack/verify-gofmt.sh was not happy with the generated code, which
isn't compliant with ""gofmt -s"". Elide the struct type when
generating OpenAPI definitions for a map value.

Example failure from (https://github.com/kubernetes/kubernetes/pull/57059):
https://k8s-gubernator.appspot.com/build/kubernetes-jenkins/pr-logs/pull/57059/pull-kubernetes-verify/70488/

Follow up to https://github.com/kubernetes/kube-openapi/pull/21

/cc @mbohlool ",[],1,2018-01-06 16:54:20,2018-01-08 22:06:26,2018-01-08 22:20:34,True,2018-01-08 22:06:26,mbohlool,unknown,,closed
