name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
utils,https://api.github.com/repos/kubernetes/utils/pulls/1,https://github.com/kubernetes/utils/pull/1,mengqiy,add LICENSE,Copy the LICENSE from https://github.com/kubernetes/kubernetes/blob/master/LICENSE.,['apelisse'],1,2017-07-07 20:26:42,2017-07-07 20:28:06,2017-07-07 20:28:12,True,2017-07-07 20:28:06,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/2,https://github.com/kubernetes/utils/pull/2,mengqiy,cp exec util from kubernetes/kubernetes,Removed BUILD.,"['apelisse', 'thockin']",1,2017-07-07 20:39:01,2017-07-07 21:08:49,2017-08-30 21:07:38,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/4,https://github.com/kubernetes/utils/pull/4,apelisse,Add travis-ci yaml file to test go code,,['mengqiy'],1,2017-07-07 20:56:29,2017-07-07 21:05:44,2017-07-07 21:05:44,True,2017-07-07 21:05:44,mengqiy,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/5,https://github.com/kubernetes/utils/pull/5,mengqiy,cp exec util from kubernetes/kubernetes,,"['apelisse', 'thockin']",28,2017-07-07 21:11:06,2017-07-19 03:11:29,2017-07-19 22:00:07,True,2017-07-19 03:11:29,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/6,https://github.com/kubernetes/utils/pull/6,apelisse,cp exec util from kubernetes/kubernetes,,[],1,2017-07-07 21:17:26,2017-07-07 21:18:05,2017-07-07 21:18:05,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/7,https://github.com/kubernetes/utils/pull/7,mengqiy,add code-of-conduct.md,,"['sarahnovotny', 'apelisse']",1,2017-07-07 21:26:22,2017-07-18 16:56:15,2017-07-18 17:15:23,True,2017-07-18 16:56:15,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/10,https://github.com/kubernetes/utils/pull/10,apelisse,Create README,,"['mengqiy', 'pwittrock']",1,2017-07-19 22:48:57,2017-07-19 23:04:38,2017-07-19 23:04:38,True,2017-07-19 23:04:38,mengqiy,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/11,https://github.com/kubernetes/utils/pull/11,mengqiy,add HowToMove.md,,['apelisse'],1,2017-07-20 00:40:52,2017-07-20 22:41:16,2017-07-20 23:31:35,True,2017-07-20 22:41:16,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/12,https://github.com/kubernetes/utils/pull/12,monopole,Clarify criteria for adding code.,"Wanted to have clearer criteria for adding code, stopping well short
of all the [policy](https://github.com/kubernetes/community/blob/master/contributors/devel/pull-requests.md) in the core repo.

Provide more history about why this repo exists and how it fits with the rest.

Underscore that this repo must not depend on other k8s repos.

","['apelisse', 'mengqiy']",1,2017-07-21 00:05:15,2017-08-11 00:36:31,2017-08-11 00:36:31,True,2017-08-11 00:36:31,mengqiy,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/13,https://github.com/kubernetes/utils/pull/13,apelisse,Add goverall,"No idea if this works, or what it does.","['monopole', 'spxtr']",1,2017-07-21 21:09:10,2017-07-28 04:15:21,2017-07-28 04:15:21,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/14,https://github.com/kubernetes/utils/pull/14,danwinship,Add useful test wrapper functions to FakeExec,"Migrated from https://github.com/kubernetes/kubernetes/pull/46537...

----

The fake implementation of pkg/util/exec for test programs is kind of really annoying to use. This PR adds some wrapper functions to make it easier, AND to automatically check that the passed-in command was what you expected (which some tests were doing but most weren't).

So:

    fcmd := fakeexec.FakeCmd{
            CombinedOutputScript: []fakeexec.FakeCombinedOutputAction{
                    // iptables version check
                    func() ([]byte, error) { return []byte(""iptables v1.9.22""), nil },
                    // iptables-restore version check
                    func() ([]byte, error) { return []byte(""iptables-restore v1.9.22""), nil },
                    // Success.
                    func() ([]byte, error) { return []byte{}, nil },
            },
    }
    fexec := fakeexec.FakeExec{
            CommandScript: []fakeexec.FakeCommandAction{
                    func(cmd string, args ...string) exec.Cmd { return fakeexec.InitFakeCmd(&fcmd, cmd, args...) },
                    func(cmd string, args ...string) exec.Cmd { return fakeexec.InitFakeCmd(&fcmd, cmd, args...) },
                    func(cmd string, args ...string) exec.Cmd { return fakeexec.InitFakeCmd(&fcmd, cmd, args...) },
            },
    }

becomes

    fexec := fakeexec.NewFakeExec(t, nil)
    fexec.AddCommand(""iptables"", ""--version"").
    	SetCombinedOutput(""iptables v1.9.22"", nil)
    fexec.AddCommand(""iptables-restore"", ""--version"").
    	SetCombinedOutput(""iptables-restore v1.9.22"", nil)
    fexec.AddCommand(""iptables"", ""-w2"", ""-N"", ""FOOBAR"", ""-t"", ""nat"").
    	SetCombinedOutput("""", nil)

There's some discussion on the original kubernetes bug (which I'm going to rebase on top of this to cover only the ""porting pkg/util to the new interface"" part). The June 27 comment about it not passing ""make verify"" no longer seems to be a problem with the migration of fakeexec into a separate subdirectory.","['apelisse', 'mengqiy', 'monopole']",1,2017-08-09 16:12:31,2018-03-22 06:12:54,2018-03-22 06:12:54,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/15,https://github.com/kubernetes/utils/pull/15,mbssaiakhil,Fix few typo and grammatical issues,,['mengqiy'],1,2017-08-13 09:30:13,2017-08-13 22:21:55,2017-08-13 22:21:55,True,2017-08-13 22:21:55,mengqiy,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/16,https://github.com/kubernetes/utils/pull/16,mengqiy,Update HOWTOMOVE doc,"We may encounter some error when moving pkg.
I remember this when I was working on https://github.com/kubernetes/kube-openapi/pull/9.",['apelisse'],1,2017-08-30 22:50:42,2017-08-31 16:24:22,2017-08-31 21:10:41,True,2017-08-31 16:24:22,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/17,https://github.com/kubernetes/utils/pull/17,apelisse,Update README to include godocs references,,[],1,2017-10-20 03:40:55,2017-10-24 16:35:51,2017-10-24 16:35:51,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/18,https://github.com/kubernetes/utils/pull/18,apelisse,Add godocs to README,,['pwittrock'],1,2017-10-24 16:37:22,2017-10-24 20:41:06,2017-10-24 20:41:06,True,2017-10-24 20:41:06,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/19,https://github.com/kubernetes/utils/pull/19,apelisse,Test against go 1.9,"Kubernetes now compiles with go 1.9, so we should definitely test
against that version.",['monopole'],1,2017-10-24 16:42:20,2017-10-24 22:18:38,2017-10-24 22:18:38,True,2017-10-24 22:18:38,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/20,https://github.com/kubernetes/utils/pull/20,apelisse,Create temp package to handle temporary directories,,['pwittrock'],1,2017-10-24 18:35:45,2017-10-24 21:20:48,2017-10-24 21:20:48,True,2017-10-24 21:20:48,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/21,https://github.com/kubernetes/utils/pull/21,apelisse,temptest: Add FakeDir example,,['pwittrock'],1,2017-10-24 21:24:32,2017-10-25 03:15:36,2017-10-25 03:15:36,True,2017-10-25 03:15:36,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/22,https://github.com/kubernetes/utils/pull/22,apelisse,README: Add temp in list of libraries,,['pwittrock'],1,2017-10-24 21:27:13,2017-10-26 22:08:38,2017-10-26 22:08:38,True,2017-10-26 22:08:38,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/23,https://github.com/kubernetes/utils/pull/23,apelisse,exec: Add example,,['pwittrock'],1,2017-10-24 22:41:26,2017-10-26 22:09:07,2017-10-26 22:09:07,True,2017-10-26 22:09:07,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/24,https://github.com/kubernetes/utils/pull/24,dashpole,Add clock from apimachinery ,"My end goal is to use the clock in cAdvisor.  Because of the way that staging works in kubernetes/kubernetes, the import loop kubernetes/apimachinery -> google/cadvisor -> kubernetes/kubernetes is not allowed.
I would copy the clock code to cadvisor, but cadvisor is currently google-owned, and I dont believe copying it from CNCF to google is permitted.

cc @tallclair ","['apelisse', 'mengqiy', 'tallclair']",8,2017-11-21 19:10:32,2017-11-21 22:20:36,2017-11-21 23:15:14,True,2017-11-21 22:20:36,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/25,https://github.com/kubernetes/utils/pull/25,dashpole,Split real and fake clocks,"All testing was for the fake clock, so that file is now in the testing sub-dir

/assign @apelisse 
cc @thockin ",['apelisse'],1,2017-11-21 22:53:30,2017-11-22 00:09:34,2017-11-22 16:56:42,True,2017-11-22 00:09:34,apelisse,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/26,https://github.com/kubernetes/utils/pull/26,anfernee,exec supports context (timeout/cancel),"- Add function CommandContext as os/exec does
- Clean up the code a little bit to make it more readable
- Fix panic when calling Stop before Start

Fixes: https://github.com/kubernetes/kubernetes/issues/5644",[],1,2017-11-29 00:23:10,2017-11-29 01:42:09,2017-11-29 18:24:23,False,,,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/27,https://github.com/kubernetes/utils/pull/27,anfernee,Implement CommandContext in exec util,"With CommandContext, it supports add timeout to a command execution or
cancel it.

Fixes: kubernetes/kubernetes#5644",[],1,2017-11-29 01:27:11,2017-12-01 16:31:06,2017-12-01 16:31:06,True,2017-12-01 16:31:06,thockin,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/28,https://github.com/kubernetes/utils/pull/28,anfernee,Fix panic calling stop before run,,['thockin'],1,2017-11-29 01:37:56,2017-11-29 06:12:32,2017-11-29 21:45:06,True,2017-11-29 06:12:32,thockin,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/29,https://github.com/kubernetes/utils/pull/29,anfernee,Fix cmd.Run() which should handle error but didn't,,['thockin'],1,2017-11-29 18:41:25,2017-11-29 18:51:21,2017-11-29 18:55:28,True,2017-11-29 18:51:21,thockin,unknown,,closed
utils,https://api.github.com/repos/kubernetes/utils/pulls/31,https://github.com/kubernetes/utils/pull/31,anfernee,FakeExec implements CommendContext in exec.Exec,Fixes #30,"['apelisse', 'mengqiy']",1,2017-12-13 19:18:41,2017-12-19 16:29:54,2017-12-20 19:41:58,True,2017-12-19 16:29:54,apelisse,unknown,,closed
