name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
apimachinery,deads2k,https://github.com/kubernetes/apimachinery/pull/1,https://api.github.com/repos/kubernetes/apimachinery/issues/1,add sync script,First attempt at a script to automatically sync this repo.  Will test it once I get a practice commit from https://github.com/kubernetes/kubernetes/pull/39747,closed,True,2017-01-11 19:26:01,2017-01-11 20:50:15
apimachinery,deads2k,https://github.com/kubernetes/apimachinery/pull/2,https://api.github.com/repos/kubernetes/apimachinery/issues/2,"Kube sync scripts, plus the output they produce","Here's an attempt at a basic kube sync script and the output it produces.  Alternatives welcome, but I'd rather not linger too long on it.

@sttts @lavalamp @smarterclayton ",closed,True,2017-01-11 20:49:02,2017-01-11 21:51:36
apimachinery,deads2k,https://github.com/kubernetes/apimachinery/pull/3,https://api.github.com/repos/kubernetes/apimachinery/issues/3,Update the sync script,"I got an error when the script attempted to cherry-pick a merge commit. I'm not sure if I need to or not.

@sttts @smarterclayton ",closed,True,2017-01-12 13:44:38,2017-01-13 21:24:34
apimachinery,fate-grand-order,https://github.com/kubernetes/apimachinery/pull/4,https://api.github.com/repos/kubernetes/apimachinery/issues/4,handle err in  converter_test.go,,closed,True,2017-01-17 06:31:37,2017-02-15 02:41:54
apimachinery,mqliang,https://github.com/kubernetes/apimachinery/issues/5,https://api.github.com/repos/kubernetes/apimachinery/issues/5,openAPI import issue,,closed,False,2017-02-15 05:45:48,2017-02-15 05:47:08
apimachinery,r2d4,https://github.com/kubernetes/apimachinery/issues/6,https://api.github.com/repos/kubernetes/apimachinery/issues/6,Tag corresponding kubernetes releases,"I understand the `sync-from-kubernetes.sh` can match up your client library to the kubernetes version, but for vendor tools like godeps, this tracks the commit checksum, so its not reproducible when rewriting the history.  

I'm not sure how most users are using this library, but it would be great to be able to checkout k8s tags directly here instead of using the sync script.",closed,False,2017-02-15 19:12:49,2017-06-28 21:47:41
apimachinery,emosbaugh,https://github.com/kubernetes/apimachinery/pull/7,https://api.github.com/repos/kubernetes/apimachinery/issues/7,YAMLDecoder.Read returns incorrect number of read bytes when doc fits within buffer,,closed,True,2017-02-28 01:47:16,2017-09-25 18:40:45
apimachinery,caesarxuchao,https://github.com/kubernetes/apimachinery/pull/8,https://api.github.com/repos/kubernetes/apimachinery/issues/8,[Do not merge] [PoC] Changes generated by publish script,"Generated by https://github.com/kubernetes/test-infra/pull/2077

@sttts @deads2k @lavalamp 
",closed,True,2017-03-01 07:59:11,2017-03-08 18:21:55
apimachinery,caesarxuchao,https://github.com/kubernetes/apimachinery/pull/9,https://api.github.com/repos/kubernetes/apimachinery/issues/9,Changes generated by publish script,"In the first commit I manually removed the filter-branch-sha. I also rewrote kubernets-sha: it used to records the last commit of k8s.io/kubernetes when the sync script is called, now it records the last commit of k8s.io/kubernetes ***that affects staging/src/k8s.io/apimachinery*** when the sync script is called.

Ref:
https://github.com/kubernetes/client-go/pull/140 is the changes generated for client-go in the same run of the scripts.

cc @sttts ",closed,True,2017-03-08 21:26:10,2017-03-20 17:12:07
apimachinery,caesarxuchao,https://github.com/kubernetes/apimachinery/pull/10,https://api.github.com/repos/kubernetes/apimachinery/issues/10,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",closed,True,2017-03-18 20:04:20,2017-03-20 20:08:53
apimachinery,caesarxuchao,https://github.com/kubernetes/apimachinery/pull/11,https://api.github.com/repos/kubernetes/apimachinery/issues/11,Round 2: sync: resync vendor folder,"Last round of PRs failed to update vendor/. This one fixed it.

@deads2k @sttts 
PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",closed,True,2017-03-20 22:26:45,2017-03-21 21:09:48
apimachinery,piosz,https://github.com/kubernetes/apimachinery/pull/12,https://api.github.com/repos/kubernetes/apimachinery/issues/12,Remove fluentd-ds-ready label,https://github.com/kubernetes/kubernetes/issues/42840,closed,True,2017-03-23 10:53:26,2017-03-27 08:18:10
apimachinery,emaildanwilson,https://github.com/kubernetes/apimachinery/issues/13,https://api.github.com/repos/kubernetes/apimachinery/issues/13,Support for Float comparisons in selector.go for Gt Lt operations,"It would be nice to provide support for label selector comparisons of major version numbers and other Float values possibly for other use cases.
```
[{""key"": ""version"", ""operator"": ""Gt"", ""values"": [""1.5""]}]
```
The current [NewRequirement](https://github.com/kubernetes/apimachinery/blob/master/pkg/labels/selector.go#L136) and [Matches](https://github.com/kubernetes/apimachinery/blob/master/pkg/labels/selector.go#L208) function only support comparison of Integers. 

Any concern with updating this to convert and compare Floats instead of Integers?
Would it need to support both and only convert and compare Floats if a decimal character is found or is that overkill?",closed,False,2017-04-25 22:28:36,2017-04-25 23:08:25
apimachinery,jamiehannaford,https://github.com/kubernetes/apimachinery/pull/14,https://api.github.com/repos/kubernetes/apimachinery/issues/14,Use dedicated Unix types for user and group,"This PR alters some validation functions to use the dedicated types for Unix Group/User IDs. 

Relates to https://github.com/kubernetes/kubernetes/issues/38120 and https://github.com/kubernetes/kubernetes/pull/44714. API change has been approved in former thread.",closed,True,2017-04-26 09:46:04,2017-04-26 09:56:18
apimachinery,magnushiie,https://github.com/kubernetes/apimachinery/pull/15,https://api.github.com/repos/kubernetes/apimachinery/issues/15,Fix IntOrStr JSON Schema type,Sum types can be expressed in JSON schema either via the type array or with the anyOf construct. This change chooses the former to give the type the correct schema.,closed,True,2017-06-26 14:26:45,2017-06-27 15:18:20
apimachinery,kargakis,https://github.com/kubernetes/apimachinery/issues/16,https://api.github.com/repos/kubernetes/apimachinery/issues/16,(*IntOrString) IntValue() always returns zero when IntOrString is a percentage,"https://github.com/kubernetes/apimachinery/blob/21807b270ec15d19215659a5caa08b17f66d6f44/pkg/util/intstr/intstr.go#L104-L107
https://play.golang.org/p/YQMgFOpopM

There is no added value by that conversion, even worse it can be misused.

@kubernetes/sig-api-machinery-bugs ",closed,False,2017-07-24 10:11:58,2017-07-24 12:32:08
