name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
kube-deploy,mikedanese,https://github.com/kubernetes/kube-deploy/pull/1,https://api.github.com/repos/kubernetes/kube-deploy/issues/1,Move ansible to kube-deploy,,closed,True,2016-03-29 17:30:28,2016-05-26 20:40:55
kube-deploy,mikedanese,https://github.com/kubernetes/kube-deploy/pull/2,https://api.github.com/repos/kubernetes/kube-deploy/issues/2,move kube_addon_manager to new home,,closed,True,2016-03-29 18:04:23,2016-03-29 18:16:57
kube-deploy,mikedanese,https://github.com/kubernetes/kube-deploy/pull/3,https://api.github.com/repos/kubernetes/kube-deploy/issues/3,package the addon manager in a pod,,closed,True,2016-03-29 20:12:08,2016-05-06 14:55:27
kube-deploy,danehans,https://github.com/kubernetes/kube-deploy/issues/4,https://api.github.com/repos/kubernetes/kube-deploy/issues/4,Project Description,"I'm confused by the project description. Will addon-manager be pulled from k8s and live here? Are there bigger plans for this project?
",closed,False,2016-04-01 18:43:35,2017-11-01 22:46:09
kube-deploy,justinsb,https://github.com/kubernetes/kube-deploy/pull/5,https://api.github.com/repos/kubernetes/kube-deploy/issues/5,WIP: simple configuration & metaconfiguration tool,"@mikedanese here is an example of a much simpler way to specify configuration.  We have a simple go installer program, that walks a directory tree, and interprets that as task (ala Salt or Ansible).  We have tasks that are a little smarter / more specialized for our use case than Salt or Ansible, such that most of the complexity here goes away.

So here we have a zero-dependency installer, with a very readable (IMO) installation specification.  There are obviously still issues to resolve, e.g. the generation of options is funky, but I think we could use jsonnet for that.

The nice thing here is that this ""filesystem tree as specification"" is simple enough that it would be trivial to transform this into salt, ansible, or whatever people want.

But, at the same time, by having a simple golang tool that works without external dependencies we can package this however we want - in a container, running directly on the host, running over SSH/SFTP etc.
",closed,True,2016-04-01 19:31:11,2016-05-17 16:53:12
kube-deploy,justinsb,https://github.com/kubernetes/kube-deploy/issues/6,https://api.github.com/repos/kubernetes/kube-deploy/issues/6,Proposal for kube-up v1 -> kube-up v2 strategy,"Straw-man proposal for how we should get from kube-up v1 to kube-up v2:
- [ ] Create v2 of the create-instances-on-cloud-side (i.e. the bash side of kube-up).  We have a growing list of requirements for it.  We also have users that would use it today, to do tasks that the current kube-up tool is bad at.  (e.g. adding more nodes of a different instance type to an existing cluster)  My proposal is that we use something like https://github.com/kopeio/kope/tree/gce  We can start getting this tested right away, with 1.2.  Some people have already used the kope tool to migrate from 1.1 -> 1.2
- [ ] Create an integration test for upgrade 1.2 -> 1.3 using the above tool (and the other tools we create here...)
- [ ] We should export a configuration from the above tool, to terraform.  Terraform seems the most popular such tool.  This would demonstrate that while we have our own easy to use tool, we can in fact work with the other tools people want and are not forcing anyone to use our tool.
- [ ] Create the node-side v2 (i.e. the Salt side of kube-up)  I think we should use something like #5.  I suggest we start with it using the v1.2 configuration file format (kube_env.yaml).
- [ ] Export a configuration from the node-side v2 to cloud-init.  Just like we did with the bash-replacement side, this will verify that our salt-replacement is not a lock-in.
- [ ] Define a v2 configuration format, that makes more use of ConfigMap, is more consistent, etc.  Change both the front-end and back-end tool to support it, but we need an upgrade story, so likely we'll need to support both formats in 1.3.
- [ ] Use our new tooling to make HA master work.  Ideally through k8s-on-k8s, but if we can't get there HA master will still be a good test that our new system is powerful enough.
",closed,False,2016-04-05 15:09:54,2017-11-01 22:52:25
kube-deploy,justinsb,https://github.com/kubernetes/kube-deploy/pull/7,https://api.github.com/repos/kubernetes/kube-deploy/issues/7,Add imagebuilder tool,"(A version of) this tool is used to build the AWS image that is currently the default image used in kube-up.  I previously proposed this into kubernetes/contrib as https://github.com/kubernetes/contrib/pull/486, but this seems a better place for it.

I extended the tool to support GCE images also.  We don't currently have a public Debian Jessie image on GCE that has the cgroups memory controller enabled (this was the root problem that required the custom image in the first place on AWS as well).

Most of this PR is code to bring up an instance, from which we can then run the bootstrap-vz tool.  I would like to replace that code with the code that will be in the cloudup tool to bring up clouds.  But - for now - getting cloudup & nodeup depends on a working image, so I think this sequence makes sense...

cc @zmerlynn 
",closed,True,2016-04-19 16:44:59,2016-04-28 02:57:18
kube-deploy,justinsb,https://github.com/kubernetes/kube-deploy/pull/8,https://api.github.com/repos/kubernetes/kube-deploy/issues/8,"cloudup & nodeup: direct, terraform, cloud-init","A working cloudup & nodeup (for GCE)!

To try, just edit `state/kubernetes.yaml` and then run

```
go install k8s.io/kube-deploy/fastdeploy... &&  ~/k8s/bin/cloudup --v=8
```

You should have a cluster on GCE.  (do `--dryrun` first to see what it will do); also you will need to build an image using my other PR.

That is ""direct"" mode, where cloudup runs directly against the APIs, and uses nodeup which a golang tool that applies the configuration directly.

But not everyone will want to use our own tools.  So we can also build configurations for other systems.  Currently terraform is implemented:

```
go install k8s.io/kube-deploy/fastdeploy... &&  ~/k8s/bin/cloudup --v=8 --target=terraform > tf/k8s.tf.json
```

Then do a `terraform apply` and the cluster will come up.

We can pull the same trick for nodeup.  The `nodeup` program itself has a `--target` flag, but normally you won't want to do that.  Instead, cloudup embeds nodeup, and you can specify `NodeInit: cloudinit` in the `state/kubernetes.yaml` directory.  I recommend doing this with --target=terraform so you can easily see what happens.  Sadly this is currently untested, because the GCE jessie images don't use cloud-init.
",closed,True,2016-04-23 19:18:07,2016-05-06 23:55:50
kube-deploy,mikedanese,https://github.com/kubernetes/kube-deploy/pull/9,https://api.github.com/repos/kubernetes/kube-deploy/issues/9,a minimal deployment using terraform and ansible,"Explicit goals:
- create a cluster deployment that is portable across many deployment targets 
- create a cluster deployment this is transparent and can be used as a reference when creating deployments to new targets
- allow for an easy and reliable first experience with running multinode kubernetes in the cloud

Concretely this means:
- minimize bash in lieu of declaritive configuration
- minimize host configuration, kubelet only on nodes
- minimize lines of code/config
- gce is first target then extend to aws/azure

Explicit non-goals
- production ready deployment

TODO
- documentation
- well define configuration format
- nodes
",closed,True,2016-04-26 19:46:41,2016-05-13 21:50:42
kube-deploy,luxas,https://github.com/kubernetes/kube-deploy/issues/10,https://api.github.com/repos/kubernetes/kube-deploy/issues/10,Move docker-multinode to this project,"Ref: kubernetes/kubernetes#21646

@mikedanese @fgrzadkowski @vishh @cheld @janetkuo @justinsb
",closed,False,2016-05-01 13:43:16,2016-05-24 14:46:08
