name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/72,https://github.com/kubernetes/kubeadm/pull/72,luxas,WIP: Move kubeadm over here,"This work/PR isn't done before we've merged all pending PRs into kubernetes core, but showing the progress here

@kubernetes/sig-cluster-lifecycle ","['mikedanese', 'roberthbailey']",103,2016-11-28 19:18:37,2017-04-06 14:04:58,2017-04-06 14:04:59,False,,,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/81,https://github.com/kubernetes/kubeadm/pull/81,luxas,Move the CHANGELOG over here like all the other k8s repos,ref: #67 ,['mikedanese'],1,2016-12-02 07:14:04,2016-12-07 21:45:18,2016-12-07 21:45:19,True,2016-12-07 21:45:18,mikedanese,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/88,https://github.com/kubernetes/kubeadm/pull/88,luxas,Add changelog items for the third version of kubeadm,"@mikedanese PTAL and merge, here are the release notes I aggregated for the third stable version of kubeadm",['mikedanese'],1,2016-12-09 21:12:28,2016-12-12 21:12:21,2016-12-12 21:12:21,True,2016-12-12 21:12:21,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/100,https://github.com/kubernetes/kubeadm/pull/100,luxas,WIP: Initial kubeadm api proposal,"This is far from done, but posting progress on my work on the kubeadm API here.

This is kind of a kubeadm-to-beta design doc which we have to discuss in detail.
I'll improve it as we go.

cc @jbeda @mikedanese @dgoodwin @errordeveloper @lukemarsden @dgoodwin @kad @roberthbailey",['mikedanese'],5,2017-01-02 14:33:32,2017-02-21 19:19:09,2017-02-21 19:19:09,False,,,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/155,https://github.com/kubernetes/kubeadm/pull/155,luxas,Update the README.md,"Add a small note about the roadmap, link to slack and the weekly meetings

@lukemarsden @roberthbailey @mikedanese @errordeveloper @pires @dmmcquay @jbeda",[],1,2017-02-09 15:20:38,2017-02-09 16:37:45,2017-02-09 16:37:45,True,2017-02-09 16:37:45,pires,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/156,https://github.com/kubernetes/kubeadm/pull/156,luxas,Add a doc about the kubeadm design and phases implementation,"This document describes the functions of kubeadm and how the phases should be splitted up

@lukemarsden @roberthbailey @mikedanese @errordeveloper @pires @dmmcquay @jbeda",[],1,2017-02-09 15:21:15,2017-06-13 18:08:18,2017-06-13 20:39:37,True,2017-06-13 18:08:18,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/180,https://github.com/kubernetes/kubeadm/pull/180,dgoodwin,Migrate bootkube checkpointer image.,"This is just a raw copy of the checkpointer from https://github.com/kubernetes-incubator/bootkube/tree/master/cmd/checkpoint, with preserved git history.

I am proposing we first merge this in as is to make sure we get the history into the repo cleanly, then go to work on setting up the image build process.

CC @luxas @aaronlevy ",[],24,2017-02-23 19:42:48,2017-02-28 17:41:04,2017-02-28 17:41:04,False,,,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/188,https://github.com/kubernetes/kubeadm/pull/188,etoews,Add a GitHub issue template,"Modeled after https://github.com/kubernetes/kubernetes/blob/master/.github/ISSUE_TEMPLATE.md

",[],1,2017-03-01 23:23:23,2017-03-09 20:20:58,2017-03-09 20:20:58,True,2017-03-09 20:20:58,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/236,https://github.com/kubernetes/kubeadm/pull/236,ivan4th,Add proposal for local-cluster tool,"The proposal is mostly based on the current version of
[kubeadm-dind-cluster](https://github.com/Mirantis/kubeadm-dind-cluster).

The idea was previously discussed on sig-cluster-lifecycle (meetings, slack channel & during KubeCon).

The name of the tool can be changed if necessary if it's considered too confusing (`local-cluster` can replace `hack/local-up-cluster.sh` for many use cases but it's quite different)",[],1,2017-04-11 15:51:21,2017-05-17 14:08:31,2017-05-17 14:08:31,False,,,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/270,https://github.com/kubernetes/kubeadm/pull/270,klizhentas,add e2e hacking guide,,['pipejakob'],1,2017-05-16 19:35:20,2018-01-22 17:42:20,2018-01-22 17:42:20,False,,,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/286,https://github.com/kubernetes/kubeadm/pull/286,jamiehannaford,Add triage doc,"Fixes #251. 

@luxas suggested this might also be submitted to kubernetes/community. Before doing so, do folks think that 

1. this doc can be abstracted,
2. it's relevant enough to other SIGs?",[],1,2017-06-02 11:26:59,2017-06-15 07:03:19,2017-06-15 07:03:19,True,2017-06-15 07:03:19,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/316,https://github.com/kubernetes/kubeadm/pull/316,jzhoucliqr,fix typo,fix typo in the design doc.,['pipejakob'],1,2017-06-22 17:45:40,2017-06-22 18:09:42,2017-06-22 18:09:42,True,2017-06-22 18:09:42,pipejakob,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/382,https://github.com/kubernetes/kubeadm/pull/382,fisherxu,Fix typo in docs/design/design.md,Fix the `pull` in docs/design/design.md,"['jbeda', 'errordeveloper', 'mikedanese', 'luxas']",1,2017-08-12 03:44:03,2017-08-14 12:07:41,2017-08-14 12:07:41,True,2017-08-14 12:07:41,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/383,https://github.com/kubernetes/kubeadm/pull/383,mbssaiakhil,Fix typo in Events Code of Conduct,,['luxas'],1,2017-08-13 10:33:58,2017-08-14 12:06:57,2017-08-14 12:06:57,True,2017-08-14 12:06:57,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/391,https://github.com/kubernetes/kubeadm/pull/391,mbssaiakhil,Remove repo-specific Code of Conduct file,Made the last sentence uniform wrt other sentences,['pipejakob'],1,2017-08-15 13:10:57,2017-09-01 01:06:16,2017-09-01 13:59:55,True,2017-09-01 01:06:16,pipejakob,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/423,https://github.com/kubernetes/kubeadm/pull/423,luxas,Add a document with the processes of kubeadm development,"cc @kubernetes/sig-cluster-lifecycle-pr-reviews @kubernetes/kubernetes-release-managers 

Fixes: #252 ",['roberthbailey'],1,2017-09-05 18:04:31,2017-09-06 18:07:46,2017-09-07 13:23:08,True,2017-09-06 18:07:46,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/424,https://github.com/kubernetes/kubeadm/pull/424,fabriziopandini,Update design doc with 1.8 features/changes,"**What this PR does / why we need it:**
Update design doc with 1.8 features/changes

**Special notes for your reviewer:**
Still in progress, but shared to start gathering feedbacks/contributions
Below task for this PR; please let me know if something is missing:

kubeadm first level to be documented / reviewed for 1.8 
- [x] init > in progress; see details below
- [x] join > to do; see details below 
- [x] Upgrade > not needed in this document, not at least initially. Upgrades will have its own doc
- [x] Config > quoted when talking about the upload config phase
- [x] Token > quoted when talking about token/csr
- [x] Alpha > quoted when talking about phases
- [x] Reset > scaffoholding/not relevant for design doc
- [x] Version > scaffoholding/not relevant for design doc
- [x] Completion > scaffoholding/not relevant for design doc

kubeadm init phases to be documented / reviewed for 1.8
- [x] PreFlight
- [x] cert
- [x] kubeconfig
- [x] controlplanephase
- [x] etcd
- [x] wait
- [x] UploadConfiguration
- [x] MarkMaster
- [x] BootstrapTokens  
- [x] Addons
- [x] Self hosting

kubeadm join phases to be documented / reviewed for 1.8
- [x] Discovery
- [x] TLS Bootstrap 

Others topics to be documented / reviewed for 1.8 ...
- [x] UsingExternalCA
- [x] dry-run
- [x] feature-gates",['luxas'],1,2017-09-05 22:47:50,2017-09-13 20:14:26,2017-10-06 21:26:14,True,2017-09-13 20:14:26,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/463,https://github.com/kubernetes/kubeadm/pull/463,mbertschler,fix typo,s/kuubeadmin/kubeadmin,['luxas'],1,2017-09-24 09:06:23,2017-09-25 14:35:26,2017-09-25 14:35:26,True,2017-09-25 14:35:26,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/478,https://github.com/kubernetes/kubeadm/pull/478,fatsheep9146,Fix broken links for the design doc of bootstrap discovery.,"Fix broken links for the design doc of bootstrap discovery in design doc of kubeadm v1.7 v1.8

Signed-off-by: Ziqi Zhao <zhaoziqi@qiniu.com>",['luxas'],1,2017-10-03 09:21:51,2017-10-27 20:23:25,2017-10-27 20:23:26,True,2017-10-27 20:23:25,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/499,https://github.com/kubernetes/kubeadm/pull/499,jamiehannaford,Add CoC,Just realised we don't have a Code of Conduct doc for this repo. Adding so our community expectations are explicit ✨ ,['luxas'],1,2017-10-17 13:38:35,2017-10-27 16:24:13,2017-10-27 16:24:13,True,2017-10-27 16:24:13,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/500,https://github.com/kubernetes/kubeadm/pull/500,zouyee,fix borken link,update API Aggregation link,['luxas'],1,2017-10-18 02:01:02,2017-10-27 20:40:31,2017-10-27 20:40:48,True,2017-10-27 20:40:31,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/515,https://github.com/kubernetes/kubeadm/pull/515,spiffxp,Rename OWNERS assignees: to approvers:,"They are effectively the same, assignees is deprecated

ref: kubernetes/test-infra#3851",['luxas'],1,2017-10-31 23:34:40,2017-11-01 13:26:57,2017-11-01 15:24:00,True,2017-11-01 13:26:57,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/516,https://github.com/kubernetes/kubeadm/pull/516,jamiehannaford,Add script for testing pinned releases,"Fixes #264. Based on @krzyzacy's feedback, we should create a basic bash script that verifies there are matching kubeadm debs for kubernetes releases.

The next steps after this are:

1. add new prow jobs to test-infra that run this script from this repo
2. add other linux distros (using `yum list` or something)

Running this on ubuntu, this is the output:

```
Skipped these versions:
 v1.5.8
These versions do not have matching debs:
 v1.6.12 v1.7.9 v1.6.10 v1.6.9 v1.6.8
```

Should we have debs for those releases? 

/cc @luxas @timothysc @krzyzacy ",['luxas'],1,2017-11-02 12:02:02,2017-11-10 14:21:52,2017-11-10 14:21:52,True,2017-11-10 14:21:52,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/559,https://github.com/kubernetes/kubeadm/pull/559,jamiehannaford,Make script executable,"Fixes https://github.com/kubernetes/kubernetes/issues/56092

/cc @luxas ",['luxas'],1,2017-11-21 11:44:19,2017-11-21 22:31:03,2017-11-21 22:31:03,True,2017-11-21 22:31:03,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/561,https://github.com/kubernetes/kubeadm/pull/561,wackxu,remove out of data changelog,"fix https://github.com/kubernetes/kubeadm/issues/560

/assign @luxas ",['luxas'],1,2017-11-22 02:33:02,2017-11-22 20:23:44,2017-11-22 20:23:44,True,2017-11-22 20:23:43,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/562,https://github.com/kubernetes/kubeadm/pull/562,stewart-yu,fix typo in docs/design/design_v1.8.md,Fix some misspell.,['luxas'],1,2017-11-22 05:56:21,2017-11-22 18:10:23,2017-11-24 01:32:55,True,2017-11-22 18:10:23,luxas,unknown,,closed
kubeadm,https://api.github.com/repos/kubernetes/kubeadm/pulls/568,https://github.com/kubernetes/kubeadm/pull/568,fabriziopandini,Create design doc v1.9 placeholder,"Create the placeholder for design doc v1.9.

By having this placeholder already in place, it will be easier to spot differences/review the upcoming PR with the changes to this document",['luxas'],1,2017-11-23 15:49:45,2017-11-23 16:38:23,2017-11-23 17:08:36,True,2017-11-23 16:38:23,luxas,unknown,,closed
