name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/1,https://github.com/kubernetes/k8s.io/pull/1,thockin,Add reviewable.k8s.io,"This is our configuration for running Reviewable on Kubernetes.
",['rmmh'],1,2016-08-22 23:04:08,2016-08-22 23:13:08,2016-08-22 23:13:08,True,2016-08-22 23:13:08,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/2,https://github.com/kubernetes/k8s.io/pull/2,rmmh,Add k8s.io Nginx configuration.,"README.md sketches one way to do testing. If we don't want to require a separate cluster for testing, the Makefile should be modified to use namespaces.
",['thockin'],2,2016-08-22 23:47:30,2016-08-23 00:25:19,2016-08-23 21:08:02,True,2016-08-23 00:25:19,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/3,https://github.com/kubernetes/k8s.io/pull/3,thockin,Remove some over-precise leftovers,"Don't need namespace in every file - assume it is in the kubectl context.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/3)

<!-- Reviewable:end -->
",['rmmh'],1,2016-08-23 00:09:36,2016-08-23 00:30:05,2016-08-23 00:31:14,True,2016-08-23 00:30:05,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/4,https://github.com/kubernetes/k8s.io/pull/4,thockin,"Sync k8s.io files to current site, prep canary","This launches the k8s.io site in a canary namespace with a canary IP and can
run the test against it.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/4)

<!-- Reviewable:end -->
",['rmmh'],1,2016-08-23 04:28:48,2016-08-23 21:03:50,2016-08-23 21:03:51,True,2016-08-23 21:03:50,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/6,https://github.com/kubernetes/k8s.io/pull/6,thockin,Add an IP for the prod service LB,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/6)

<!-- Reviewable:end -->
",['rmmh'],1,2016-08-23 21:04:57,2016-08-23 21:17:42,2016-08-23 21:17:42,True,2016-08-23 21:17:42,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/7,https://github.com/kubernetes/k8s.io/pull/7,rmmh,Make ci-test.k8s.io/e2e/123 redirect to Gubernator.,"One potential problem: deploying a new configmap changes the files in the running containers, but doesn't restart them _or_ force nginx to reload. The deployment should run `nginx -s reload` on the running pods to trigger a config reload.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/7)

<!-- Reviewable:end -->
",[],2,2016-08-23 21:39:43,2016-08-23 21:49:27,2016-08-23 21:49:27,True,2016-08-23 21:49:27,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/8,https://github.com/kubernetes/k8s.io/pull/8,caesarxuchao,Add client-go redirect,"@thockin @lavalamp @krousey 

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/8)

<!-- Reviewable:end -->
",['thockin'],1,2016-08-25 21:21:22,2016-08-25 23:08:03,2016-08-25 23:08:03,True,2016-08-25 23:08:03,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/9,https://github.com/kubernetes/k8s.io/pull/9,thockin,bump reviewable to 1168.1901,"Need to find a way to canary this, but I already pushed it :)

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/9)

<!-- Reviewable:end -->
",['krousey'],1,2016-08-26 23:12:57,2016-08-26 23:13:09,2016-08-26 23:13:09,True,2016-08-26 23:13:09,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/10,https://github.com/kubernetes/k8s.io/pull/10,lavalamp,add gengo,"<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/10)

<!-- Reviewable:end -->
",['thockin'],1,2016-08-30 02:49:53,2016-08-30 06:23:34,2016-08-30 06:25:12,True,2016-08-30 06:23:34,thockin,unknown,,closed
k8s.io,https://api.github.com/repos/kubernetes/k8s.io/pulls/11,https://github.com/kubernetes/k8s.io/pull/11,thockin,Bump reviewable to 1193.1907,"Fix: balance GitHub calls among other admins for connected repositories when
API quota gets low

Fix: guesstimate GitHub burst quota usage and postpone or reassign tasks that
might trigger an abuse warning

Fix: set GitHub request timeouts based on remaining task lease time

Fix: don't query /rate_limit on GitHub Enterprise instances

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/k8s.io/11)

<!-- Reviewable:end -->
",['krousey'],1,2016-08-31 16:32:52,2016-08-31 16:32:57,2016-08-31 16:32:57,True,2016-08-31 16:32:57,thockin,unknown,,closed
