name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/1,https://github.com/kubernetes/apiserver/pull/1,fate-grand-order,delete result in returns of NamespaceFrom(),,[],1,2017-01-17 07:03:07,2017-01-19 15:53:35,2017-01-19 15:53:35,False,,,dirty,False,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/4,https://github.com/kubernetes/apiserver/pull/4,caesarxuchao,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",[],27,2017-03-18 20:05:48,2017-03-20 20:09:03,2017-03-20 20:09:03,True,2017-03-20 20:09:02,deads2k,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/5,https://github.com/kubernetes/apiserver/pull/5,caesarxuchao,Round2: Generated by scripts,"Last round of PRs failed to update vendor/. This one fixed it.

@deads2k @sttts 

PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",[],2,2017-03-20 22:17:46,2017-03-21 21:10:37,2017-03-21 21:10:39,True,2017-03-21 21:10:37,deads2k,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/6,https://github.com/kubernetes/apiserver/pull/6,caesarxuchao,[Do Not Merge] Release 1.6,"Generated by the bot.

The release-3.0 of client-go, and release-1.6 branches of apimachinery, apiserver, kube-aggregator, and sample-apiserver are tracking relesae-1.6 of kubernetes. These branches might depend on each other, but not on commit in the master branch.

The PR batch:
https://github.com/kubernetes/sample-apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/6
https://github.com/kubernetes/apiserver/pull/6
https://github.com/kubernetes/client-go/pull/160
no change to the release 1.6 branch of apimachinery

cc @deads2k @sttts ",[],4,2017-03-30 03:05:18,2017-03-31 19:41:33,2017-03-31 19:41:33,False,,,dirty,False,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/8,https://github.com/kubernetes/apiserver/pull/8,MHBauer,update link for kube-aggregator,"README is not present in staging, so I guessed to update it here directly.

 - kube-aggregator was split out into a separate top-level repo.
 - my editor added a newline to the end of the file, so I reformatted the paragaph to fit in 80 columns.",[],1,2017-05-01 22:49:35,2017-05-02 12:08:51,2017-05-02 12:08:51,True,2017-05-02 12:08:51,deads2k,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/11,https://github.com/kubernetes/apiserver/pull/11,mml,Log all flag values at startup.,"Should help debugging.
Specifically for kubernetes/kubernetes#45706",[],1,2017-05-22 19:49:11,2017-06-01 21:33:11,2017-06-01 21:33:11,False,,,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/13,https://github.com/kubernetes/apiserver/pull/13,wu8685,bugfix: #12 returning nil TTL will keep ttl same value in etcd3,fix #12 ,[],1,2017-05-23 07:05:08,2018-02-23 02:33:50,2018-02-23 02:33:50,False,,,dirty,False,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/14,https://github.com/kubernetes/apiserver/pull/14,tpetr,Fix typo,comsumers --> consumers,[],1,2017-06-12 19:48:53,2017-06-13 13:03:56,2017-06-13 23:20:57,True,2017-06-13 13:03:56,deads2k,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/18,https://github.com/kubernetes/apiserver/pull/18,mbssaiakhil,Fix Typo in apiserver README,,[],1,2017-08-13 11:19:43,2018-01-07 11:06:40,2018-01-07 11:06:40,False,,,unknown,,closed
apiserver,https://api.github.com/repos/kubernetes/apiserver/pulls/19,https://github.com/kubernetes/apiserver/pull/19,jim-minter,ProducesObject should only update the returned API object resource documentation,"This should be a no-op for Kubernetes (the only rest.Storage that specifies ProducesObject() is pod logs, on GET), but will allow issues such as https://github.com/openshift/origin/issues/8345 to be resolved (where generated API documentation is currently incorrect due to the asymmetry between the object kind sent and received by the API)",[],1,2017-09-05 20:31:26,2017-09-05 20:32:43,2017-09-05 20:32:43,False,,,unknown,,closed
