name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/1,https://github.com/kubernetes/kubectl/pull/1,pwittrock,Initial repo boilerplate,,['monopole'],1,2017-03-30 20:27:45,2017-03-30 20:53:29,2017-03-30 20:53:30,True,2017-03-30 20:53:29,monopole,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/13,https://github.com/kubernetes/kubectl/pull/13,pwittrock,Add issue template for kubectl repo,,['mengqiy'],1,2017-05-18 17:07:49,2017-05-18 17:39:37,2017-05-18 17:39:38,True,2017-05-18 17:39:37,mengqiy,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/64,https://github.com/kubernetes/kubectl/pull/64,mengqiy,add types for descriptor and manifest,"We finally agreed to land on kubectl repo.
Moved from main repo PR: https://github.com/kubernetes/kubernetes/pull/52570.
A lot of discussion there.
",['bgrant0607'],1,2017-09-28 14:26:14,2017-09-28 15:05:29,2017-09-28 22:22:25,True,2017-09-28 15:05:29,bgrant0607,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/65,https://github.com/kubernetes/kubectl/pull/65,monopole,start kexpand,"A place to hang code.

Starting with `kexpand` since `expand` is already taken on linux systems, and since it's
unique enough to change with `find ./ | xargs sed -i 's/kexpand/foo/'`
",['bgrant0607'],1,2017-09-28 19:16:20,2017-09-28 21:25:00,2018-04-06 21:27:13,True,2017-09-28 21:25:00,bgrant0607,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/82,https://github.com/kubernetes/kubectl/pull/82,pwittrock,Write guide for maintainers sustaining engineering tasks.,,"['fabianofranz', 'shiywang', 'seans3']",1,2017-10-18 16:56:26,2017-10-18 19:22:13,2017-10-18 19:22:13,True,2017-10-18 19:22:13,pwittrock,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/85,https://github.com/kubernetes/kubectl/pull/85,pwittrock,Add items to Maintainers tasks,"- new contributor tasks
- reporting at community meeting
- setting up f2f",[],1,2017-10-18 19:46:17,2017-10-18 19:46:26,2017-10-18 19:46:27,True,2017-10-18 19:46:26,pwittrock,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/102,https://github.com/kubernetes/kubectl/pull/102,mengqiy,add kexpand util,"Move some util code from https://github.com/kubernetes/kubernetes/pull/52682 to kubectl repo.

There will a followup PR to move https://github.com/kubernetes/kubernetes/pull/52682/files#diff-0c3f4528c27638ae0b2b2fd6e2ecff6b code to kubectl repo. But it is blocked by some dependency issue of kubectl factory code.
",['monopole'],1,2017-10-23 19:48:20,2017-10-25 02:05:19,2017-10-25 02:05:19,True,2017-10-25 02:05:19,monopole,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/103,https://github.com/kubernetes/kubectl/pull/103,monopole,Add travis CICD coverage.,"Also, rename ""kexpand"" to ""kinflate"" to ease pronunciation.",[],1,2017-10-24 23:18:25,2017-10-25 04:37:37,2018-04-06 21:27:14,True,2017-10-25 04:37:37,monopole,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/105,https://github.com/kubernetes/kubectl/pull/105,monopole,tweak precommit,untabify and make the intent more obvious,[],1,2017-10-25 17:32:46,2017-10-25 18:08:42,2018-04-06 21:27:15,True,2017-10-25 18:08:42,monopole,unknown,,closed
kubectl,https://api.github.com/repos/kubernetes/kubectl/pulls/106,https://github.com/kubernetes/kubectl/pull/106,pwittrock,Create issue_backlog.md,Doc for describing how issues should be picked for new contributors.,"['fabianofranz', 'monopole', 'seans3']",9,2017-10-25 23:27:47,2017-10-26 22:50:33,2017-10-26 22:50:33,True,2017-10-26 22:50:33,monopole,unknown,,closed
