name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/1,https://github.com/kubernetes/node-problem-detector/pull/1,Random-Liu,Add initial version of node problem detector,"Here is a simple implementation of NodeProblemDetector for https://github.com/kubernetes/kubernetes/issues/23028.

The node problem detector is mainly composed of two parts:
- **ProblemDetector**. It is responsible for:
  - Collecting and consolidating events and conditions from different problem daemons;
  - Translating and aggregating them into `Event`s and `NodeCondition`s;
  - Syncing with apiserver.
- **KernelMonitor** is a simple kernel log monitor for demonstrating the Node Problem API. It is one (the only one for now) of the problem daemons. It monitors the kernel log and reports problems to ProblemDetector.
  - KernelMonitor is in charge of the ""kernel condition"" node condition.
  - If there is a permanent kernel error detected, it will report ""kernel condition"" (only `KernelDeadlock` for now) with corresponding reason and message to the problem detector.
  - If there is a temporary error detected, it will report an event to the problem detector.
  - KernelMonitor uses https://github.com/hpcloud/tail to monitor the kernel log, and uses regular expression to match problems in the kernel log. The patterns of problems are configured in the config file `config/kernel-monitor.json`. Now some known kernel bugs (https://github.com/kubernetes/kubernetes/issues/20096, https://github.com/kubernetes/kubernetes/issues/19986) have been added, and it would be easy to support other issue only if the pattern is stable and can be expressed in regular expression.
  - A lot of TODOs:
    - Support more flexible pattern match such as only matching start&end line etc.
    - Support journald.
    - ...

The node problem detector is a DaemonSet. It needs a ConfigMap `node-problem-detector-config` generated from `config/` directory. The bootstrapping is dumb now. To start the node problem detector, you need to:
1. Make sure the config mount, kernel log mount and apiserver endpoint in node-problem-detector.yaml are properly configured.
2. Make sure the log path and issue patterns `config/kernel-monitor.json` are properly configured.
3. Create ConfigMap `node-problem-detector-config` from directory `config/`.
4. Create DaemonSet `node-problem-detector.yaml`.

Now ProblemDetector and KernelMonitor are running in the same container and of course the same DaemonSet. In the future, we may want to:
- Option 1: Move the logic of ProblemDetector into kubelet, and leave problem daemons (such as KernelMonitor) as separate DaemonSets reporting directly to kubelet.
- Option 2: Move ProblemDetector into a DaemonSet, all problem daemons run as separate DaemonSets reporting to ProblemDetector.
- Option 3: Run ProblemDetector and problem daemons in separate containers, but wrap them in one DaemonSet.

This has not been decided yet, and may need more discussion. :)

@dchen1107 
/cc @kubernetes/sig-node 
",['dchen1107'],2,2016-05-17 23:01:23,2016-05-19 00:30:59,2016-05-19 01:47:27,True,2016-05-19 00:30:59,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/6,https://github.com/kubernetes/node-problem-detector/pull/6,Random-Liu,Change gcr project to official google_containers,"This update the gcr project to the official one.
I've already upload an image `node-problem-detector:0.1` to google_containers, will send a PR to kubernetes to add it as an add-on pod soon.

@dchen1107 
",['Random-Liu'],1,2016-05-19 22:25:59,2016-05-19 22:26:57,2016-05-20 00:15:58,True,2016-05-19 22:26:57,Random-Liu,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/8,https://github.com/kubernetes/node-problem-detector/pull/8,Random-Liu,Add godep dependency golang.org/x/sys/unix,"Fix #7 

I've tried this in a brand new GOPATH.

Both ""godep restore + godep build"" and ""go build"" work.

@derekwaynecarr @eparis We don't have enough reviewer for this repo yet, are you ok with this PR? If so, I'll manually merge it. :)

/cc @dchen1107 
",[],1,2016-05-23 18:29:17,2016-05-23 19:32:25,2016-05-23 19:32:40,True,2016-05-23 19:32:24,Random-Liu,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/10,https://github.com/kubernetes/node-problem-detector/pull/10,freeformz,"Vendor the ""right"" fsnotify","This is the version that hpcloud/tail vendors
",['Random-Liu'],4,2016-05-26 22:10:29,2016-05-26 23:57:11,2016-05-26 23:57:11,True,2016-05-26 23:57:11,Random-Liu,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/11,https://github.com/kubernetes/node-problem-detector/pull/11,Random-Liu,Use patch instead of update status,"Fix https://github.com/kubernetes/node-problem-detector/issues/9.

Change node-problem-detector to use `Patch` instead of `UpdateStatus`.

@caesarxuchao There is no good fake for [`unversioned.Client`](https://github.com/kubernetes/kubernetes/blob/master/pkg/client/unversioned/client.go#L118), so I can't write proper test for `unversioned.Client` related operations. [`testclient.Fake`](https://github.com/kubernetes/kubernetes/blob/master/pkg/client/unversioned/testclient/testclient.go#L56) is a fake for [`unversioned.Interface`](https://github.com/kubernetes/kubernetes/blob/master/pkg/client/unversioned/client.go#L30), but there is no `Patch` in `unversioned.Interface`, so I have to use `unversioned.Client`. Is there any way to test `unversioned.Client`?

@dchen1107 @saad-ali 
",['dchen1107'],2,2016-05-31 01:30:26,2016-06-01 23:26:07,2016-06-01 23:39:45,True,2016-06-01 23:26:07,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/12,https://github.com/kubernetes/node-problem-detector/pull/12,Random-Liu,Make condition and source configurable,"Based on #11, only the last commit is new.

This PR:
1. makes node condition and source configurable.
2. adds multiple events and conditions support in problem interface.

We make this change mainly for extensibility, testability and performance.
- Testability: The PR makes it possible to write e2e test which generates test only conditions and events without affecting real node problem detector.
- Extensibility: The PR makes it possible to extend condition types (we only support `KernelDeadlock` before) by just updating configuration.
- Performance: The PR makes it possible to batch reporting events and condition updates.

@dchen1107 
/cc @kubernetes/sig-node 
",['dchen1107'],1,2016-06-01 09:25:45,2016-06-03 00:42:13,2016-06-03 00:51:34,True,2016-06-03 00:42:13,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/13,https://github.com/kubernetes/node-problem-detector/pull/13,Random-Liu,Hack for unsupported OS distros.,"This is a hack for unsupported OS distros.
KernelMonitor doesn't support some OS distros for now e.g. GCI. Ideally, we should only run KernelMonitor on nodes on supported OS distro. However, NodeProblemDetector is running as DaemonSet, it has to be deployed on each node:
- There is no node affinity support for DaemonSet now https://github.com/kubernetes/kubernetes/issues/22205
- There is no node label for OS Distro, so we can't use node selector, either

If some nodes have unsupported OS distro e.g. the OS distro of master node in gke/gce is GCI, KernelMonitor will throw out error, and NodeProblemDetector will be restarted again and again because it's a DaemonSet.

To avoid this, we decide to add this temporarily hack. When KernelMonitor can't find the kernel log file, it will print a log and then return nil channel and no error. Since nil channel will always be blocked, the NodeProblemDetector will block forever.

I've tried to schedule the NodeProblemDetector on GCI image, the cpu usage is `0.01% core` and memory usage is `< 5MB`.

TODOs:
1. Add journald support to support GCI. Consider reusing [the code in cadvisor](https://github.com/google/cadvisor/blob/master/utils/oomparser/oomparser.go#L168), and maybe replace hpcloud/tail with the simpler implementation in cadvisor https://github.com/kubernetes/node-problem-detector/issues/3
2. Schedule KernelMonitor only on nodes with supported OS distros. (with node label+selector or affinity)

@dchen1107 
/cc @kubernetes/sig-node 
",['dchen1107'],1,2016-06-03 18:17:44,2016-06-03 18:32:34,2016-06-03 18:33:08,True,2016-06-03 18:32:34,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/15,https://github.com/kubernetes/node-problem-detector/pull/15,Random-Liu,Add entrypoint and copy kernel monitor config into docker image,"Add entrypoint and config into docker image, so as to simplify node problem detector deployment in Kubernetes.

Addon manager doesn't support ConfigMap now. We could change addon manager to support ConfigMap and also add ConfigMap in addon manifests, but that is not necessary and we should not make that big change before cutting release.
Even though we added entrypoint and config into the docker image, we can always overwrite them in the yaml file in the future.
",['dchen1107'],1,2016-06-03 20:45:21,2016-06-04 00:17:33,2016-06-04 00:20:06,True,2016-06-04 00:17:33,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/16,https://github.com/kubernetes/node-problem-detector/pull/16,Random-Liu,Add initial README.md for node-problem-detector.,"Fix #4.

This PR updated README.md of node-problem-detector.

@dchen1107 
/cc @kubernetes/sig-node 
",['dchen1107'],1,2016-06-06 00:01:15,2016-06-09 15:46:45,2016-06-09 16:10:48,True,2016-06-09 15:46:45,dchen1107,unknown,,closed
node-problem-detector,https://api.github.com/repos/kubernetes/node-problem-detector/pulls/17,https://github.com/kubernetes/node-problem-detector/pull/17,girishkalele,Containerize the nethealth bandwidth measurement utility,"```
$ docker run -it --rm gcr.io/google_containers/kube-nethealth-amd64:1.0
2016/06/08 01:04:47 HTTP HEAD reports content length: 67108864 - running GET
2016/06/08 01:04:53 DOWNLOAD: 67108864 bytes 5956 ms Bandwidth ~ 11003 KiB/sec
2016/06/08 01:04:53 Hash Matches expected value
```
",['Random-Liu'],1,2016-06-08 00:59:08,2016-06-08 21:53:34,2016-06-08 21:54:30,True,2016-06-08 21:53:34,Random-Liu,unknown,,closed
