name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/91,https://api.github.com/repos/hyperledger/iroha-ios/issues/91,Serialisation factory ,"- serialisation/deserialisation of transactions add
- serialisation of query requests add
- deserialisation of query response add",closed,True,2019-03-26 18:40:37,2019-03-26 19:12:23
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/90,https://api.github.com/repos/hyperledger/iroha-ios/issues/90,Serialization factory,"Implementation of serialisation factory which includes:
- serialization/deserialization of transactions;
- serialization of query requests;
- deserialization of query responses;",closed,True,2019-03-26 12:49:46,2019-03-26 17:20:38
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/89,https://api.github.com/repos/hyperledger/iroha-ios/issues/89,Error pointers initialization,,closed,True,2019-03-05 08:09:26,2019-03-05 08:10:33
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/88,https://api.github.com/repos/hyperledger/iroha-ios/issues/88,Error pointers initialization,"When passing error object by reference it should be initialized as nil

Signed-off-by: Russel <emkil.russel@gmail.com>",closed,True,2019-03-05 07:31:51,2019-03-05 07:45:49
iroha-ios,Stayer,https://github.com/hyperledger/iroha-ios/pull/87,https://api.github.com/repos/hyperledger/iroha-ios/issues/87,Feature/pipeline,"This PR allows to automate CI for this library:
1. prepare (check libraries, download iroha)
2. geneate Schema using protoc
3. (optional) If there is `master` tree and it was tagged, automatically push cocoa pod to https://cocoapods.org/pods/IrohaCommunication 

```
brew install protobuf c-ares
git clone --depth 1 https://github.com/grpc/grpc/
cd grpc
make grpc_objective_c_plugin
cp bins/opt/grpc_objective_c_plugin /usr/local/bin/protoc-gen-objcgrpc
```",closed,True,2019-02-22 09:16:43,2019-04-03 06:21:49
iroha-ios,unklayman,https://github.com/hyperledger/iroha-ios/pull/86,https://api.github.com/repos/hyperledger/iroha-ios/issues/86,Get protobuf encoded transaction data,,closed,True,2019-02-11 21:07:20,2019-02-11 21:08:39
iroha-ios,unklayman,https://github.com/hyperledger/iroha-ios/pull/85,https://api.github.com/repos/hyperledger/iroha-ios/issues/85,Get protobuf encoded transaction data,,closed,True,2019-02-11 20:44:56,2019-02-11 21:06:49
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/84,https://api.github.com/repos/hyperledger/iroha-ios/issues/84,Develop,- contacts info add readme,closed,True,2019-01-24 16:19:53,2019-01-24 16:20:41
iroha-ios,ERussel,https://github.com/hyperledger/iroha-ios/pull/83,https://api.github.com/repos/hyperledger/iroha-ios/issues/83,contacts info add to readme,Signed-off-by: Russel <emkil.russel@gmail.com>,closed,True,2019-01-24 15:50:07,2019-01-24 16:07:39
iroha-ios,unklayman,https://github.com/hyperledger/iroha-ios/pull/82,https://api.github.com/repos/hyperledger/iroha-ios/issues/82,Release 3.0.0,,closed,True,2019-01-24 14:21:34,2019-01-24 14:21:54
