name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/1,https://github.com/kubernetes/kube-aggregator/pull/1,fate-grand-order,"correct misspelling ""explicitly"" in handler_apis.go",,[],1,2017-02-22 03:05:54,2017-07-21 22:48:11,2017-07-21 22:48:11,False,,,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/2,https://github.com/kubernetes/kube-aggregator/pull/2,heartlock,"fix misspell ""explicitly"" in handler_apis.go",,[],1,2017-02-27 05:23:17,2017-02-27 23:44:07,2017-02-27 23:44:07,False,,,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/3,https://github.com/kubernetes/kube-aggregator/pull/3,fate-grand-order,"fix misspell ""with"" in start.go",,[],1,2017-02-28 10:28:06,2017-07-21 22:48:24,2017-07-21 22:48:24,False,,,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/4,https://github.com/kubernetes/kube-aggregator/pull/4,caesarxuchao,Generated by robot,"All 5 PRs generated in the same run of the robot:
https://github.com/kubernetes/client-go/pull/140
https://github.com/kubernetes/apimachinery/pull/10
https://github.com/kubernetes/apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/4
https://github.com/kubernetes/sample-apiserver/pull/2",[],12,2017-03-18 20:06:03,2017-03-20 20:09:12,2017-03-20 20:09:13,True,2017-03-20 20:09:12,deads2k,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/5,https://github.com/kubernetes/kube-aggregator/pull/5,caesarxuchao,Round2: Generated by scripts,"Last round of PRs failed to update vendor/. This one fixed it.

kube-aggregator is not a library, so this PR also adds the k8s.io/* back to the vendor/

@deads2k @sttts 

PRs to other repos:
https://github.com/kubernetes/apiserver/pull/5
https://github.com/kubernetes/kube-aggregator/pull/5
https://github.com/kubernetes/sample-apiserver/pull/3
https://github.com/kubernetes/client-go/pull/154
https://github.com/kubernetes/apimachinery/pull/11",[],2,2017-03-20 22:20:36,2017-03-21 21:10:30,2017-03-21 21:10:42,True,2017-03-21 21:10:30,deads2k,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/6,https://github.com/kubernetes/kube-aggregator/pull/6,caesarxuchao,[Do Not Merge] release-1.6,"Generated by bot.

The release-3.0 of client-go, and release-1.6 branches of apimachinery, apiserver, kube-aggregator, and sample-apiserver are tracking relesae-1.6 of kubernetes. These branches might depend on each other, but not on commit in the master branch.

The PR batch:
https://github.com/kubernetes/sample-apiserver/pull/4
https://github.com/kubernetes/kube-aggregator/pull/6
https://github.com/kubernetes/apiserver/pull/6
https://github.com/kubernetes/client-go/pull/160
no change to the release 1.6 branch of apimachinery

cc @deads2k @sttts ",[],1,2017-03-30 03:06:23,2017-03-31 17:58:39,2017-03-31 17:58:39,False,,,dirty,False,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/9,https://github.com/kubernetes/kube-aggregator/pull/9,prateekpandey14,Fix README link,"There is broken link which points to aggregated-api-servers.md file in kubernetes/community repository.
@deads2k ",[],1,2017-09-23 08:15:48,2017-10-04 20:09:12,2017-10-04 20:09:12,True,2017-10-04 20:09:12,caesarxuchao,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/10,https://github.com/kubernetes/kube-aggregator/pull/10,nikhita,Remove README and LICENSE,"Addresses https://github.com/kubernetes/kubernetes/issues/54398.

/cc @sttts ",[],1,2017-10-23 11:41:45,2017-10-25 19:17:49,2017-12-18 12:22:23,True,2017-10-25 19:17:49,sttts,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/11,https://github.com/kubernetes/kube-aggregator/pull/11,spiffxp,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",[],1,2017-12-20 18:32:56,2017-12-20 19:55:21,2017-12-20 20:14:23,False,,,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/21,https://github.com/kubernetes/kube-aggregator/pull/21,BYyxm,Update self-contained,Update self-contained,[],1,2019-01-11 09:30:47,2019-01-11 14:05:56,2019-01-11 14:05:57,False,,,unknown,,closed
kube-aggregator,https://api.github.com/repos/kubernetes/kube-aggregator/pulls/22,https://github.com/kubernetes/kube-aggregator/pull/22,joelsmith,Update embargo doc link in SECURITY_CONTACTS and change PST to PSC,See https://github.com/kubernetes/security/issues/8 for more information,[],1,2019-03-08 18:08:04,2019-03-09 01:20:25,2019-03-09 01:20:26,False,,,unknown,,closed
