name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/23,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/23,Add fuzzing targets,,closed,True,2019-03-09 15:10:25,2019-03-11 10:25:11
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/22,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/22,Fix UB caused by left shift of negative values,"Fix undefined behavior described in: https://github.com/jedisct1/libsodium/issues/333#issuecomment-165375457

Discovered by @luckychess ",closed,True,2019-03-09 13:37:07,2019-03-11 13:19:59
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/21,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/21,Fixes for Hunter CI,,closed,True,2019-02-16 12:14:39,2019-02-17 10:37:01
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/20,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/20,Add namespace to cmake config,Signed-off-by: Bogdan Vaneev <warchantua@gmail.com>,closed,True,2019-02-15 12:32:30,2019-02-15 12:44:37
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/19,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/19,Update to 2.0.0,"- [x] make hash context opaque - this allows us to make (any) Windows builds
- [x] add hunter to ed25519 - this allows us to import openssl / gtest / benchmark easily on any platform; and make reproducible builds. This step was necessary before hunterization of this package.
- [x] add `bcryptgenrandom` random number generator for Windows
- [x] remove `amd64-64-24k` (without PIC) - it does not add value to the codebase
- [x] add appveyor integration for Windows CI
- [x] throw away `generate_export_header`, replace with manually written header. Add export keyword for exported C methods.
- [x] add `sha2_sphlib` implementation
 
Fixes #14 ",closed,True,2019-02-14 21:05:53,2019-02-14 22:44:07
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/18,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/18,Fix badges,Signed-off-by: Bogdan Vaneev <warchantua@gmail.com>,closed,True,2018-07-10 13:33:40,2018-07-10 13:38:11
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/17,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/17,Add missing close() calls for files,,closed,True,2018-07-10 13:25:51,2018-07-10 13:28:59
iroha-ed25519,lebdron,https://github.com/hyperledger/iroha-ed25519/pull/16,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/16,Add missing close() calls for files,Fix issues with system filedescriptor table being flooded with descriptors during long runs of binaries using the lib.,closed,True,2018-07-10 13:15:45,2018-07-10 13:23:06
iroha-ed25519,Warchant,https://github.com/hyperledger/iroha-ed25519/pull/15,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/15,Fix full source inclusion,"When this project is included as `add_subdirectory(...)`, then 

```
CMake Error: File /Users/bogdan/tools/ed25519-cli/cmake/configurable_file_content.in does not exist.
CMake Error at iroha-ed25519/cmake/functions.cmake:88 (configure_file):
  configure_file Problem configuring file
Call Stack (most recent call first):
  iroha-ed25519/cmake/ed25519_export.cmake:5 (configure_file_content)
  iroha-ed25519/CMakeLists.txt:55 (ed25519_export)
```

arises.

This PR fixes this.",closed,True,2018-07-07 15:35:38,2018-07-10 13:38:20
iroha-ed25519,Stayer,https://github.com/hyperledger/iroha-ed25519/issues/14,https://api.github.com/repos/hyperledger/iroha-ed25519/issues/14,Can't compile on Windows,"* OS: Windows Server 2016 x64
* Compiler: cmake (MSVC 2017 x86_64)

### Build & install commands:
```
set -e
git clone git://github.com/hyperledger/iroha-ed25519.git /tmp/ed25519
cd /tmp/ed25519
cmake -DCMAKE_BUILD_TYPE=Release -DTESTING=OFF -H/tmp/ed25519 -B/tmp/ed25519/build
cmake --build /tmp/ed25519/build --target install
```

Log

```
Cloning into 'C:/Users/ADMINI~1/AppData/Local/Temp/2/ed25519'...
remote: Counting objects: 817, done.
remote: Compressing objects: 100% (6/6), done.
remote: Total 817 (delta 0), reused 3 (delta 0), pack-reused 810
Receiving objects: 100% (817/817), 1.19 MiB | 2.22 MiB/s, done.
Resolving deltas: 100% (357/357), done.
-- Building for: Visual Studio 15 2017
-- Selecting Windows SDK version 10.0.16299.0 to target Windows 10.0.14393.
-- The C compiler identification is MSVC 19.13.26132.0
-- The CXX compiler identification is MSVC 19.13.26132.0
-- Check for working C compiler: C:/Program Files (x86)/Microsoft Visual Studio/2017/BuildTools/VC/Tools/MSVC/14.13.26128/bin/Hostx86/x86/cl.exe
-- Check for working C compiler: C:/Program Files (x86)/Microsoft Visual Studio/2017/BuildTools/VC/Tools/MSVC/14.13.26128/bin/Hostx86/x86/cl.exe -- works
-- Detecting C compiler ABI info
-- Detecting C compiler ABI info - done
-- Check for working CXX compiler: C:/Program Files (x86)/Microsoft Visual Studio/2017/BuildTools/VC/Tools/MSVC/14.13.26128/bin/Hostx86/x86/cl.exe
-- Check for working CXX compiler: C:/Program Files (x86)/Microsoft Visual Studio/2017/BuildTools/VC/Tools/MSVC/14.13.26128/bin/Hostx86/x86/cl.exe -- works
-- Detecting CXX compiler ABI info
-- Detecting CXX compiler ABI info - done
-- Detecting CXX compile features
-- Detecting CXX compile features - done
-- The ASM compiler identification is MSVC
-- Found assembler: C:/Program Files (x86)/Microsoft Visual Studio/2017/BuildTools/VC/Tools/MSVC/14.13.26128/bin/Hostx86/x86/cl.exe
-- Could NOT find OpenSSL, try to set the path to OpenSSL root folder in the system variable OPENSSL_ROOT_DIR (missing: OPENSSL_CRYPTO_LIBRARY OPENSSL_INCLUDE_DIR)
-- EDIMPL=ref10 is selected (Ed25519 implementation)
-- HASH=sha3_brainhub is selected (SHA implementation)
-- RANDOM=dev_urandom is selected (RNG implementation)
-- BUILD=SHARED is selected (library build type)
-- CMAKE_BUILD_TYPE=Release is selected (cmake build type)
-- [ed25519] Target EDIMPL=amd64-64-24k is not supported on your platform
-- [ed25519] Target EDIMPL=amd64-64-24k-pic is not supported on your platform
-- [ed25519] Target RANDOM=dev_random is not supported on your platform
-- [ed25519] Target RANDOM=dev_urandom is not supported on your platform
-- [ed25519] Target HASH=sha2_openssl is not supported on your platform
-- Performing Test COMPILER_HAS_DEPRECATED_ATTR
-- Performing Test COMPILER_HAS_DEPRECATED_ATTR - Failed
-- Performing Test COMPILER_HAS_DEPRECATED
-- Performing Test COMPILER_HAS_DEPRECATED - Success
-- Configuring done
-- Generating done
-- Build files have been written to: C:/Users/Administrator/AppData/Local/Temp/2/ed25519/build




Microsoft (R) Build Engine version 15.6.85.37198 for .NET Framework
Copyright (C) Microsoft Corporation. All rights reserved.

Build started 6/13/2018 2:38:59 PM.
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxpr    oj"" on node 1 (default targets).
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxpr    oj"" (1) is building ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\Z    ERO_CHECK.vcxproj"" (2) on node 1 (default targets).
InitializeBuildStatus:
  Creating ""Win32\Debug\ZERO_CHECK\ZERO_CHECK.tlog\unsuccessfulbuild"" because ""A    lwaysCreate"" was specified.
CustomBuild:
  All outputs are up-to-date.
FinalizeBuildStatus:
  Deleting file ""Win32\Debug\ZERO_CHECK\ZERO_CHECK.tlog\unsuccessfulbuild"".
  Touching ""Win32\Debug\ZERO_CHECK\ZERO_CHECK.tlog\ZERO_CHECK.lastbuildstate"".
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \ZERO_CHECK.vcxproj"" (default targets).
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxpr    oj"" (1) is building ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\A    LL_BUILD.vcxproj"" (3) on node 1 (default targets).
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ALL_BUILD.vcx    proj"" (3) is building ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \ed25519.vcxproj"" (4) on node 1 (default targets).
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ed25519.vcxpr    oj"" (4) is building ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\l    ib\ed25519\ref10\ref10.vcxproj"" (5) on node 1 (default targets).
InitializeBuildStatus:
  Touching ""ref10.dir\Debug\ref10.tlog\unsuccessfulbuild"".
CustomBuild:
  All outputs are up-to-date.
ClCompile:
  C:\Program Files (x86)\Microsoft Visual Studio\2017\BuildTools\VC\Tools\MSVC\1    4.13.26128\bin\HostX86\x86\CL.exe /c /IC:\Users\Administrator\AppData\Local\Temp    \2\ed25519\build /IC:\Users\Administrator\AppData\Local\Temp\2\ed25519\include /    IC:\Users\Administrator\AppData\Local\Temp\2\ed25519\lib\ed25519\ref10 /IC:\User    s\Administrator\AppData\Local\Temp\2\ed25519\lib\ed25519\ref10\C:\Users\Administ    rator\AppData\Local\Temp\2\ed25519\build /Zi /nologo /W3 /WX- /diagnostics:class    ic /Od /Ob0 /Oy- /D WIN32 /D _WINDOWS /D ed25519_EXPORTS /D ""CMAKE_INTDIR=\""Debu    g\"""" /D _MBCS /Gm- /RTC1 /MDd /GS /fp:precise /Zc:wchar_t /Zc:forScope /Zc:inlin    e /Fo""ref10.dir\Debug\\"" /Fd""ref10.dir\Debug\ref10.pdb"" /Gd /TC /analyze- /FC /e    rrorReport:queue C:\Users\Administrator\AppData\Local\Temp\2\ed25519\lib\ed25519    \ref10\ed25519.c
  ed25519.c
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    30): error C2057: expected constant expression [C:\Users\Administrator\AppData\L    ocal\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    30): error C2466: cannot allocate an array of constant size 0 [C:\Users\Administ    rator\AppData\Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    30): error C2133: 'context': unknown size [C:\Users\Administrator\AppData\Local\    Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    71): error C2057: expected constant expression [C:\Users\Administrator\AppData\L    ocal\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    71): error C2466: cannot allocate an array of constant size 0 [C:\Users\Administ    rator\AppData\Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.c(    71): error C2133: 'context': unknown size [C:\Users\Administrator\AppData\Local\    Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \lib\ed25519\ref10\ref10.vcxproj"" (default targets) -- FAILED.
Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ed25519.vcxpr    oj"" (4) is building ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\l    ib\hash\sha3_brainhub\sha3_brainhub.vcxproj"" (6) on node 1 (default targets).
InitializeBuildStatus:
  Touching ""sha3_brainhub.dir\Debug\sha3_brainhub.tlog\unsuccessfulbuild"".
CustomBuild:
  All outputs are up-to-date.
ClCompile:
  C:\Program Files (x86)\Microsoft Visual Studio\2017\BuildTools\VC\Tools\MSVC\1    4.13.26128\bin\HostX86\x86\CL.exe /c /IC:\Users\Administrator\AppData\Local\Temp    \2\ed25519\build /IC:\Users\Administrator\AppData\Local\Temp\2\ed25519\include /    IC:\Users\Administrator\AppData\Local\Temp\2\ed25519\lib\hash\sha3_brainhub\C:\U    sers\Administrator\AppData\Local\Temp\2\ed25519\build /Zi /nologo /W3 /WX- /diag    nostics:classic /Od /Ob0 /Oy- /D WIN32 /D _WINDOWS /D ed25519_EXPORTS /D ""CMAKE_    INTDIR=\""Debug\"""" /D _MBCS /Gm- /RTC1 /MDd /GS /fp:precise /Zc:wchar_t /Zc:forSc    ope /Zc:inline /Fo""sha3_brainhub.dir\Debug\\"" /Fd""sha3_brainhub.dir\Debug\sha3_b    rainhub.pdb"" /Gd /TC /analyze- /FC /errorReport:queue C:\Users\Administrator\App    Data\Local\Temp\2\ed25519\lib\hash\sha3_brainhub\sha3_256.c C:\Users\Administrat    or\AppData\Local\Temp\2\ed25519\lib\hash\sha3_brainhub\sha3_512.c
  sha3_256.c
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    256.c(12): warning C4244: 'function': conversion from 'unsigned __int64' to '::s    ize_t', possible loss of data [C:\Users\Administrator\AppData\Local\Temp\2\ed255    19\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    256.c(23): error C2057: expected constant expression [C:\Users\Administrator\App    Data\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    256.c(23): error C2466: cannot allocate an array of constant size 0 [C:\Users\Ad    ministrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brain    hub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    256.c(23): error C2133: 'ctx': unknown size [C:\Users\Administrator\AppData\Loca    l\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  sha3_512.c
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    512.c(12): warning C4244: 'function': conversion from 'unsigned __int64' to '::s    ize_t', possible loss of data [C:\Users\Administrator\AppData\Local\Temp\2\ed255    19\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    512.c(23): error C2057: expected constant expression [C:\Users\Administrator\App    Data\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    512.c(23): error C2466: cannot allocate an array of constant size 0 [C:\Users\Ad    ministrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brain    hub.vcxproj]
c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha3_    512.c(23): error C2133: 'ctx': unknown size [C:\Users\Administrator\AppData\Loca    l\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  Generating Code...
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \lib\hash\sha3_brainhub\sha3_brainhub.vcxproj"" (default targets) -- FAILED.
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \ed25519.vcxproj"" (default targets) -- FAILED.
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \ALL_BUILD.vcxproj"" (default targets) -- FAILED.
Done Building Project ""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build    \install.vcxproj"" (default targets) -- FAILED.

Build FAILED.

""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxproj"" (def    ault target) (1) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ALL_BUILD.vcxproj"" (d    efault target) (3) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ed25519.vcxproj"" (def    ault target) (4) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhu    b\sha3_brainhub.vcxproj"" (default target) (6) ->
(ClCompile target) ->
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_256.c(12): warning C4244: 'function': conversion from 'unsigned __int64' to ':    :size_t', possible loss of data [C:\Users\Administrator\AppData\Local\Temp\2\ed2    5519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_512.c(12): warning C4244: 'function': conversion from 'unsigned __int64' to ':    :size_t', possible loss of data [C:\Users\Administrator\AppData\Local\Temp\2\ed2    5519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]


""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxproj"" (def    ault target) (1) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ALL_BUILD.vcxproj"" (d    efault target) (3) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ed25519.vcxproj"" (def    ault target) (4) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref    10.vcxproj"" (default target) (5) ->
(ClCompile target) ->
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(30): error C2057: expected constant expression [C:\Users\Administrator\AppData    \Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(30): error C2466: cannot allocate an array of constant size 0 [C:\Users\Admini    strator\AppData\Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(30): error C2133: 'context': unknown size [C:\Users\Administrator\AppData\Loca    l\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(71): error C2057: expected constant expression [C:\Users\Administrator\AppData    \Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(71): error C2466: cannot allocate an array of constant size 0 [C:\Users\Admini    strator\AppData\Local\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\ed25519\ref10\ed25519.    c(71): error C2133: 'context': unknown size [C:\Users\Administrator\AppData\Loca    l\Temp\2\ed25519\build\lib\ed25519\ref10\ref10.vcxproj]


""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\install.vcxproj"" (def    ault target) (1) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ALL_BUILD.vcxproj"" (d    efault target) (3) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\ed25519.vcxproj"" (def    ault target) (4) ->
""C:\Users\Administrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhu    b\sha3_brainhub.vcxproj"" (default target) (6) ->
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_256.c(23): error C2057: expected constant expression [C:\Users\Administrator\A    ppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_256.c(23): error C2466: cannot allocate an array of constant size 0 [C:\Users\    Administrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_bra    inhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_256.c(23): error C2133: 'ctx': unknown size [C:\Users\Administrator\AppData\Lo    cal\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_512.c(23): error C2057: expected constant expression [C:\Users\Administrator\A    ppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_512.c(23): error C2466: cannot allocate an array of constant size 0 [C:\Users\    Administrator\AppData\Local\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_bra    inhub.vcxproj]
  c:\users\administrator\appdata\local\temp\2\ed25519\lib\hash\sha3_brainhub\sha    3_512.c(23): error C2133: 'ctx': unknown size [C:\Users\Administrator\AppData\Lo    cal\Temp\2\ed25519\build\lib\hash\sha3_brainhub\sha3_brainhub.vcxproj]

    2 Warning(s)
    12 Error(s)

Time Elapsed 00:00:01.91
",closed,False,2018-06-13 14:39:54,2019-02-14 22:44:03
