name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/1,https://github.com/kubernetes/enhancements/pull/1,pwittrock,Kubernetes feature tracking issue template,,['erictune'],1,2016-05-02 18:55:21,2016-05-03 20:05:24,2016-05-05 18:15:21,True,2016-05-03 20:05:23,erictune,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/4,https://github.com/kubernetes/enhancements/pull/4,erictune,Update ISSUE_TEMPLATE.md,,[],1,2016-05-09 16:54:20,2016-05-09 16:54:26,2017-03-24 18:57:32,True,2016-05-09 16:54:26,erictune,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/6,https://github.com/kubernetes/enhancements/pull/6,erictune,Update ISSUE_TEMPLATE.md,"Require docs/proposals for all features, to allow commenting.
",['pwittrock'],1,2016-05-09 17:03:38,2016-05-09 22:03:28,2016-06-24 20:50:50,True,2016-05-09 22:03:28,pwittrock,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/7,https://github.com/kubernetes/enhancements/pull/7,erictune,Update README.md,"describe how and when to use feature tracking issues.
",['pwittrock'],1,2016-05-09 17:56:20,2016-05-17 23:28:41,2017-03-24 18:57:32,True,2016-05-17 23:28:41,pwittrock,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/8,https://github.com/kubernetes/enhancements/pull/8,CsatariGergely,Location of proposals directory corrected.,,[],1,2016-06-16 08:38:14,2016-07-18 21:01:39,2016-07-18 21:01:39,False,,,dirty,False,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/9,https://github.com/kubernetes/enhancements/pull/9,idvoretskyi,Directory with 1.3 features added,"Added directory with the actual features for 1.3 release
",[],6,2016-06-20 15:11:29,2016-06-20 15:56:55,2016-06-20 15:57:23,False,,,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/10,https://github.com/kubernetes/enhancements/pull/10,idvoretskyi,List of the with 1.3 features added,"Features for 1.3 list added.
",['pwittrock'],1,2016-06-20 16:23:49,2016-06-24 16:12:44,2016-06-29 09:02:14,True,2016-06-24 16:12:44,pwittrock,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/13,https://github.com/kubernetes/enhancements/pull/13,verb,Fix broken links to kubernetes designs in README,,[],1,2016-06-23 18:29:38,2016-06-23 18:42:24,2016-06-23 18:42:24,False,,,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/14,https://github.com/kubernetes/enhancements/pull/14,verb,Fix broken links to kubernetes designs in README,,[],1,2016-06-24 05:30:27,2016-06-24 05:52:24,2016-06-24 05:52:24,True,2016-06-24 05:52:24,mikedanese,unknown,,closed
enhancements,https://api.github.com/repos/kubernetes/enhancements/pulls/15,https://github.com/kubernetes/enhancements/pull/15,philips,"683ed1d (Brandon Philips, 27 minutes ago)    release-1.3: features-1.3: make dlorenc the minikube assignee","dlorenc seems to be doing all of the hacking here, I don't think we should
   overload bgrant with more stuff.

7376cbd (Brandon Philips, 28 minutes ago)
   release-1.3/features-1.3: add CoreOS to minikube

   I work at CoreOS and contributed the VMware Fusion backend for minikube and
   fixed upstream libmachine bugs.
",['idvoretskyi'],1,2016-06-25 02:33:03,2016-06-29 17:34:01,2016-06-29 17:34:05,True,2016-06-29 17:34:01,idvoretskyi,unknown,,closed
