name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/1,https://api.github.com/repos/kubernetes/publishing-bot/issues/1,Update README and add example config,Update and fix the instructions.,closed,True,2017-12-07 16:51:56,2017-12-08 02:40:24
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/2,https://api.github.com/repos/kubernetes/publishing-bot/issues/2,Fix README.md typos,,closed,True,2017-12-08 04:57:15,2017-12-11 19:57:19
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/3,https://api.github.com/repos/kubernetes/publishing-bot/issues/3,Switch committer email to k8s-publishing-bot,,closed,True,2017-12-08 20:16:42,2017-12-08 20:21:11
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/4,https://api.github.com/repos/kubernetes/publishing-bot/issues/4,Add tokens with git-crypt,https://github.com/AGWA/git-crypt,closed,True,2017-12-08 20:58:55,2017-12-09 00:19:54
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/5,https://api.github.com/repos/kubernetes/publishing-bot/issues/5,"Add smoke tests for sample-{apiserver,controller}","The godep tests from my manual test script.

TODO:
- [ ] let the bot run with this",closed,True,2017-12-08 23:53:45,2017-12-09 04:53:38
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/6,https://api.github.com/repos/kubernetes/publishing-bot/issues/6,"WIP: Run 'dep init' to create Gopkg.{toml,lock}","Golang/dep does not support picking up these dependencies yet properly. But at least
dep will warn the user when he chooses incompatible dependencies (so did @munnerz report, but with `dep init --gopath` I did not even get warnings, but it picked up master which it shouldn't).

A test run was published to https://github.com/kubernetes-dep-experiment/client-go

**The goal is to vendor k8s.io/client-go, api, apimachinery and all other direct and transistive dependencies of client-go in the versions that are specified in  https://github.com/kubernetes-dep-experiment/client-go's Gopkg.{toml,lock} with only specifying the right branch or tag of client-go, i.e.**

```
[[constraint]]
  name = ""k8s.io/client-go""
  version = ""5.0.1""
```

For testing purposes one has to define the source for client-go, api and apimachinery to be in the kubernetes-dep-experiment org:

```
[[constraint]]
  name = ""k8s.io/client-go""
  version = ""5.0.1""
  source = ""https://github.com/kubernetes-dep-experiment/client-go.git""

[[constraint]]
  name = ""k8s.io/api""
  source = ""https://github.com/kubernetes-dep-experiment/api.git""

[[constraint]]
  name = ""k8s.io/apimachinery""
  source = ""https://github.com/kubernetes-dep-experiment/apimachinery.git""
```

Compare https://github.com/sttts/kube-dep-test/blob/master/Gopkg.toml for a test project.",closed,True,2017-12-09 04:57:56,2018-05-18 15:14:13
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/7,https://api.github.com/repos/kubernetes/publishing-bot/issues/7,Makefile: wait for old pod to terminate,,closed,True,2017-12-09 12:19:01,2018-01-05 15:08:39
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/8,https://api.github.com/repos/kubernetes/publishing-bot/issues/8,Add config for github.com/kubernetes target-org,"This is the ""production"" config for the bot pushing directly into github.com/kubernetes.",closed,True,2017-12-09 12:27:12,2017-12-12 08:04:14
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/9,https://api.github.com/repos/kubernetes/publishing-bot/issues/9,Fix example config typo,,closed,True,2017-12-13 13:05:23,2017-12-13 13:16:24
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/10,https://api.github.com/repos/kubernetes/publishing-bot/issues/10,PAUSED: Only delete k8s.io dependencies from vendor/ on master branch,"We deleted also k8s.io/gengo and kube-openapi. Latest kube-openapi is not compatible with kube.

Fixes https://github.com/kubernetes/kubernetes/issues/57147",closed,True,2017-12-13 13:15:32,2018-06-18 14:22:57
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/11,https://api.github.com/repos/kubernetes/publishing-bot/issues/11,Add healthz server,To have a simple monitoring.,closed,True,2017-12-13 17:17:23,2017-12-15 08:13:12
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/issues/12,https://api.github.com/repos/kubernetes/publishing-bot/issues/12,Version skew on tagging,"Our tagging algorithm is not 100% precise:

Assume we have the following commits in k/k (latest to earliest):

- commit **A** modifying `staging/src/k8s.io/api` only, tagged as `v1.9.0` in k/k
- commit **B** modifying `staging/src/k8s.io/client-go` only

The pubilshing bot cherry-picks these as:

- commit **A'** in `k8s.io/api`, tagged as `kubernetes-1.9.0` in `k8s.io/api`
- commit **B'** in `k8s.io/client-go`, tagged as `kubernetes-1.9.0` in `k8s.io/client-go 

The problem: Godeps/Godeps.json in k8s.io/client-go is generated assuming **B'** belongs to **B** in k/k. **B** maps to **A'^** in `k8s.io/api`. Hence, client-go's Godeps.json at **B'** points to **A'^** of `k8s.io/api`.

In [https://github.com/kubernetes/client-go/releases/tag/v6.0.0](v6.0.0) this leads to one PR (kubernetes/kubernetes#57075) being missed from `k8s.io/api`, compare the following `k8s.io/api` release-1.9 branch screenshot. The hightlighted version appears in client-go's Godeps.json, while the `kubernetes-1.9.0` is one PR merge further up:

<img width=""949"" alt=""bildschirmfoto 2017-12-18 um 13 59 58"" src=""https://user-images.githubusercontent.com/730123/34107227-bfb904aa-e3fb-11e7-86d8-607ea2a0ab17.png"">

**For v6.0.0 this is not critical as this is only a documentation PR.** But we have to find a solution for this Godeps version skew soon and do a similar analysis before each new tag (and hope that no important PR is skipped).
",closed,False,2017-12-18 13:05:01,2018-02-10 15:38:53
publishing-bot,spiffxp,https://github.com/kubernetes/publishing-bot/pull/13,https://api.github.com/repos/kubernetes/publishing-bot/issues/13,Add code-of-conduct.md,"Refer to kubernetes/community as authoritative source for code of conduct

ref: kubernetes/community#1527",closed,True,2017-12-20 18:39:49,2018-01-03 00:46:57
publishing-bot,mfojtik,https://github.com/kubernetes/publishing-bot/pull/14,https://api.github.com/repos/kubernetes/publishing-bot/issues/14,WIP: Make publisher-bot usable for non-kube repos,"This pull attempts to remove all hardcoded kube variables which should allow to use the publisher bot for repositories other than kubernetes/kubernetes.
The defaulting should be preserved, so if SourceRepo is not specified it will default to ""kubernetes"", thus no changes in how the publisher bot is currently deployed are needed.",closed,True,2018-01-05 13:37:15,2018-01-12 11:20:19
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/15,https://api.github.com/repos/kubernetes/publishing-bot/issues/15,Re-enable kube 1.7,"TODO:
- [x] update all 1.7 staging branch: https://github.com/kubernetes/kubernetes/pull/57796
- [x] do a test run of the bot: https://github.com/sttts/client-go",closed,True,2018-01-05 13:38:07,2018-01-10 09:22:51
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/16,https://api.github.com/repos/kubernetes/publishing-bot/issues/16,Add skipGodeps flag to repo rules,"TODO:

- [ ] test",closed,True,2018-01-05 13:39:50,2018-01-22 12:36:30
publishing-bot,mfojtik,https://github.com/kubernetes/publishing-bot/pull/17,https://api.github.com/repos/kubernetes/publishing-bot/issues/17,Externalize the rule definition into a YAML file,"The second commit removes hard-coded Kubernetes rules and move them into a separate YAML file that has to be provided for the publishing-bot via `--rules-file` argument. This argument is required.
This can be either a local filesystem path or an URL form (for easier ""fetch from repo directly ;)"")...

Other changes:

* Moved the `SkippedSourceBranches` into the rules config
* Removed `./` defaulting for the destination directory

Original rules before this change are available under `cmd/publisher-bot/config/rules_example.yaml`.",closed,True,2018-01-08 11:10:36,2018-01-19 12:40:08
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/18,https://api.github.com/repos/kubernetes/publishing-bot/issues/18,Fix panic with nil github issue number in config,,closed,True,2018-01-10 12:44:36,2018-01-11 06:34:34
publishing-bot,sttts,https://github.com/kubernetes/publishing-bot/pull/19,https://api.github.com/repos/kubernetes/publishing-bot/issues/19,With interval != 0 don't be fatal on Github API errors,"If the github API returns error when updating the issue, this is not critical for the bot itself. We have other monitoring mechanism (healthz) in place.",closed,True,2018-01-11 06:34:08,2018-01-11 14:19:02
