name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
steering,https://api.github.com/repos/kubernetes/steering/pulls/1,https://github.com/kubernetes/steering/pull/1,mbssaiakhil,Fix a minor typo in Steering Committee Backlog,,[],1,2017-08-16 22:35:20,2017-08-16 22:43:48,2017-08-16 22:43:51,True,2017-08-16 22:43:48,philips,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/2,https://github.com/kubernetes/steering/pull/2,sebgoa,change a few priorities and add a few items,"This is a follow up from https://github.com/kubernetes/community/issues/351#issuecomment-321859055

Which became: https://github.com/kubernetes/community/pull/899

there are lots of details to think about with governance. In my view the bootstrap committee is laying the ground work to seed a steering committee, but this steering committee will need to create ""bylaws"" which will explain:

- the membership ( and process to navigate this membership)
- the election process for the steering committee -DONE
- discussion, voting processes throughout the projects (how are decisions made)
- where the community lives (do we expect all members of standing to be on slack ? which channel ?)
- the incubator (we need a committee there to vote on graduation and incubation)
- the governance of the sigs 

When that is in place the adequate membership can discuss and vote on mechanisms to take technical decisions...",['spiffxp'],1,2017-08-20 13:31:43,2017-12-14 22:57:40,2017-12-14 22:57:40,False,,,dirty,False,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/3,https://github.com/kubernetes/steering/pull/3,mbssaiakhil,Fix a minor typo in Kubernetes Steering Committee Charter,,[],1,2017-08-20 14:07:15,2017-08-23 04:41:11,2017-08-23 04:41:11,True,2017-08-23 04:41:11,philips,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/4,https://github.com/kubernetes/steering/pull/4,Rajadeepan,Fix typo,,[],1,2017-08-20 20:48:26,2017-08-20 21:06:39,2017-08-20 21:06:39,False,,,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/5,https://github.com/kubernetes/steering/pull/5,dankohn,Call out CNCF GB seat for K8s Steering Committee,,['castrojo'],1,2017-09-18 20:20:03,2017-10-02 18:43:10,2017-10-02 18:43:10,True,2017-10-02 18:43:10,idvoretskyi,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/7,https://github.com/kubernetes/steering/pull/7,castrojo,Add initial Steering Committee member list and a TOC,Fixes #6,['philips'],1,2017-10-20 19:04:46,2017-10-23 14:24:54,2017-10-23 14:24:54,True,2017-10-23 14:24:54,jbeda,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/8,https://github.com/kubernetes/steering/pull/8,jbeda,Create CONTRIBUTING.md,,[],1,2017-10-26 00:51:23,2017-10-26 01:30:40,2017-10-26 17:37:25,True,2017-10-26 01:30:40,jbeda,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/10,https://github.com/kubernetes/steering/pull/10,mattfarina,Update the readme with the contact information,,[],1,2017-11-01 19:07:58,2017-11-01 19:50:23,2017-11-01 19:50:23,True,2017-11-01 19:50:23,bgrant0607,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/11,https://github.com/kubernetes/steering/pull/11,michelleN,add steering-private note to CONTRIBUTING.md,,['spiffxp'],1,2017-11-15 22:30:57,2017-11-20 17:56:47,2017-11-20 17:56:53,True,2017-11-20 17:56:47,spiffxp,unknown,,closed
steering,https://api.github.com/repos/kubernetes/steering/pulls/13,https://github.com/kubernetes/steering/pull/13,philips,backlog: move items for current sprint,,[],1,2017-12-07 23:01:48,2017-12-08 20:23:30,2018-01-03 00:43:36,True,2017-12-08 20:23:30,philips,unknown,,closed
