name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
cluster-registry,rothgar,https://github.com/kubernetes/cluster-registry/issues/1,https://api.github.com/repos/kubernetes/cluster-registry/issues/1,Make design Google doc in readme 644 permissions,I can't open the Google doc in the readme. Please update permissions so anyone with the link can read it.,closed,False,2017-09-11 14:49:57,2017-09-29 23:53:39
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/pull/2,https://api.github.com/repos/kubernetes/cluster-registry/issues/2,Fix a typo,,closed,True,2017-09-20 20:30:52,2017-10-05 17:58:26
cluster-registry,G-Harmon,https://github.com/kubernetes/cluster-registry/pull/3,https://api.github.com/repos/kubernetes/cluster-registry/issues/3,Remove unnecessary Cluster-Registry header line.,,closed,True,2017-09-21 18:28:46,2017-09-21 18:53:13
cluster-registry,madhusudancs,https://github.com/kubernetes/cluster-registry/issues/4,https://api.github.com/repos/kubernetes/cluster-registry/issues/4,Repurpose kubefed to join/unjoin clusters,"@perotinus has repurposed `kubefed` (now called `crinit` in this repository) to simplify cluster registry installation in a host Kubernetes cluster. Add support to crinit so that it could be used to register clusters to or deregister clusters from a cluster registry.

cc @G-Harmon @perotinus @csbell @nikhiljindal ",closed,False,2017-09-21 22:40:57,2017-10-12 00:51:01
cluster-registry,G-Harmon,https://github.com/kubernetes/cluster-registry/pull/5,https://api.github.com/repos/kubernetes/cluster-registry/issues/5,blah change. Testing.,Testing a PR. Please ignore.,closed,True,2017-09-23 00:23:53,2017-09-29 23:53:09
cluster-registry,G-Harmon,https://github.com/kubernetes/cluster-registry/issues/6,https://api.github.com/repos/kubernetes/cluster-registry/issues/6,Connect the repo to Reviewable,"Hey Jonathan,
We looked at this yesterday. Do you want to connect the cluster-registry up to Reviewable?

""Please connect this repo at https://reviewable.io/repositories so that all PRs get linked to reviews. Thanks!""",closed,False,2017-09-23 00:36:27,2018-09-15 22:24:19
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/issues/7,https://api.github.com/repos/kubernetes/cluster-registry/issues/7,Multi-tenancy,"The cluster registry currently doesn't support namespaces, which are the main way that Kubernetes APIs support multi-tenancy. It's not clear whether we can use RBAC as-is to support multi tenancy in the cluster registry, or whether we will have to build some alternative support or modify the cluster registry in order to work more fluently with RBAC.

This is one reason that we would implement an authorizer other than ""AlwaysAllow"": in the simple single-tenant case, we can probably assume that authn==authz (that is, anyone who can authenticate is authorized), since there is only one resource type, the cluster,

Not a major issue now.",closed,False,2017-09-27 18:11:35,2018-02-02 02:17:56
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/issues/8,https://api.github.com/repos/kubernetes/cluster-registry/issues/8,Implement delegated authorization,"The cluster registry needs a way to authorize requests. Currently, it allows authenticated callers full access. It should at least support r/w vs readonly usage.

The canonical Kubernetes way to handle this would be RBAC, but we don't currently support creating RBAC policies in the cluster registry, and it's not clear that the cluster registry should have a parallel set of RBAC rules to the main Kubernetes API server (and it probably should defer to another API server if it is an aggregated API server).",closed,False,2017-09-27 18:14:10,2017-12-08 01:16:46
cluster-registry,font,https://github.com/kubernetes/cluster-registry/pull/9,https://api.github.com/repos/kubernetes/cluster-registry/issues/9,Update README instructions and bazel BUILD file,"I started going through the README to build the binaries and container images and ran into some issues fixed here:

1. Update script name
1. Update build and run commands
1. Update bazel BUILD file to allow specifying `project` to upload container image
1. Update generated bazel BUILD file
1. Typos

I also ran into an issue because I was missing the Mercurial `hg` CLI tool due to a [bitbucket dependency for `bitbucket.org/ww/goautoneg`](https://github.com/kubernetes/apiserver/blob/b2a8ad67a002d27c8945573abb80b4be543f2a1f/Godeps/Godeps.json#L10) since we have [k8s.io/apiserver in our WORKSPACE dependency](https://github.com/kubernetes/cluster-registry/blob/94f78f21436ae2a8b24ca0fb8d07001c5b7cd52d/WORKSPACE#L61-L67). Installing Mercurial fixed the problem but I'm thinking that should have been handled for me.",closed,True,2017-09-27 22:40:44,2017-12-12 00:21:40
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/issues/10,https://api.github.com/repos/kubernetes/cluster-registry/issues/10,Write a design document,"Now that the cluster registry prototype is done, we should write a design based on this knowledge and circulate it more broadly.",closed,False,2017-09-29 23:52:11,2017-11-16 20:00:59
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/issues/11,https://api.github.com/repos/kubernetes/cluster-registry/issues/11,Write a user guide,"Once the cluster registry is in a stable enough state, it should have a users guide distinct from the developers guide.

This may make sense to host here, or perhaps on a shared Kubernetes page.

cc @pmorie ",closed,False,2017-10-02 20:01:53,2017-11-16 20:02:11
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/pull/12,https://api.github.com/repos/kubernetes/cluster-registry/issues/12,Add a note about and workaround for bazel 0.6.0 incompatibility,,closed,True,2017-10-02 22:55:45,2017-10-04 15:03:57
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/pull/13,https://api.github.com/repos/kubernetes/cluster-registry/issues/13,Update the versions of go and docker rules in the WORKSPACE.,Tested with bazel 0.6.0 and 0.5.4.,closed,True,2017-10-03 23:48:33,2017-10-04 17:23:11
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/pull/14,https://api.github.com/repos/kubernetes/cluster-registry/issues/14, Remove the need for Mercurial to be installed by depending on an HTTP archive instead.,Tested by removing the hg command from the PATH and running `bazel fetch`.,closed,True,2017-10-04 00:01:08,2017-10-05 17:58:17
cluster-registry,perotinus,https://github.com/kubernetes/cluster-registry/pull/15,https://api.github.com/repos/kubernetes/cluster-registry/issues/15,Uncomment a block that configures the API server with authentication options.,"Without this, the API server will not authorize any requests.

cc @font @madhusudancs",closed,True,2017-10-04 21:07:24,2017-10-06 00:14:49
