name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
fabric-ca,shiyuleixia,https://github.com/hyperledger/fabric-ca/pull/11,https://api.github.com/repos/hyperledger/fabric-ca/issues/11,Add the authority for the identity to change his own password,The normal identity can't change his own password by himself but by a registrar,closed,True,2018-12-28 03:52:17,2018-12-29 00:30:45
fabric-ca,duyquang6,https://github.com/hyperledger/fabric-ca/pull/10,https://api.github.com/repos/hyperledger/fabric-ca/issues/10,Release 1.1,I'd like to get this for my project code,closed,True,2018-10-11 03:39:00,2018-10-11 03:55:49
fabric-ca,KishorSilver,https://github.com/hyperledger/fabric-ca/pull/9,https://api.github.com/repos/hyperledger/fabric-ca/issues/9,Release 1.1,,closed,True,2018-07-18 05:57:29,2018-07-18 05:57:38
fabric-ca,rmiroballi,https://github.com/hyperledger/fabric-ca/pull/8,https://api.github.com/repos/hyperledger/fabric-ca/issues/8,Signing cert,,closed,True,2018-03-26 14:46:27,2018-03-26 17:19:14
fabric-ca,lihaoguo,https://github.com/hyperledger/fabric-ca/pull/7,https://api.github.com/repos/hyperledger/fabric-ca/issues/7,Update dbutil.go,"Modify the field name length of the table affiliations to fix the following bug:
Error occurred initializing database: Failed to create user registry for MySQL: Failed to create MySQL tables: Error creating index on affiliations table: Error 1071: Specified key was too long; max key length is 767 bytes",closed,True,2018-03-24 08:21:07,2018-03-24 20:11:53
fabric-ca,gocuntian,https://github.com/hyperledger/fabric-ca/pull/6,https://api.github.com/repos/hyperledger/fabric-ca/issues/6,"How to generate server and client certfile, keyfile？","How to generate server and client certfile, keyfile，
v1.0.0",closed,True,2018-02-07 08:30:34,2018-03-09 15:06:17
fabric-ca,AhmadZafar,https://github.com/hyperledger/fabric-ca/pull/5,https://api.github.com/repos/hyperledger/fabric-ca/issues/5,Master,,closed,True,2017-11-22 04:52:37,2017-11-22 23:24:29
fabric-ca,lifemagazine,https://github.com/hyperledger/fabric-ca/pull/4,https://api.github.com/repos/hyperledger/fabric-ca/issues/4,add for rest api to get last certificate for given userid,"In some cases, fabric members need to get the certificate of other members, not ca certificate.
So I appended the rest api to retrieve the certificate by user id.",closed,True,2017-06-15 08:53:22,2017-06-15 08:54:18
fabric-ca,weichongli,https://github.com/hyperledger/fabric-ca/pull/3,https://api.github.com/repos/hyperledger/fabric-ca/issues/3,Update dbutil.go,"If the server timezone is not GMT, it will cause SQL syntax errors while creating table on mysql.",closed,True,2017-05-27 08:13:34,2017-05-28 03:21:26
fabric-ca,andreevym,https://github.com/hyperledger/fabric-ca/pull/2,https://api.github.com/repos/hyperledger/fabric-ca/issues/2,Update README.md,,closed,True,2017-01-30 12:26:26,2017-01-30 14:18:42
