name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/1,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/1,Custom scheduler,"...instead of CPU allocation hack and split compose files
",closed,False,2015-11-07 16:48:37,2016-11-21 09:41:54
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/2,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/2,Need support for host namespaces,,closed,False,2015-11-07 16:49:40,2016-12-05 18:27:32
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/3,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/3,Cloud provider integration,,closed,False,2015-11-07 16:50:11,2016-02-08 23:36:20
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/4,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/4,Support for TLS,,closed,False,2015-11-07 16:50:57,2016-01-07 13:39:07
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/5,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/5,Support for cloud provider options,"- [x] GCE
- [x] AWS (see #25)
",closed,False,2015-11-07 16:51:31,2016-03-02 08:05:13
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/6,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/6,Support for master failover,,closed,False,2015-11-07 16:51:56,2018-01-15 10:31:41
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/7,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/7,Solve restarts,,closed,False,2015-11-24 21:10:58,2016-02-19 12:02:53
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/8,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/8,Figure out what happen with `kube-system` namespace in TLS-enabled mode,,closed,False,2016-01-07 13:39:36,2016-01-19 15:48:37
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/9,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/9,Suport extra args for each of the components,"Figure out whether it's better to pass pass them along in the `*-anywhere.sh` script as is or set actually set `ENTRYPOINT [ ""/*-anywhere.sh"" ]`.
",closed,False,2016-01-07 13:42:06,2018-01-15 10:31:59
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/10,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/10,Use CloudFormation,"https://github.com/weaveworks/integrations/issues/59
",closed,False,2016-01-07 19:41:53,2016-11-21 09:42:31
kubernetes-anywhere,errordeveloper,https://github.com/kubernetes/kubernetes-anywhere/issues/11,https://api.github.com/repos/kubernetes/kubernetes-anywhere/issues/11,Fix SkyDNS with TLS,"Service account appears to be missing, but even creating it doesn't seem to make it work.
",closed,False,2016-01-08 13:12:53,2016-01-19 17:49:44
