name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/84,https://github.com/hyperledger/sawtooth-marketplace/pull/84,rbuysse,Fix CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-02-07 16:32:46,2019-02-09 04:42:02,2019-02-09 04:42:02,True,2019-02-09 04:42:02,rbuysse,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/83,https://github.com/hyperledger/sawtooth-marketplace/pull/83,rbuysse,Add MAINTAINERS.md and CODEOWNERS,Signed-off-by: Ryan Beck-Buysse <rbuysse@bitwise.io>,['rbuysse'],1,2019-01-22 22:10:09,2019-01-22 22:41:09,2019-01-22 22:41:09,True,2019-01-22 22:41:09,rbuysse,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/82,https://github.com/hyperledger/sawtooth-marketplace/pull/82,ryjones,Add Apache 2.0 LICENSE file,Signed-off-by: Ry Jones <ry@linux.com>,['boydjohnson'],1,2018-08-17 23:41:27,2018-08-21 16:14:14,2018-08-21 16:14:14,True,2018-08-21 16:14:14,boydjohnson,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/81,https://github.com/hyperledger/sawtooth-marketplace/pull/81,varasudha194,"Added UI for View Offers, modified README","

Signed-off-by: test <varalakshmi.ka@intel.com>",['dplumb94'],2,2018-05-24 04:58:37,2019-03-22 19:54:21,2019-03-22 19:54:21,False,,,blocked,True,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/80,https://github.com/hyperledger/sawtooth-marketplace/pull/80,askmish,Add proxy support for default docker compose file,"Add proxy variables args for market-shell container dockerfile

Signed-off-by: Ashish Kumar Mishra <ashish.k.mishra@intel.com>","['vaporos', 'delventhalz']",1,2018-04-09 06:10:52,2018-04-26 03:15:47,2018-04-26 03:15:47,True,2018-04-26 03:15:47,vaporos,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/79,https://github.com/hyperledger/sawtooth-marketplace/pull/79,boydjohnson,Changes based on feedback from demo + change to .example tld,,['boydjohnson'],7,2017-12-28 15:46:08,2017-12-28 16:02:31,2017-12-28 16:02:31,True,2017-12-28 16:02:31,boydjohnson,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/78,https://github.com/hyperledger/sawtooth-marketplace/pull/78,dplumb94,Fix lint errors,"Based on #74 

The update to pylint 1.8.1 caused some new lint errors to be detected.",['dplumb94'],2,2017-12-27 19:14:49,2017-12-27 21:12:56,2017-12-27 21:12:56,True,2017-12-27 21:12:56,dplumb94,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/77,https://github.com/hyperledger/sawtooth-marketplace/pull/77,delventhalz,Implement SawbuckManager fixes raised at demo,"Fixes Implemented:
- Remove references to USD
- default AcceptOffers to count of 1
- add 1 line of instructions to modals
- truncate labels at 10 char (""New Holding"" needs to be shorter)
- validate that you don't go over the Offer owner's quantities
- find a way to make sure data has updated before redirecting on modal close

In addition, one bug was noted during the demo which was actually already implemented:
- don't allow non-owners to offer non-transferable assets",['delventhalz'],7,2017-12-26 20:54:02,2017-12-28 15:47:22,2017-12-28 15:47:22,False,,,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/76,https://github.com/hyperledger/sawtooth-marketplace/pull/76,dplumb94,Fix UI count calculation bug,,['dplumb94'],1,2017-12-26 18:09:51,2017-12-27 15:28:12,2017-12-27 15:28:12,True,2017-12-27 15:28:12,dplumb94,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/75,https://github.com/hyperledger/sawtooth-marketplace/pull/75,delventhalz,Add Design Docs to Repo,Also includes a small update to the numbering of the PayloadType enum to better allow for future expansion.,['delventhalz'],3,2017-12-26 18:00:22,2017-12-27 21:42:40,2017-12-27 21:42:40,True,2017-12-27 21:42:40,peterschwarz,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/74,https://github.com/hyperledger/sawtooth-marketplace/pull/74,boydjohnson,EXCHANGE_LIMITED_TO_ACCOUNTS functionality,~~This is based on #69 and #71. Only the last commit is of this PR. If there are multiple EXCHANGE_LIMITED_TO_ACCOUNTS rules -- if one is from an asset and one is from the offer -- the rule is that it is limited to the union of the accounts.~~   If there are multiple EXCHANGE_LIMITED_TO_ACCOUNTS rules the intersection of the values is taken.,['boydjohnson'],3,2017-12-22 18:16:57,2017-12-27 21:10:49,2017-12-27 21:10:49,True,2017-12-27 21:10:49,boydjohnson,unknown,,closed
sawtooth-marketplace,https://api.github.com/repos/hyperledger/sawtooth-marketplace/pulls/73,https://github.com/hyperledger/sawtooth-marketplace/pull/73,delventhalz,Add error handing to Sawbuck app,"Errors on background API requests will be logged, but otherwise ignored, and API requests triggered by user actions (i.e. form submissions) will trigger an alert, and then clear the form.

A common example would be to attempting to login with bad credentials, or trying to load any page when the api is down. You can kill the API with:

```bash
docker container stop sawtoothmarketplace_market-rest-api_1
```",['delventhalz'],1,2017-12-21 17:50:29,2017-12-21 19:55:03,2017-12-21 19:55:03,True,2017-12-21 19:55:03,delventhalz,unknown,,closed
