name repository,creator user,url_html issue,url_api issue,title,body,state,pull request,data open,updated at
git-sync,thockin,https://github.com/kubernetes/git-sync/pull/1,https://api.github.com/repos/kubernetes/git-sync/issues/1,Move git-sync to a new repo of its very own,"This just imports the existing state of contrib/git-sync into this new repo and scrubs paths for ""contrib"".  I have some further work I want to do on this sidecar, so I thought it was time to break it out.
",closed,True,2016-08-20 23:23:47,2016-08-22 22:56:56
git-sync,thockin,https://github.com/kubernetes/git-sync/pull/2,https://api.github.com/repos/kubernetes/git-sync/issues/2,Overhaul git-sync,"This is a series of cleanups, bugfixes, and enhancements to git-sync.  I will be cleaning up the demo docs and adding some tests soon.  I'd like to get this to a 1.0 tagged release and never touch it again.

This can be reviewed commit-by-commit.  The git logic was tested (manually) extensively, but that doesn't mean I didn't miss something.

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/2)

<!-- Reviewable:end -->
",closed,True,2016-08-25 05:04:41,2016-09-16 16:06:01
git-sync,bialad,https://github.com/kubernetes/git-sync/issues/3,https://api.github.com/repos/kubernetes/git-sync/issues/3,Host key verification failed,"> 2016/09/03 08:37:57 error syncing repo: error cloning repo ""git clone --no-checkout -b master ssh://name@name.visualstudio.com:22/repo/_git/web /git"": exit status 128: Cloning into '/git'...
> Host key verification failed.
> fatal: Could not read from remote repository.
> 
> Please make sure you have the correct access rights
> and the repository exists.

I'm getting a host verification error, which I don't even see how it's possible with the ssh_wrapper. In kubernetes I use the demo yaml-files and a secret.yaml as follows:

> apiVersion: v1
> kind: Secret
> metadata:
>   name: git-creds
>   namespace: zeptio
> type: Opaque
> data:
>   ssh: ""base64-private-key""

This is the command I run on my local host for testing this out:

`docker run --rm -e GIT_SYNC_REPO=""ssh://name@name.visualstudio.com:22/repo/_git/web"" -e GIT_SYNC_SSH=true -v /home/name/web:/git -v /home/name/git-secret:/etc/git-secret gcr.io/google_containers/git-sync`

Where /home/name/git-secret contains my non-base64 coded private key.

If I run 

`git clone --no-checkout -b master ssh://name@name.visualstudio.com:22/repo/_git/web /git`

on my local machine, using the ssh key in /home/name/git-secret, everything works fine.

Any idea what could be happening here?
",closed,False,2016-09-03 21:09:16,2016-10-02 03:27:30
git-sync,teijinyer,https://github.com/kubernetes/git-sync/issues/4,https://api.github.com/repos/kubernetes/git-sync/issues/4,docker build fail ,"Step 5 : COPY git-sync /git-sync
lstat git-sync: no such file or directory
",closed,False,2016-09-08 06:59:54,2016-10-02 03:26:21
git-sync,thockin,https://github.com/kubernetes/git-sync/pull/5,https://api.github.com/repos/kubernetes/git-sync/issues/5,bump to 2.0.0,"pushed to GCR

Fixes #3 

<!-- Reviewable:start -->

---

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/5)

<!-- Reviewable:end -->
",closed,True,2016-10-02 03:25:39,2016-10-02 03:27:30
git-sync,mumoshu,https://github.com/kubernetes/git-sync/issues/6,https://api.github.com/repos/kubernetes/git-sync/issues/6,How to notify another container in the same pod when a symlink is flipped?,"Hi, thanks for sharing this 👍 

Do you have any idea about how to notify another container to reload files immediately after git-sync successfully ran?

My use-case is that
(1) git-sync periodically checks my git repo containing PHP/Ruby/etc web app sources
(2) though my app doesn't support hot-reloading on symlink flip (which git-sync does for atomicity of updates),
(3) I'd like my app to reload/restart once git-sync updated sources

I had thought of sending signals from git-sync to notify my app for reloading.
Kubernetes doesn't currently support sending signals between containers/pods https://github.com/kubernetes/kubernetes/issues/24957
",closed,False,2016-10-03 03:17:11,2016-10-03 03:28:48
git-sync,stp-ip,https://github.com/kubernetes/git-sync/issues/7,https://api.github.com/repos/kubernetes/git-sync/issues/7,Document or error on GIT_SYNC_DEST not being a subdirect of GIT_SYNC_ROOT,"I just ran into the issue, that the symlink created for GIT_SYNC_DEST is not an absolute link therefore it needs to be a subdir of GIT_SYNC_ROOT to function. Furthermore the GIT_SYNC_ROOT directory also has to be mounted as volume or else the symlink might fail due to filesystem boundaries.
",closed,False,2016-10-04 13:22:41,2016-10-08 20:52:07
git-sync,stp-ip,https://github.com/kubernetes/git-sync/issues/8,https://api.github.com/repos/kubernetes/git-sync/issues/8,Subsequent syncs fail due to destination path not being empty,"During some initial tests following error came up:
`text error syncing repo: error running command: exit status 128: ""fatal: destination path '/etc/source' already exists and is not an empty directory.\n""`
This seems to only happen on subsequent sync runs. Before the directory is empty and syncs successfully.

Some ENVs for a better context:
        - name: GIT_SYNC_BRANCH
          value: master
        - name: GIT_SYNC_SSH
          value: ""true""
        - name: GIT_SYNC_ONE_TIME
          value: ""false""
        - name: GIT_SYNC_WAIT
          value: ""2""
        - name: GIT_SYNC_ROOT
          value: /etc/source/
        - name: GIT_SYNC_DEST
          value: /etc/source/files
",closed,False,2016-10-04 14:06:01,2017-02-15 16:49:46
git-sync,thockin,https://github.com/kubernetes/git-sync/pull/9,https://api.github.com/repos/kubernetes/git-sync/issues/9,"Better flag help, error on bad --dest, v2.0.1","<!-- Reviewable:start -->

This change is [<img src=""https://reviewable.kubernetes.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.kubernetes.io/reviews/kubernetes/git-sync/9)

<!-- Reviewable:end -->
",closed,True,2016-10-08 00:21:40,2016-10-08 00:22:00
git-sync,TaiSHiNet,https://github.com/kubernetes/git-sync/issues/10,https://api.github.com/repos/kubernetes/git-sync/issues/10,Use alpine as a base,"I've tried alpine and size is reduced by ~100 mb but the mv version that comes with it doesn't have `--no-target-directory` option
Inputs?
",closed,False,2016-10-08 13:19:25,2016-10-31 08:39:34
