name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/9,https://github.com/kubernetes/minikube/pull/9,sebgoa,Set context to use node minikube via kubectl,"improve readme for user experience
",[],1,2016-04-20 07:59:49,2016-04-20 16:51:45,2016-04-20 16:51:45,True,2016-04-20 16:51:45,dlorenc,dirty,False,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/19,https://github.com/kubernetes/minikube/pull/19,dlorenc,Add .travis.yml.,,[],1,2016-04-25 17:14:32,2016-04-25 17:27:28,2016-04-25 17:27:28,True,2016-04-25 17:27:28,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/20,https://github.com/kubernetes/minikube/pull/20,dlorenc,Add travis badge to README.md,"#14
",[],1,2016-04-25 17:29:45,2016-04-25 17:30:40,2016-04-25 17:35:24,True,2016-04-25 17:30:40,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/21,https://github.com/kubernetes/minikube/pull/21,dlorenc,Add CONTRIBUTING.md,,[],1,2016-04-25 17:42:26,2016-04-25 17:44:42,2016-04-25 17:44:42,True,2016-04-25 17:44:42,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/22,https://github.com/kubernetes/minikube/pull/22,dlorenc,Cleanup unused godeps after removing localkubectl dependency.,,[],1,2016-04-25 20:59:14,2016-04-25 21:32:48,2016-05-01 13:50:38,True,2016-04-25 21:32:48,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/23,https://github.com/kubernetes/minikube/pull/23,dlorenc,Exit with a non-zero code if we error.,,[],2,2016-04-25 21:33:51,2016-04-25 22:57:14,2016-04-25 22:57:14,True,2016-04-25 22:57:14,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/24,https://github.com/kubernetes/minikube/pull/24,dlorenc,Add more testing of cluster.go.,"Refactor a bit to make testing easier.
",[],1,2016-04-26 18:03:39,2016-04-26 18:05:25,2016-04-26 18:05:25,True,2016-04-26 18:05:25,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/25,https://github.com/kubernetes/minikube/pull/25,dlorenc,Add stop command and tests.,,[],2,2016-04-26 18:30:14,2016-04-26 18:33:02,2016-04-26 18:33:02,True,2016-04-26 18:33:02,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/26,https://github.com/kubernetes/minikube/pull/26,dlorenc,Add delete command and tests.,,[],4,2016-04-26 19:57:23,2016-04-26 19:58:28,2016-04-26 19:58:28,True,2016-04-26 19:58:28,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/27,https://github.com/kubernetes/minikube/pull/27,dlorenc,Add status command and tests.,"Addresses #17 
",[],1,2016-04-26 20:43:17,2016-04-26 20:45:01,2016-04-26 20:45:01,True,2016-04-26 20:45:01,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/30,https://github.com/kubernetes/minikube/pull/30,dlorenc,Add an integration test.,"This test can be run with:
go test integration/ --tags=integration

It expects a built minikube binary, and the path to this can be specified as --binary=$PATH. It defaults to ../minikube
",[],1,2016-04-29 23:31:40,2016-04-29 23:49:03,2016-04-29 23:52:35,True,2016-04-29 23:49:03,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/31,https://github.com/kubernetes/minikube/pull/31,dlorenc,Update documentation with test instructions.,,[],1,2016-04-30 00:02:28,2016-04-30 00:03:25,2016-04-30 00:03:27,True,2016-04-30 00:03:25,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/32,https://github.com/kubernetes/minikube/pull/32,dlorenc,Move machine driver creation code to machine/client.go.,,[],1,2016-04-30 00:37:14,2016-04-30 00:38:04,2016-04-30 00:38:11,True,2016-04-30 00:38:04,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/34,https://github.com/kubernetes/minikube/pull/34,luxas,Various improvements,"Commits:
1. Add a build script to make it easy to build (one does not have to git clone to a special place or remember a long list of commands)
2. Rename all refs to `github.com/kubernetes` to `k8s.io` as the main project
3. Update the readme with new formatting and information
4. Run `gofmt -s -w .`. There were two files too in vendor, but I excluded them from the commit.
5. Update the copyright year to 2016
6. Update cobra `Use: ""cli""` to `Use: ""minikube""` and some various formatting
7. Add a `test.sh` script that runs both unit and integration tests

Please review the commits separately.
@dlorenc @vishh 
",[],7,2016-05-01 15:57:34,2016-05-01 18:47:46,2016-05-01 18:47:46,True,2016-05-01 18:47:46,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/36,https://github.com/kubernetes/minikube/pull/36,dlorenc,Add gofmt check to travis.,,[],1,2016-05-02 03:23:25,2016-05-02 03:24:28,2016-05-02 05:14:52,True,2016-05-02 03:24:28,dlorenc,unknown,,closed
minikube,https://api.github.com/repos/kubernetes/minikube/pulls/37,https://github.com/kubernetes/minikube/pull/37,dlorenc,Fix missing copyright headers.,"Also fix files with missing copyright headers :)
This addresses #35 
",[],1,2016-05-02 17:38:11,2016-05-02 19:21:59,2016-05-19 23:51:30,True,2016-05-02 19:21:59,eparis,unknown,,closed
