name repository,url,url html,created by,title,body,assignees,# commit,created at,updated at,closed at,is merged,merged at,merged by,mergeable state,mergeable,state
kops,https://api.github.com/repos/kubernetes/kops/pulls/1,https://github.com/kubernetes/kops/pull/1,justinsb,Rename to kops,"The upup tool is now called kops, and we have moved repos
",[],1,2016-06-30 13:31:42,2016-06-30 13:32:57,2016-06-30 13:32:57,True,2016-06-30 13:32:57,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/5,https://github.com/kubernetes/kops/pull/5,justinsb,Merge cloudup tool into `kops create cluster`,,[],1,2016-06-30 14:27:35,2016-06-30 14:27:46,2016-06-30 14:27:46,True,2016-06-30 14:27:45,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/6,https://github.com/kubernetes/kops/pull/6,justinsb,"Cleanup: move docs to top-level, add .gitignore","Rearranging for the new repo
",[],1,2016-06-30 14:32:22,2016-06-30 14:32:28,2016-06-30 14:32:28,True,2016-06-30 14:32:28,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/7,https://github.com/kubernetes/kops/pull/7,justinsb,docs: streamline readme,"Drop some optional arguments that are just noise
",[],1,2016-06-30 14:35:36,2016-06-30 14:35:43,2016-06-30 14:35:43,True,2016-06-30 14:35:43,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/8,https://github.com/kubernetes/kops/pull/8,MHBauer,fix build directory,"I think maybe the three dots was mean to be two so it goes back up a directory, but I don't see any reason we can't go directly to the correct directory.
",[],1,2016-06-30 17:08:30,2016-07-01 14:04:57,2016-07-01 14:04:57,True,2016-07-01 14:04:57,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/9,https://github.com/kubernetes/kops/pull/9,justinsb,Simple fix to makefile & gofmt,,[],2,2016-07-01 13:58:30,2016-07-01 14:05:07,2016-07-01 14:05:07,True,2016-07-01 14:05:07,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/10,https://github.com/kubernetes/kops/pull/10,justinsb,More diagnostics when an AZ is not recognized,"Also add the new ap-south-1 region
",[],2,2016-07-01 14:01:24,2016-07-01 14:07:12,2016-07-01 14:07:12,True,2016-07-01 14:07:12,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/14,https://github.com/kubernetes/kops/pull/14,justinsb,Initial protokube README,,[],1,2016-07-02 18:48:14,2016-07-02 18:49:22,2016-07-02 18:49:23,True,2016-07-02 18:49:22,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/15,https://github.com/kubernetes/kops/pull/15,justinsb,Update schema to sync up with coming changes in API,"Thankfully we aren't yet using any of these properties
",[],1,2016-07-02 18:59:50,2016-07-02 19:00:12,2016-07-02 19:00:12,True,2016-07-02 19:00:12,justinsb,unknown,,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/17,https://github.com/kubernetes/kops/pull/17,stonith,master IAM policy missing permissions for ELB,"Adds missing ELB permissions to master IAM policy.
",[],1,2016-07-03 07:20:54,2016-07-03 17:21:41,2016-07-03 20:58:14,False,,,dirty,False,closed
kops,https://api.github.com/repos/kubernetes/kops/pulls/20,https://github.com/kubernetes/kops/pull/20,justinsb,Include vendored dependencies,"glide just has too many edge-cases still, sadly.
",[],1,2016-07-05 04:05:53,2016-07-05 04:06:15,2016-07-05 04:06:15,True,2016-07-05 04:06:15,justinsb,unknown,,closed
